sentenceId,postNum,reviewKind,primaryKind,start,end,text,proposedReviewDisposition
p3256-s001,3256,context,questions,63,78,USA v. LifeLog?,contextual
p3308-s000,3308,context,directives,0,30,Disregard any spelling errors.,contextual
p3373-s001,3373,context,directives,26,37,Sleep well.,contextual
p3383-s013,3383,context,directives,762,778,DRAIN THE SWAMP.,contextual
p0345-s001,345,context,directives,37,45,Enhance.,contextual
p3528-s001,3528,context,directives,59,75,DRAIN THE SWAMP!,contextual
p3568-s003,3568,context,directives,43,57,Say something.,contextual
p3568-s004,3568,context,directives,58,94,Know your surroundings at all times.,contextual
p3588-s026,3588,context,directives,1250,1275,Be free in your thoughts.,contextual
p3627-s003,3627,context,directives,39,44,Watch,contextual
p3663-s006,3663,context,directives,132,148,DRAIN THE SWAMP!,contextual
p3748-s008,3748,context,directives,474,480,Fight!,contextual
p3839-s001,3839,context,directives,60,81,It's time to wake up.,contextual
p3964-s001,3964,context,directives,56,68,Be informed.,contextual
p4089-s002,4089,context,directives,67,88,It's time to wake up.,contextual
p4135-s001,4135,context,directives,58,79,It's time to wake up.,contextual
p4140-s001,4140,context,directives,50,67,LET FREEDOM RING!,contextual
p4161-s000,4161,context,directives,0,10,Disregard.,contextual
p0425-s009,425,context,directives,201,207,TRUST.,contextual
p4424-s003,4424,context,directives,133,151,Be All You Can Be.,contextual
p4496-s002,4496,context,directives,79,122,Surrender to None ['Digital Battleground'].,contextual
p4498-s002,4498,context,directives,63,84,Know your weaknesses.,contextual
p4498-s003,4498,context,directives,85,91,Adapt.,contextual
p4498-s004,4498,context,directives,92,101,Overcome.,contextual
p4550-s000,4550,context,directives,10,19,Fear not.,contextual
p4550-s015,4550,context,directives,516,536,Let light guide you.,contextual
p4666-s001,4666,context,directives,15,29,Say something.,contextual
p4683-s005,4683,context,directives,39,44,Know.,contextual
p4694-s000,4694,context,directives,0,16,Know your enemy.,contextual
p0477-s004,477,context,directives,41,71,Wind the clock w/ all markers.,contextual
p4851-s008,4851,context,directives,431,447,DRAIN THE SWAMP.,contextual
p4852-s001,4852,context,directives,60,87,Let's keep the party going.,contextual
p4893-s014,4893,context,directives,573,589,DRAIN THE SWAMP.,contextual
p0490-s002,490,context,directives,143,160,Let FREEDOM RING.,contextual
p4962-s007,4962,context,directives,121,128,Repeat.,contextual
p0538-s010,538,context,directives,360,366,TRUST.,contextual
p0568-s007,568,context,directives,153,159,TRUST.,contextual
p0059-s006,59,context,directives,281,311,Combine all posts and analyze.,contextual
p0621-s001,621,context,directives,37,54,Let that sink in.,contextual
p0622-s000,622,context,directives,0,20,"Time to play, Dopey.",contextual
p0672-s005,672,context,directives,78,86,Enhance.,contextual
p0673-s004,673,context,directives,93,102,No edits.,contextual
p0756-s030,756,context,directives,507,543,ACTIVATE CODE: [0 0000 018739 7-ZjG],contextual
p0780-s002,780,context,predictions,242,261,Future proves past:,contextual
p0080-s000,80,context,directives,0,25,We need to get organized.,contextual
p0837-s002,837,context,directives,62,68,TRUST.,contextual
p0839-s013,839,context,directives,243,253,CHALLENGE.,contextual
p0839-s014,839,context,directives,254,260,FIGHT.,contextual
p0086-s004,86,context,directives,112,118,Study.,contextual
p0868-s001,868,context,predictions,30,46,"Fail, they will.",contextual
p0092-s022,92,context,directives,624,634,Speculate.,contextual
p0981-s002,981,context,directives,43,63,"Sleep well, Patriot.",contextual
p0099-s023,99,context,questions,342,370,A. Cooper family background?,contextual
