sentenceId,postNum,kind,layer,nested,deliberate,a,b
p4521-s003,4521,claims,primary,true,false,"The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original inten","""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original inte"
p4521-s003,4521,claims,primary,false,false,"The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original inten","Code, Section 1385, an original intent of which was to end the use of "
p4521-s003,4521,claims,primary,false,false,"""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original inte","Code, Section 1385, an original intent of which was to end the use of "
p4630-s013,4630,claims,primary,true,false,"Dwayne L. Schutt, was arrested and charged with four counts of felony ","Democratic Former Mayor of Randolph, Nebraska, Dwayne L. Schutt, was a"
p4631-s015,4631,claims,primary,false,false,"Republican pastor Mike Hintz, whom George W. Bush commended during the","Bush commended during the 2004 presidential campaign, surrendered to p"
p4631-s018,4631,claims,primary,false,false,Republican fundraiser Richard A. Delgaudio was found guilty of child p,Delgaudio was found guilty of child porn charges and paying two teenag
p4631-s019,4631,claims,primary,false,false,Republican activist Mark A. Grethen convicted on six counts of sex cri,Grethen convicted on six counts of sex crimes involving children.
p4632-s002,4632,claims,primary,false,false,Republican legislative aide Howard L. Brooks was charged with molestin,Brooks was charged with molesting a 12-year old boy and possession of 
p4632-s013,4632,claims,primary,false,false,Republican Councilman and former Marine Jack W. Gardner was convicted ,Gardner was convicted of molesting a 13-year old girl.
p4632-s016,4632,claims,primary,false,false,Republican activist Parker J. Bena pleaded guilty to possession of chi,Bena pleaded guilty to possession of child pornography on his home com
p4633-s000,4633,claims,primary,false,false,"Republican benefactor of conservative Christian groups, Richard A. Das","Dasen Sr., was charged with rape for allegedly paying a 15-year old gi"
p4801-s002,4801,claims,primary,false,false,"""While attending college, he served as an intern in the office of Dela","Biden, ...."""
p0520-s058,520,claims,primary,true,false,HIGHEST LEVELS.,TREASON AT HIGHEST LEVELS.
p0563-s009,563,claims,primary,true,false,THEY WANT YOU DIVIDED,THEY WANT YOU DIVIDED.
p0099-s023,99,questions,primary,true,false,Cooper family background?,A. Cooper family background?
