actionId,kind,postNum,sentenceId,sourceDisposition,sentenceStart,sentenceEnd,sentenceText,populationMembership,oldOccurrenceKeys,oldCategories,proposedPrimaryCategory,proposedSecondarySemantics,proposedReviewDispositions,recordsWithdrawn,withdrawReason,metadataTransferred,relationshipsPreserved,ruleCode,confidence,humanReviewRequired,beforeCountEffect,afterCountEffect
A-MP-p2378-s001,MULTI_PRIMARY_RESOLUTION,2378,p2378-s001,q_authored,,,,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2378|claims|6|9 2378|questions|10|45,claims@6..9[PARTIAL] questions@10..45[PARTIAL],claim,question,,2378|claims|6|9 2378|questions|10|45,partial span superseded by the complete sentence,2378|claims|6|9 2378|questions|10|45,,R4_DECLARATIVE,MEDIUM,true,claims:-1 questions:-1,claim:+1 primary · question:+1 secondary
A-MP-p2462-s032,MULTI_PRIMARY_RESOLUTION,2462,p2462-s032,q_authored,1543,1616,>Who briefed NUNES on classified intel re: HUSSEIN spy campaign v. POTUS?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2462|claims|1544|1616 2462|questions|1543|1616,claims@1544..1616[PARTIAL] questions@1543..1616[EXACT],question,claim,,2462|claims|1544|1616,partial span superseded by the complete sentence,2462|claims|1544|1616 2462|questions|1543|1616,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p2689-s030,MULTI_PRIMARY_RESOLUTION,2689,p2689-s030,q_authored,1890,2040,"If the SC ruled in 2008 that VOTER ID laws do not impact/harm or prevent 'minorities' from voting, how could the U.S. 4th Circuit Court rule opposite?",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2689|claims|1890|2040 2689|questions|2008|2040,claims@1890..2040[EXACT] questions@2008..2040[PARTIAL],question,claim,,2689|questions|2008|2040,partial span superseded by the complete sentence,2689|claims|1890|2040 2689|questions|2008|2040,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p2904-s003,MULTI_PRIMARY_RESOLUTION,2904,p2904-s003,q_authored,164,364,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2904|claims|168|363 2904|directives|164|364,claims@168..363[PARTIAL] directives@164..364[EXACT],directive,claim,,2904|claims|168|363,partial span superseded by the complete sentence,2904|claims|168|363 2904|directives|164|364,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p2937-s013,MULTI_PRIMARY_RESOLUTION,2937,p2937-s013,q_authored,556,656,What vested powers does POTUS have re: MIL INTEL vs. ABC agencies re: matters of NAT SEC (HOMELAND)?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2937|claims|556|656 2937|questions|609|656,claims@556..656[EXACT] questions@609..656[PARTIAL],question,claim,,2937|questions|609|656,partial span superseded by the complete sentence,2937|claims|556|656 2937|questions|609|656,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p3049-s001,MULTI_PRIMARY_RESOLUTION,3049,p3049-s001,q_authored,110,359,"If [D's] FIGHT to protect, safeguard, and promote all illegal immigrants as 'rightful' U.S. citizens who should be afforded all benefits and rights accordingly, WHY THEN WOULD THEY FIGHT TO BLOCK THEM FROM BEING 'COUNTED' AS PART OF THE U.S. CENSUS?",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,3049|claims|110|359 3049|questions|352|359,claims@110..359[EXACT] questions@352..359[PARTIAL],question,claim,,3049|questions|352|359,partial span superseded by the complete sentence,3049|claims|110|359 3049|questions|352|359,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p0034-s002,MULTI_PRIMARY_RESOLUTION,34,p0034-s002,q_authored,,,,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,34|claims|457|483 34|predictions|280|456,claims@457..483[PARTIAL] predictions@280..456[PARTIAL],claim,prediction,,34|claims|457|483 34|predictions|280|456,partial span superseded by the complete sentence,34|claims|457|483 34|predictions|280|456,,R4_DECLARATIVE,MEDIUM,true,claims:-1 predictions:-1,claim:+1 primary · prediction:+1 secondary
A-MP-p3593-s003,MULTI_PRIMARY_RESOLUTION,3593,p3593-s003,q_authored,204,404,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,3593|claims|208|403 3593|directives|204|404,claims@208..403[PARTIAL] directives@204..404[EXACT],directive,claim,,3593|claims|208|403,partial span superseded by the complete sentence,3593|claims|208|403 3593|directives|204|404,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p3594-s003,MULTI_PRIMARY_RESOLUTION,3594,p3594-s003,q_authored,191,391,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,3594|claims|195|390 3594|directives|191|391,claims@195..390[PARTIAL] directives@191..391[EXACT],directive,claim,,3594|claims|195|390,partial span superseded by the complete sentence,3594|claims|195|390 3594|directives|191|391,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p4127-s002,MULTI_PRIMARY_RESOLUTION,4127,p4127-s002,q_authored,78,147,[note: they all read from a teleprompter - who controls the message?],MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,4127|claims|85|118 4127|questions|78|147,claims@85..118[PARTIAL] questions@78..147[EXACT],claim,question,,4127|claims|85|118,partial span superseded by the complete sentence,4127|claims|85|118 4127|questions|78|147,,R4_DECLARATIVE,MEDIUM,false,claims:-1 questions:-1,claim:+1 primary · question:+1 secondary
A-MP-p0043-s003,MULTI_PRIMARY_RESOLUTION,43,p0043-s003,q_authored,226,353,Simply be diligent - phone numbers will be provided if you witness an uprising or other domestic violence (in addition to 911).,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,43|claims|247|353 43|directives|226|353,claims@247..353[PARTIAL] directives@226..353[EXACT],directive,claim,,43|claims|247|353,partial span superseded by the complete sentence,43|claims|247|353 43|directives|226|353,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p4782-s015,MULTI_PRIMARY_RESOLUTION,4782,p4782-s015,q_authored,557,687,FUNDS: EXPENSES V. PAYOUTS [for 'causes'] _analyze % [how much of the actual donated money actually goes to help select 'causes']?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,4782|claims|557|687 4782|questions|576|687,claims@557..687[EXACT] questions@576..687[PARTIAL],question,claim,,4782|questions|576|687,partial span superseded by the complete sentence,4782|claims|557|687 4782|questions|576|687,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p4871-s000,MULTI_PRIMARY_RESOLUTION,4871,p4871-s000,q_authored,0,119,"NAT SEC concerns re: blackmail [gain control] of J. Biden by Russia, China and/or other foreign [or domestic] entities?",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,4871|claims|0|119 4871|questions|52|119,claims@0..119[EXACT] questions@52..119[PARTIAL],question,claim,,4871|questions|52|119,partial span superseded by the complete sentence,4871|claims|0|119 4871|questions|52|119,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p4888-s001,MULTI_PRIMARY_RESOLUTION,4888,p4888-s001,q_authored,92,137,Subpoena of all H. Biden's financial records?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,4888|claims|92|137 4888|questions|111|137,claims@92..137[EXACT] questions@111..137[PARTIAL],question,claim,,4888|questions|111|137,partial span superseded by the complete sentence,4888|claims|92|137 4888|questions|111|137,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p4891-s010,MULTI_PRIMARY_RESOLUTION,4891,p4891-s010,q_authored,481,582,Why wouldn't H. Biden want to reclaim *knowing* the contents on the drive could bury *Pops* & family.,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,4891|claims|497|582 4891|questions|481|582,claims@497..582[PARTIAL] questions@481..582[EXACT],claim,question,,4891|claims|497|582,partial span superseded by the complete sentence,4891|claims|497|582 4891|questions|481|582,,R4_DECLARATIVE,MEDIUM,false,claims:-1 questions:-1,claim:+1 primary · question:+1 secondary
A-MP-p4891-s001,MULTI_PRIMARY_RESOLUTION,4891,p4891-s001,q_authored,70,122,Why would H. Biden have such material on his laptop?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,4891|claims|80|121 4891|questions|70|122,claims@80..121[PARTIAL] questions@70..122[EXACT],question,claim,,4891|claims|80|121,partial span superseded by the complete sentence,4891|claims|80|121 4891|questions|70|122,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
