actionId,kind,postNum,sentenceId,sourceDisposition,sentenceStart,sentenceEnd,sentenceText,populationMembership,oldOccurrenceKeys,oldCategories,proposedPrimaryCategory,proposedSecondarySemantics,proposedReviewDispositions,recordsWithdrawn,withdrawReason,metadataTransferred,relationshipsPreserved,ruleCode,confidence,humanReviewRequired,beforeCountEffect,afterCountEffect,questionSideWasPartial
A-DQ-p1279-s016,DIRECTIVE_QUESTION_UNIFIED,1279,p1279-s016,q_authored,308,325,Define Evergreen.,DIRECTIVE_QUESTION_220,1279|directives|308|325 1279|questions|308|325,directives@308..325[EXACT] questions@308..325[EXACT],directive,question,,,,1279|directives|308|325 1279|questions|308|325,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1280-s004,DIRECTIVE_QUESTION_UNIFIED,1280,p1280-s004,q_authored,203,220,Define testimony.,DIRECTIVE_QUESTION_220,1280|directives|203|220 1280|questions|203|220,directives@203..220[EXACT] questions@203..220[EXACT],directive,question,,,,1280|directives|203|220 1280|questions|203|220,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1280-s005,DIRECTIVE_QUESTION_UNIFIED,1280,p1280-s005,q_authored,221,240,Define ‘on record’.,DIRECTIVE_QUESTION_220,1280|directives|221|240 1280|questions|221|240,directives@221..240[EXACT] questions@221..240[EXACT],directive,question,,,,1280|directives|221|240 1280|questions|221|240,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1306-s000,DIRECTIVE_QUESTION_UNIFIED,1306,p1306-s000,q_authored,0,42,Define the terms of the Iran nuclear deal.,DIRECTIVE_QUESTION_220,1306|directives|0|42 1306|questions|0|42,directives@0..42[EXACT] questions@0..42[EXACT],directive,question,,,,1306|directives|0|42 1306|questions|0|42,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1306-s012,DIRECTIVE_QUESTION_UNIFIED,1306,p1306-s012,q_authored,469,482,Define cover.,DIRECTIVE_QUESTION_220,1306|directives|469|482 1306|questions|469|482,directives@469..482[EXACT] questions@469..482[EXACT],directive,question,,,,1306|directives|469|482 1306|questions|469|482,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1318-s042,DIRECTIVE_QUESTION_UNIFIED,1318,p1318-s042,q_authored,1454,1476,Define single shooter.,DIRECTIVE_QUESTION_220,1318|directives|1454|1476 1318|questions|1454|1476,directives@1454..1476[EXACT] questions@1454..1476[EXACT],directive,question,,,,1318|directives|1454|1476 1318|questions|1454|1476,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1318-s044,DIRECTIVE_QUESTION_UNIFIED,1318,p1318-s044,q_authored,1492,1502,Define IG.,DIRECTIVE_QUESTION_220,1318|directives|1492|1502 1318|questions|1492|1502,directives@1492..1502[EXACT] questions@1492..1502[EXACT],directive,question,,,,1318|directives|1492|1502 1318|questions|1492|1502,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1319-s064,DIRECTIVE_QUESTION_UNIFIED,1319,p1319-s064,q_authored,1871,1888,Define roadblock.,DIRECTIVE_QUESTION_220,1319|directives|1871|1888 1319|questions|1871|1888,directives@1871..1888[EXACT] questions@1871..1888[EXACT],directive,question,,,,1319|directives|1871|1888 1319|questions|1871|1888,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1320-s008,DIRECTIVE_QUESTION_UNIFIED,1320,p1320-s008,q_authored,338,375,"Ask yourself, why are they panicking?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1320|directives|338|375 1320|questions|352|375,directives@338..375[EXACT] questions@352..375[PARTIAL],question,directive,,1320|questions|352|375,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1320|directives|338|375 1320|questions|352|375,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1320-s009,DIRECTIVE_QUESTION_UNIFIED,1320,p1320-s009,q_authored,377,434,"Ask yourself, why is UK, France, and Germany so involved?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1320|directives|377|434 1320|questions|391|434,directives@377..434[EXACT] questions@391..434[PARTIAL],question,directive,,1320|questions|391|434,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1320|directives|377|434 1320|questions|391|434,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1339-s034,DIRECTIVE_QUESTION_UNIFIED,1339,p1339-s034,q_authored,938,951,Define Media.,DIRECTIVE_QUESTION_220,1339|directives|938|951 1339|questions|938|951,directives@938..951[EXACT] questions@938..951[EXACT],directive,question,,,,1339|directives|938|951 1339|questions|938|951,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1339-s039,DIRECTIVE_QUESTION_UNIFIED,1339,p1339-s039,q_authored,1084,1101,Define 'Patriot'.,DIRECTIVE_QUESTION_220,1339|directives|1084|1101 1339|questions|1084|1101,directives@1084..1101[EXACT] questions@1084..1101[EXACT],directive,question,,,,1339|directives|1084|1101 1339|questions|1084|1101,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0134-s003,DIRECTIVE_QUESTION_UNIFIED,134,p0134-s003,q_authored,93,178,"List names, family history, investment/ownership stakes, and point-to-point contacts.",DIRECTIVE_QUESTION_220,134|directives|93|178 134|questions|93|178,directives@93..178[EXACT] questions@93..178[EXACT],directive,question,,,,134|directives|93|178 134|questions|93|178,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1345-s017,DIRECTIVE_QUESTION_UNIFIED,1345,p1345-s017,q_authored,466,479,Define bribe.,DIRECTIVE_QUESTION_220,1345|directives|466|479 1345|questions|466|479,directives@466..479[EXACT] questions@466..479[EXACT],directive,question,,,,1345|directives|466|479 1345|questions|466|479,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1345-s018,DIRECTIVE_QUESTION_UNIFIED,1345,p1345-s018,q_authored,480,496,Define kickback.,DIRECTIVE_QUESTION_220,1345|directives|480|496 1345|questions|480|496,directives@480..496[EXACT] questions@480..496[EXACT],directive,question,,,,1345|directives|480|496 1345|questions|480|496,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1351-s001,DIRECTIVE_QUESTION_UNIFIED,1351,p1351-s001,q_authored,20,38,Define indictment.,DIRECTIVE_QUESTION_220,1351|directives|20|38 1351|questions|20|38,directives@20..38[EXACT] questions@20..38[EXACT],directive,question,,,,1351|directives|20|38 1351|questions|20|38,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1361-s022,DIRECTIVE_QUESTION_UNIFIED,1361,p1361-s022,q_authored,1870,1888,"Ask yourself, WHY?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1361|directives|1870|1888 1361|questions|1884|1888,directives@1870..1888[EXACT] questions@1884..1888[PARTIAL],question,directive,,1361|questions|1884|1888,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1361|directives|1870|1888 1361|questions|1884|1888,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1370-s010,DIRECTIVE_QUESTION_UNIFIED,1370,p1370-s010,q_authored,315,338,Define “On the Record.”,DIRECTIVE_QUESTION_220,1370|directives|315|338 1370|questions|315|338,directives@315..338[EXACT] questions@315..338[EXACT],directive,question,,,,1370|directives|315|338 1370|questions|315|338,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0153-s001,DIRECTIVE_QUESTION_UNIFIED,153,p0153-s001,q_authored,27,213,"Ask yourself an honest question, why would a billionaire who has it all, fame, fortune, a warm and loving family, friends, etc. want to endanger himself and his family by becoming POTUS?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,153|directives|27|213 153|questions|60|213,directives@27..213[EXACT] questions@60..213[PARTIAL],question,directive,,153|questions|60|213,directive-wrapped question: the embedded partial span is superseded by the complete sentence,153|directives|27|213 153|questions|60|213,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1559-s005,DIRECTIVE_QUESTION_UNIFIED,1559,p1559-s005,q_authored,101,114,Define title.,DIRECTIVE_QUESTION_220,1559|directives|101|114 1559|questions|101|114,directives@101..114[EXACT] questions@101..114[EXACT],directive,question,,,,1559|directives|101|114 1559|questions|101|114,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1559-s006,DIRECTIVE_QUESTION_UNIFIED,1559,p1559-s006,q_authored,115,138,Define role w/ Mueller.,DIRECTIVE_QUESTION_220,1559|directives|115|138 1559|questions|115|138,directives@115..138[EXACT] questions@115..138[EXACT],directive,question,,,,1559|directives|115|138 1559|questions|115|138,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0157-s022,DIRECTIVE_QUESTION_UNIFIED,157,p0157-s022,q_authored,777,795,Define corruption.,DIRECTIVE_QUESTION_220,157|directives|777|795 157|questions|777|795,directives@777..795[EXACT] questions@777..795[EXACT],directive,question,,,,157|directives|777|795 157|questions|777|795,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0157-s039,DIRECTIVE_QUESTION_UNIFIED,157,p0157-s039,q_authored,1467,1485,Define censorship.,DIRECTIVE_QUESTION_220,157|directives|1467|1485 157|questions|1467|1485,directives@1467..1485[EXACT] questions@1467..1485[EXACT],directive,question,,,,157|directives|1467|1485 157|questions|1467|1485,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0157-s040,DIRECTIVE_QUESTION_UNIFIED,157,p0157-s040,q_authored,1487,1518,Define ‘controlled’ censorship.,DIRECTIVE_QUESTION_220,157|directives|1487|1518 157|questions|1487|1518,directives@1487..1518[EXACT] questions@1487..1518[EXACT],directive,question,,,,157|directives|1487|1518 157|questions|1487|1518,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0158-s005,DIRECTIVE_QUESTION_UNIFIED,158,p0158-s005,q_authored,139,157,Define oppression.,DIRECTIVE_QUESTION_220,158|directives|139|157 158|questions|139|157,directives@139..157[EXACT] questions@139..157[EXACT],directive,question,,,,158|directives|139|157 158|questions|139|157,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0158-s021,DIRECTIVE_QUESTION_UNIFIED,158,p0158-s021,q_authored,927,957,Define ‘lead-in’ (think play)?,DIRECTIVE_QUESTION_220,158|directives|927|957 158|questions|927|957,directives@927..957[EXACT] questions@927..957[EXACT],question,directive,,,,158|directives|927|957 158|questions|927|957,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,false
A-DQ-p0158-s027,DIRECTIVE_QUESTION_UNIFIED,158,p0158-s027,q_authored,1110,1127,Define blackmail.,DIRECTIVE_QUESTION_220,158|directives|1110|1127 158|questions|1110|1127,directives@1110..1127[EXACT] questions@1110..1127[EXACT],directive,question,,,,158|directives|1110|1127 158|questions|1110|1127,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1589-s004,DIRECTIVE_QUESTION_UNIFIED,1589,p1589-s004,q_authored,178,185,Define.,DIRECTIVE_QUESTION_220,1589|directives|178|185 1589|questions|178|185,directives@178..185[EXACT] questions@178..185[EXACT],directive,question,,,,1589|directives|178|185 1589|questions|178|185,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1646-s024,DIRECTIVE_QUESTION_UNIFIED,1646,p1646-s024,q_authored,682,706,COMPARE TO HITLER/NAZIS?,DIRECTIVE_QUESTION_220,1646|directives|682|706 1646|questions|682|706,directives@682..706[EXACT] questions@682..706[EXACT],question,directive,,,,1646|directives|682|706 1646|questions|682|706,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,false
A-DQ-p1647-s001,DIRECTIVE_QUESTION_UNIFIED,1647,p1647-s001,q_authored,17,47,Ask yourself - is this normal?,DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1647|directives|17|47 1647|questions|32|47,directives@17..47[EXACT] questions@32..47[PARTIAL],question,directive,,1647|questions|32|47,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1647|directives|17|47 1647|questions|32|47,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1648-s001,DIRECTIVE_QUESTION_UNIFIED,1648,p1648-s001,q_authored,27,57,Ask yourself - is this normal?,DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1648|directives|27|57 1648|questions|42|57,directives@27..57[EXACT] questions@42..57[PARTIAL],question,directive,,1648|questions|42|57,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1648|directives|27|57 1648|questions|42|57,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p0165-s019,DIRECTIVE_QUESTION_UNIFIED,165,p0165-s019,q_authored,642,668,Define the ‘known’ action.,DIRECTIVE_QUESTION_220,165|directives|642|668 165|questions|642|668,directives@642..668[EXACT] questions@642..668[EXACT],directive,question,,,,165|directives|642|668 165|questions|642|668,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1658-s001,DIRECTIVE_QUESTION_UNIFIED,1658,p1658-s001,q_authored,15,45,Ask yourself - is this normal?,DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1658|directives|15|45 1658|questions|30|45,directives@15..45[EXACT] questions@30..45[PARTIAL],question,directive,,1658|questions|30|45,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1658|directives|15|45 1658|questions|30|45,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1659-s000,DIRECTIVE_QUESTION_UNIFIED,1659,p1659-s000,q_authored,10,55,Ask yourself - who is filing the indictments?,DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1659|directives|10|55 1659|questions|25|55,directives@10..55[EXACT] questions@25..55[PARTIAL],question,directive,,1659|questions|25|55,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1659|directives|10|55 1659|questions|25|55,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p0166-s020,DIRECTIVE_QUESTION_UNIFIED,166,p0166-s020,q_authored,670,696,Define the ‘known’ action.,DIRECTIVE_QUESTION_220,166|directives|670|696 166|questions|670|696,directives@670..696[EXACT] questions@670..696[EXACT],directive,question,,,,166|directives|670|696 166|questions|670|696,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1660-s000,DIRECTIVE_QUESTION_UNIFIED,1660,p1660-s000,q_authored,10,82,Ask yourself - does Huber have the ability to file across all 50 states?,DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1660|directives|10|82 1660|questions|25|82,directives@10..82[EXACT] questions@25..82[PARTIAL],question,directive,,1660|questions|25|82,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1660|directives|10|82 1660|questions|25|82,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1682-s002,DIRECTIVE_QUESTION_UNIFIED,1682,p1682-s002,q_authored,62,78,Define evidence.,DIRECTIVE_QUESTION_220,1682|directives|62|78 1682|questions|62|78,directives@62..78[EXACT] questions@62..78[EXACT],directive,question,,,,1682|directives|62|78 1682|questions|62|78,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1796-s016,DIRECTIVE_QUESTION_UNIFIED,1796,p1796-s016,q_authored,529,547,"Ask yourself, why?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1796|directives|529|547 1796|questions|543|547,directives@529..547[EXACT] questions@543..547[PARTIAL],question,directive,,1796|questions|543|547,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1796|directives|529|547 1796|questions|543|547,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1822-s001,DIRECTIVE_QUESTION_UNIFIED,1822,p1822-s001,q_authored,26,44,Define Conspiracy.,DIRECTIVE_QUESTION_220,1822|directives|26|44 1822|questions|26|44,directives@26..44[EXACT] questions@26..44[EXACT],directive,question,,,,1822|directives|26|44 1822|questions|26|44,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1822-s064,DIRECTIVE_QUESTION_UNIFIED,1822,p1822-s064,q_authored,2005,2045,Ask yourself a simple question – WHY????,DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1822|directives|2005|2045 1822|questions|2038|2045,directives@2005..2045[EXACT] questions@2038..2045[PARTIAL],question,directive,,1822|questions|2038|2045,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1822|directives|2005|2045 1822|questions|2038|2045,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1841-s001,DIRECTIVE_QUESTION_UNIFIED,1841,p1841-s001,q_authored,57,81,Define Antitrust Law(s).,DIRECTIVE_QUESTION_220,1841|directives|57|81 1841|questions|57|81,directives@57..81[EXACT] questions@57..81[EXACT],directive,question,,,,1841|directives|57|81 1841|questions|57|81,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1862-s007,DIRECTIVE_QUESTION_UNIFIED,1862,p1862-s007,q_authored,560,580,Define 'Projection'.,DIRECTIVE_QUESTION_220,1862|directives|560|580 1862|questions|560|580,directives@560..580[EXACT] questions@560..580[EXACT],directive,question,,,,1862|directives|560|580 1862|questions|560|580,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1862-s008,DIRECTIVE_QUESTION_UNIFIED,1862,p1862-s008,q_authored,581,607,Define 'Insurance Policy'.,DIRECTIVE_QUESTION_220,1862|directives|581|607 1862|questions|581|607,directives@581..607[EXACT] questions@581..607[EXACT],directive,question,,,,1862|directives|581|607 1862|questions|581|607,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1862-s009,DIRECTIVE_QUESTION_UNIFIED,1862,p1862-s009,q_authored,608,652,Define 'Warning Against Attempts to Unveil'.,DIRECTIVE_QUESTION_220,1862|directives|608|652 1862|questions|608|652,directives@608..652[EXACT] questions@608..652[EXACT],directive,question,,,,1862|directives|608|652 1862|questions|608|652,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1873-s003,DIRECTIVE_QUESTION_UNIFIED,1873,p1873-s003,q_authored,87,106,Ask yourself - WHY?,DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1873|directives|87|106 1873|questions|102|106,directives@87..106[EXACT] questions@102..106[PARTIAL],question,directive,,1873|questions|102|106,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1873|directives|87|106 1873|questions|102|106,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1887-s018,DIRECTIVE_QUESTION_UNIFIED,1887,p1887-s018,q_authored,955,982,Define C_A regional assets.,DIRECTIVE_QUESTION_220,1887|directives|955|982 1887|questions|955|982,directives@955..982[EXACT] questions@955..982[EXACT],directive,question,,,,1887|directives|955|982 1887|questions|955|982,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
