occurrenceKey,postNum,kind,start,end,rowCount,identitiesClaimed,metadataCompatibility,automatic,textA,textB,context
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,6,Senate,IDENTICAL_METADATA,true,Senate,Senate,
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,6,Senate,IDENTICAL_METADATA,true,Senate,Senate,
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,6,Senate,IDENTICAL_METADATA,true,Senate,Senate,
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,6,Senate,IDENTICAL_METADATA,true,Senate,Senate,
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,6,Senate,IDENTICAL_METADATA,true,Senate,Senate,
2451|directives|0|58,2451,directives,0,58,2,"Thank you for your service to our Country, Mr. Trey Gowdy!",IDENTICAL_METADATA,true,"Thank you for your service to our Country, Mr. Trey Gowdy!","Thank you for your service to our Country, Mr. Trey Gowdy!",
2463|namedEntities|56|63,2463,namedEntities,56,63,2,D party,IDENTICAL_METADATA,true,D party,D party,
2476|namedEntities|101|103,2476,namedEntities,101,103,2,PS | PlayStation,CONFLICTING_METADATA,false,PS,PS,
2476|namedEntities|160|162,2476,namedEntities,160,162,2,MS | Microsoft,CONFLICTING_METADATA,false,MS,MS,
2519|namedEntities|158|167,2519,namedEntities,158,167,2,WASH POST,IDENTICAL_METADATA,true,WASH POST,WASH POST,
2549|namedEntities|573|582,2549,namedEntities,573,582,2,WASH POST,IDENTICAL_METADATA,true,WASH POST,WASH POST,
2552|namedEntities|285|307,2552,namedEntities,285,307,2,Clinton Foundation | THE CLINTON FOUNDATION,CONFLICTING_METADATA,false,THE CLINTON FOUNDATION,THE CLINTON FOUNDATION,
2627|namedEntities|231|240,2627,namedEntities,231,240,2,WASH POST,IDENTICAL_METADATA,true,WASH POST,WASH POST,
2640|namedEntities|466|473,2640,namedEntities,466,473,2,America,IDENTICAL_METADATA,true,America,America,
2653|namedEntities|1|4,2653,namedEntities,1,4,2,RBG | Ruth Bader Ginsburg,CONFLICTING_METADATA,false,RBG,RBG,
2657|namedEntities|1310|1317,2657,namedEntities,1310,1317,3,Brennan,IDENTICAL_METADATA,true,Brennan,Brennan,
2657|namedEntities|1310|1317,2657,namedEntities,1310,1317,3,Brennan,IDENTICAL_METADATA,true,Brennan,Brennan,
2657|namedEntities|1348|1354,2657,namedEntities,1348,1354,2,Senate,IDENTICAL_METADATA,true,Senate,Senate,
2686|namedEntities|110|112,2686,namedEntities,110,112,2,PP | Planned Parenthood,CONFLICTING_METADATA,false,PP,PP,
2715|namedEntities|90|99,2715,namedEntities,90,99,2,WASH POST,IDENTICAL_METADATA,true,WASH POST,WASH POST,
2844|namedEntities|511|519,2844,namedEntities,511,519,2,Renegade,IDENTICAL_METADATA,true,Renegade,Renegade,
2856|namedEntities|1355|1362,2856,namedEntities,1355,1362,3,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2856|namedEntities|1355|1362,2856,namedEntities,1355,1362,3,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2943|namedEntities|1150|1156,2943,namedEntities,1150,1156,2,Senate,IDENTICAL_METADATA,true,Senate,Senate,
2971|questions|561|799,2971,questions,561,799,2,"""you will be asked to give proof of your identity""\nsynonyms:	evidence, verification, corroboration, authentication, confirmation, certification, validation, attestation, demonstration, substantiation, witness, testament;\nPROOF = EVIDENCE?",IDENTICAL_METADATA,true,"""you will be asked to give proof of your identity""\nsynonyms:	evidence, verification, corroboration, authentication, confirmation, certification, validation, attestation, demonstration, substantiation, witness, testament;\nPROOF = EVIDENCE?","""you will be asked to give proof of your identity""\nsynonyms:	evidence, verification, corroboration, authentication, confirmation, certification, validation, attestation, demonstration, substantiation, witness, testament;\nPROOF = EVIDENCE?",
2984|namedEntities|288|290,2984,namedEntities,288,290,2,PS | PlayStation,CONFLICTING_METADATA,false,PS,PS,
2984|namedEntities|309|311,2984,namedEntities,309,311,2,MS | Microsoft,CONFLICTING_METADATA,false,MS,MS,
2989|namedEntities|693|698,2989,namedEntities,693,698,2,HWOOD | Hollywood,CONFLICTING_METADATA,false,HWOOD,HWOOD,
3004|namedEntities|771|776,3004,namedEntities,771,776,2,Huber,IDENTICAL_METADATA,true,Huber,Huber,
3006|namedEntities|451|457,3006,namedEntities,451,457,2,Senate,IDENTICAL_METADATA,true,Senate,Senate,
3035|namedEntities|50|57,3035,namedEntities,50,57,2,Bill Clinton | Clinton,CONFLICTING_METADATA,false,Clinton,Clinton,
3065|namedEntities|131|134,3065,namedEntities,131,134,2,Nellie Ohr | OHR,CONFLICTING_METADATA,false,OHR,OHR,
3133|namedEntities|251|253,3133,namedEntities,251,253,2,RC | Rachel Chandler,CONFLICTING_METADATA,false,RC,RC,
3158|namedEntities|0|18,3158,namedEntities,0,18,2,Standard Hotel | THE STANDARD HOTEL,CONFLICTING_METADATA,false,THE STANDARD HOTEL,THE STANDARD HOTEL,
3316|namedEntities|279|286,3316,namedEntities,279,286,3,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3316|namedEntities|279|286,3316,namedEntities,279,286,3,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3325|namedEntities|102|110,3325,namedEntities,102,110,2,Renegade,IDENTICAL_METADATA,true,Renegade,Renegade,
3330|namedEntities|191|196,3330,namedEntities,191,196,2,Flynn,IDENTICAL_METADATA,true,Flynn,Flynn,
3383|namedEntities|487|492,3383,namedEntities,487,492,2,Biden | Joe Biden,CONFLICTING_METADATA,false,Biden,Biden,
3408|namedEntities|117|119,3408,namedEntities,117,119,2,PP | Planned Parenthood,CONFLICTING_METADATA,false,PP,PP,
3415|namedEntities|145|147,3415,namedEntities,145,147,2,PP | Planned Parenthood,CONFLICTING_METADATA,false,PP,PP,
3595|namedEntities|0|3,3595,namedEntities,0,3,2,AUS | Australia,CONFLICTING_METADATA,false,AUS,AUS,
3634|namedEntities|650|652,3634,namedEntities,650,652,2,VJ | Valerie Jarrett,CONFLICTING_METADATA,false,VJ,VJ,
3741|namedEntities|344|350,3741,namedEntities,344,350,2,Pelosi,IDENTICAL_METADATA,true,Pelosi,Pelosi,
3778|namedEntities|137|139,3778,namedEntities,137,139,2,NY | New York,CONFLICTING_METADATA,false,NY,NY,
3896|namedEntities|433|457,3896,namedEntities,433,457,2,University of Technology | Wuhan University of Technology,CONFLICTING_METADATA,false,University of Technology,University of Technology,
3915|namedEntities|677|682,3915,namedEntities,677,682,2,China,IDENTICAL_METADATA,true,China,China,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
3992|namedEntities|76|83,3992,namedEntities,76,83,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
4098|namedEntities|69|77,4098,namedEntities,69,77,2,Renegade,IDENTICAL_METADATA,true,Renegade,Renegade,
4153|namedEntities|190|192,4153,namedEntities,190,192,2,WL | WikiLeaks,CONFLICTING_METADATA,false,WL,WL,
4156|namedEntities|115|117,4156,namedEntities,115,117,2,NY | New York,CONFLICTING_METADATA,false,NY,NY,
436|emphasis|42|47,436,emphasis,42,47,2,[DNC],IDENTICAL_METADATA,true,[DNC],[DNC],
4381|emphasis|349|373,4381,emphasis,349,373,2,[prevent accountability],IDENTICAL_METADATA,true,[prevent accountability],[prevent accountability],
4397|namedEntities|773|780,4397,namedEntities,773,780,3,America,IDENTICAL_METADATA,true,America,America,
4397|namedEntities|773|780,4397,namedEntities,773,780,3,America,IDENTICAL_METADATA,true,America,America,
4454|questions|238|404,4454,questions,238,404,2,"At the same time, they gave more power to their obedient followers, like Antifa, while keeping the rest of us trapped at home and censored online.""\nvirus OR ELECTION?",IDENTICAL_METADATA,true,"At the same time, they gave more power to their obedient followers, like Antifa, while keeping the rest of us trapped at home and censored online.""\nvirus OR ELECTION?","At the same time, they gave more power to their obedient followers, like Antifa, while keeping the rest of us trapped at home and censored online.""\nvirus OR ELECTION?",
4552|namedEntities|293|295,4552,namedEntities,293,295,2,PP | Planned Parenthood,CONFLICTING_METADATA,false,PP,PP,
4555|namedEntities|304|307,4555,namedEntities,304,307,2,BLM | Black Lives Matter,CONFLICTING_METADATA,false,BLM,BLM,
4586|namedEntities|123|125,4586,namedEntities,123,125,2,FL | Florida,CONFLICTING_METADATA,false,FL,FL,
4620|namedEntities|487|494,4620,namedEntities,487,494,2,Hussein,IDENTICAL_METADATA,true,Hussein,Hussein,
4620|namedEntities|3229|3231,4620,namedEntities,3229,3231,2,NY | New York,CONFLICTING_METADATA,false,NY,NY,
4635|namedEntities|1782|1789,4635,namedEntities,1782,1789,2,America,IDENTICAL_METADATA,true,America,America,
4802|namedEntities|779|781,4802,namedEntities,779,781,2,NY | New York,CONFLICTING_METADATA,false,NY,NY,
4817|namedEntities|54|59,4817,namedEntities,54,59,2,China,IDENTICAL_METADATA,true,China,China,
4820|namedEntities|0|22,4820,namedEntities,0,22,2,Clinton Foundation | THE CLINTON FOUNDATION,CONFLICTING_METADATA,false,THE CLINTON FOUNDATION,THE CLINTON FOUNDATION,
484|namedEntities|368|371,484,namedEntities,368,371,2,AUS | Australia,CONFLICTING_METADATA,false,AUS,AUS,
5|namedEntities|509|516,5,namedEntities,509,516,2,Clinton,IDENTICAL_METADATA,true,Clinton,Clinton,
559|namedEntities|414|421,559,namedEntities,414,421,2,Hussein,IDENTICAL_METADATA,true,Hussein,Hussein,
563|emphasis|230|252,563,emphasis,230,252,2,THEY WANT YOU DIVIDED.,IDENTICAL_METADATA,true,THEY WANT YOU DIVIDED.,THEY WANT YOU DIVIDED.,
570|namedEntities|1821|1829,570,namedEntities,1821,1829,3,Sessions,IDENTICAL_METADATA,true,Sessions,Sessions,
570|namedEntities|1821|1829,570,namedEntities,1821,1829,3,Sessions,IDENTICAL_METADATA,true,Sessions,Sessions,
570|namedEntities|451|458,570,namedEntities,451,458,2,Hussein,IDENTICAL_METADATA,true,Hussein,Hussein,
570|namedEntities|941|945,570,namedEntities,941,945,2,Iran,IDENTICAL_METADATA,true,Iran,Iran,
636|namedEntities|180|187,636,namedEntities,180,187,2,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
778|namedEntities|44|49,778,namedEntities,44,49,3,China,IDENTICAL_METADATA,true,China,China,
778|namedEntities|44|49,778,namedEntities,44,49,3,China,IDENTICAL_METADATA,true,China,China,
898|namedEntities|45|47,898,namedEntities,45,47,2,HK | Hong Kong,CONFLICTING_METADATA,false,HK,HK,
964|namedEntities|455|460,964,namedEntities,455,460,2,China,IDENTICAL_METADATA,true,China,China,
968|namedEntities|31|36,968,namedEntities,31,36,2,China,IDENTICAL_METADATA,true,China,China,
