stableOccurrenceId,postNum,fullSentence,storedFragment,directivePhrase,startOffset,endOffset,authorshipState,sourceType,contextBefore,contextAfter,fragmentClass,sentencesOnLine,shadowRulingForReference,proposedRuling,reason
"1886#0","1886","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Put on the full armor of God so that you can take your stand against the devil's schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","57","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","""Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"1886#1","1886","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"1886#2","1886","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","829","912","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","And pray in the Spirit on all occasions with all kinds of prayers and requests.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"2#0","2","Follow Huma.","Follow Huma.","Follow Huma.","15","27","Q_AUTHORED_CURRENT_POST","Q_BODY","Where is Huma?","This has nothing to do w/ Russia (yet).","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"22#0","22","Study and prepare.","Study and prepare.","Study and prepare.","41","59","Q_AUTHORED_CURRENT_POST","Q_BODY","Biggest drop to ever be provided on Pol.","The masses tend to panic in such situations.","SENTENCE_ON_SHARED_LINE","6","KEEP_Q_DIRECTIVE","",""
"22#1","22","Clean and swift.","Clean and swift.","Clean and swift.","130","146","Q_AUTHORED_CURRENT_POST","Q_BODY","No civil unrest.","","SENTENCE_ON_SHARED_LINE","6","KEEP_Q_DIRECTIVE","",""
"2397#4","2397","VOTE!","VOTE!","VOTE!","6","11","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2397#5","2397","VOTE!","VOTE!","VOTE!","12","17","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","Q","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2398#2","2398","VOTE!","VOTE!","VOTE!","6","11","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2398#3","2398","VOTE!","VOTE!","VOTE!","12","17","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","Q","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2403#0","2403","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Put on the full armor of God so that you can take your stand against the devil's schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","57","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","""Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"2403#1","2403","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"2403#2","2403","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","829","912","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","And pray in the Spirit on all occasions with all kinds of prayers and requests.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"2418#1","2418","VOTE!","VOTE!","VOTE!","6","11","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2418#2","2418","VOTE!","VOTE!","VOTE!","12","17","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","Q","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2425#1","2425","VOTE!","VOTE!","VOTE!","6","11","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2425#2","2425","VOTE!","VOTE!","VOTE!","12","17","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE! VOTE! VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2425#4","2425","VOTE!","VOTE!","VOTE!","6","11","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2425#5","2425","VOTE!","VOTE!","VOTE!","12","17","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE! VOTE! VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2425#7","2425","VOTE!","VOTE!","VOTE!","6","11","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2425#8","2425","VOTE!","VOTE!","VOTE!","12","17","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","Will you answer the call?","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2437#4","2437","VOTE!","VOTE!","VOTE!","6","11","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","VOTE!","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2437#5","2437","VOTE!","VOTE!","VOTE!","12","17","Q_AUTHORED_CURRENT_POST","Q_BODY","VOTE!","JUSTICE COMING.","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"25#2","25","Keep up the good fight.","Keep up the good fight.","Keep up the good fight.","45","68","Q_AUTHORED_CURRENT_POST","Q_BODY","We all sincerely appreciate the work you do.","The flow of information is vital.","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"26#1","26","Save & spread (once 11.3 verifies as 1st marker).","Save & spread (once 11.3 verifies as 1st marker).","Save & spread (once 11.3 verifies as 1st marker).","48","97","Q_AUTHORED_CURRENT_POST","Q_BODY","Fully controlled.","Biggest advanced drop on Pol.","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"2660#0","2660","Read the warning label.","Read the warning label.","Read the warning label.","36","59","Q_AUTHORED_CURRENT_POST","Q_BODY","Smoking can be bad for your health.","Deboard train and walk away.","SENTENCE_ON_SHARED_LINE","4","KEEP_Q_DIRECTIVE","",""
"2661#0","2661","Regular service appointments should be made in order to maintain functionality.","Regular service appointments should be made in order to maintain functionality.","Regular service appointments should be made in order to maintain functionality.","174","253","Q_AUTHORED_CURRENT_POST","Q_BODY","However, the clock is ticking, and, at a select point in time, that option will be expired.","Q","SENTENCE_ON_SHARED_LINE","4","KEEP_Q_DIRECTIVE","",""
"2682#2","2682","See above re: Control.","See above re: Control.","See above re: Control.","5","27","Q_AUTHORED_CURRENT_POST","Q_BODY","Why?","Transparency is the only way forward.","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"28#0","28","Picture being painted.","Picture being painted.","Picture being painted.","11","33","Q_AUTHORED_CURRENT_POST","Q_BODY","Well done.","","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"2904#0","2904","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","Put on the full armor of God, so that you can take your stand against the devil's schemes.","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","56","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"2904#1","2904","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"2904#2","2904","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","829","912","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","And pray in the Spirit on all occasions with all kinds of prayers and requests.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"30#0","30","Think xkeysc on steroids.","Think xkeysc on steroids.","Think xkeysc on steroids.","145","170","Q_AUTHORED_CURRENT_POST","Q_BODY","These keywords and questions are framed to reduce sniffer programs that continually absorb and analyze data then pushed to z terminals for eval.","","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"31#0","31","There is so much string pulling and blackmail that we need to cut these off to truly gain the power granted to us by the Patriots and hard working people of this great country.","There is so much string pulling and blackmail that we need to cut these off to truly gain the power granted to us by the Patriots and hard working people of this great country.","There is so much string pulling and blackmail that we need to cut these off to truly gain the power granted to us by the Patriots and hard working people of this great country.","250","426","Q_AUTHORED_CURRENT_POST","Q_BODY","Trump and others are working to balance the we’re doing well for America (for the common person to endorse) while at the same time purify our govt and remove the bad actors who are entrenched.","","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"33#2","33","God bless.","God bless.","God bless.","16","26","Q_AUTHORED_CURRENT_POST","Q_BODY","Take good care.","","SENTENCE_ON_SHARED_LINE","2","REMOVE_BLESSING_OR_VALEDICTION","",""
"34#0","34","Rest assured, the safety and well-being of every man, woman, and child of this country is being exhausted in full.","Rest assured, the safety and well-being of every man, woman, and child of this country is being exhausted in full.","Rest assured, the safety and well-being of every man, woman, and child of this country is being exhausted in full.","941","1055","Q_AUTHORED_CURRENT_POST","Q_BODY","False leaks have been made to retain several within the confines of the United States to prevent extradition and special operator necessity.","However, the atmosphere within the country will unfortunately be divided as so many have fallen for the corrupt and evil narrative that has long been broadcast.","SENTENCE_ON_SHARED_LINE","10","KEEP_Q_DIRECTIVE","",""
"35#0","35","Follow the questions from the previous thread(s) and remain calm, the primary targets are within DC and remain at the top (on both sides).","Follow the questions from the previous thread(s) and remain calm, the primary targets are within DC and remain at the top (on both sides).","Follow the questions from the previous thread(s) and remain calm, the primary targets are within DC and remain at the top (on both sides).","195","333","Q_AUTHORED_CURRENT_POST","Q_BODY","We cannot yet telegraph this message through normal methods for reasons I’m sure everyone here can understand.","The spill over in the streets will be quickly shut down.","SENTENCE_ON_SHARED_LINE","5","KEEP_Q_DIRECTIVE","",""
"35#1","35","Look for more false flags – stay alert, be vigilant, and above all, please pray.","Look for more false flags – stay alert, be vigilant, and above all, please pray.","Look for more false flags – stay alert, be vigilant, and above all, please pray.","391","471","Q_AUTHORED_CURRENT_POST","Q_BODY","The spill over in the streets will be quickly shut down.","","SENTENCE_ON_SHARED_LINE","5","KEEP_Q_DIRECTIVE","",""
"35#3","35","It is time to take back our country and make America great again.","It is time to take back our country and make America great again.","It is time to take back our country and make America great again.","165","230","Q_AUTHORED_CURRENT_POST","Q_BODY","POTUS will be well insulated/protected on AF1 and abroad (specific locations classified) while these operations are conducted due to the nature of the entrenchment.","Let us salute and pray for the brave men and women in uniform who will undertake this assignment to bring forth peace, unity, and return power to the people.","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"35#4","35","Let us salute and pray for the brave men and women in uniform who will undertake this assignment to bring forth peace, unity, and return power to the people.","Let us salute and pray for the brave men and women in uniform who will undertake this assignment to bring forth peace, unity, and return power to the people.","Let us salute and pray for the brave men and women in uniform who will undertake this assignment to bring forth peace, unity, and return power to the people.","231","388","Q_AUTHORED_CURRENT_POST","Q_BODY","It is time to take back our country and make America great again.","","SENTENCE_ON_SHARED_LINE","3","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","",""
"3593#0","3593","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","Put on the full armor of God, so that you can take your stand against the devil's schemes.","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","56","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"3593#1","3593","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"3593#2","3593","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","829","912","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","Prepare.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"3594#0","3594","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","Put on the full armor of God, so that you can take your stand against the devil's schemes.","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","56","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"3594#1","3594","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"3594#2","3594","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","829","912","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","Prepare.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"37#1","37","Let these coming days be remembered in our history as the time we fought to recapture the republic from those evil bad actors who for so long have sacrificed the good people of this land for their own personal gain.","Let these coming days be remembered in our history as the time we fought to recapture the republic from those evil bad actors who for so long have sacrificed the good people of this land for their own personal gain.","Let these coming days be remembered in our history as the time we fought to recapture the republic from those evil bad actors who for so long have sacrificed the good people of this land for their own personal gain.","50","265","Q_AUTHORED_CURRENT_POST","Q_BODY","We will never forget.","Fight the good fight.","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"3887#0","3887","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","Put on the full armor of God, so that you can take your stand against the devil's schemes.","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","56","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"3887#1","3887","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"3887#2","3887","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","829","912","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","And pray in the Spirit on all occasions with all kinds of prayers and requests. With this in mind, be alert and always keep on praying for all the Lord’s people.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"4#2","4","Sit back and enjoy the show.","Sit back and enjoy the show.","Sit back and enjoy the show.","25","53","Q_AUTHORED_CURRENT_POST","Q_BODY","Patriots are in control.","","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"41#0","41","Enjoy the crumbs.","Enjoy the crumbs.","Enjoy the crumbs.","294","311","Q_AUTHORED_CURRENT_POST","Q_BODY","Shocking no global news agency suspects we had nothing to do with it.","","SENTENCE_ON_SHARED_LINE","5","KEEP_Q_DIRECTIVE","",""
"4207#0","4207","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","Put on the full armor of God, so that you can take your stand against the devil's schemes.","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","56","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
