post,fullSentence,directivePhrase,contextBefore,contextAfter,qAuthored,sourceType,ruling,proposedDestination,reason
"4648","Have faith in Humanity.","Have faith in Humanity.","There are good people standing behind you.","Have faith in Yourself.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4648","Have faith in Yourself.","Have faith in Yourself.","Have faith in Humanity.","Nothing can stop what is coming.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4746","Have faith in Humanity.","Have faith in Humanity.","Political spying [illegal] less than 1%.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4760","Have faith in your research.","Have faith in your research.","Anons have always known.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4915","Have faith in Humanity.","Have faith in Humanity.","The truth won't be for everyone.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"5","Have faith.","Have faith.","Also many are thinking from one point of view, US only, this evil is embedded globally. US is the first domino.","","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"521","Have FAITH - WE ARE IN CONTROL.","Have FAITH - WE ARE IN CONTROL.","Do you TRUST the Chain Of Command?","PATRIOTS.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"521","HAVE FAITH.","HAVE FAITH.","PATRIOTS DAY.","YOU WERE CHOSEN FOR A REASON.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"556","Have FAITH, Patriot.","Have FAITH, Patriot.","The 'CURE' will spread WW.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"668","HAVE FAITH.","HAVE FAITH.","STAY STRONG.","THIS IS BIGGER THAN ANYONE CAN IMAGINE.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"67","Have faith.","Have faith.","Watch the news.","What fake news anchor will not be on air tonight?","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"690","Have faith.","Have faith.","Do you believe?","THE HUNTERS BECOME THE HUNTED.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"70","Have faith.","Have faith.","NG?","These, the crumbs, in time, will equate to the biggest drops ever disclosed in our history.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"76","Have faith.","Have faith.","NG?","These, the crumbs, in time, will equate to the biggest drops ever disclosed in our history.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
