post,index,fullSentence,directivePhrase,religiousSegment,qAuthored,sourceType,currentClassification,proposedClassification,religious,ruling,reason
"102","0","Godspeed.","Godspeed.","","true","q_post_body","Q Directive","Removed from Q Directives","false","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"1020","0","Refer to old drops re: SA / NG.","Refer to old drops re: SA / NG.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1021","0","List the estimated wealth of religious organizations.","List the estimated wealth of religious organizations.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1025","0","God bless, Q","God bless, Q","","false","quoted_or_third_party","Q Directive","Removed from Q Directives","true","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"1027","0","Pray.","Pray.","","true","q_post_body","Q Directive","Q Directive + Religion & Spirituality","true","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q-authored religious command. Stays a Directive AND belongs to Religion & Spirituality."
"1027","1","Watch the news tomorrow.","Watch the news tomorrow.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"103","0","Come home safe.","Come home safe.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"103","1","Godspeed.","Godspeed.","","true","q_post_body","Q Directive","Removed from Q Directives","false","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"1030","0","Pray.","Pray.","","true","q_post_body","Q Directive","Q Directive + Religion & Spirituality","true","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q-authored religious command. Stays a Directive AND belongs to Religion & Spirituality."
"1032","0","Think Navy Ship crashes.","Think Navy Ship crashes.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1034","0","Track events.","Track events.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"104","0","God bless the United States of America.","God bless the United States of America.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"1046","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1048","0","Connect via past religious leaders (re: Hussein).","Connect via past religious leaders (re: Hussein).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1049","0","Think NK.","Think NK.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1049","1","Think Nuke stranglehold.","Think Nuke stranglehold.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1049","2","Think logically.","Think logically.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"105","0","Please pray.","Please pray.","","true","q_post_body","Q Directive","Q Directive + Religion & Spirituality","true","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q-authored religious command. Stays a Directive AND belongs to Religion & Spirituality."
"105","1","Please pause and give thanks to those who would die to save our republic.","Please pause and give thanks to those who would die to save our republic.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1050","0","Stand strong.","Stand strong.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1052","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1054","0","Look up Ray.Chandler.","Look up Ray.Chandler.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1055","0","Follow friends.","Follow friends.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1055","1","Open source.","Open source.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1056","0","Focus on friends (2).","Focus on friends (2).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1057","0","Report to FBI / DOJ.","Report to FBI / DOJ.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1057","1","Watch what happens.","Watch what happens.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1057","2","End.","End.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"106","0","God bless.","God bless.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"1063","0","Spread out by design.","Spread out by design.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1063","1","Open the door.","Open the door.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1063","2","Close to door.","Close to door.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1068","0","Pray.","Pray.","","true","q_post_body","Q Directive","Q Directive + Religion & Spirituality","true","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q-authored religious command. Stays a Directive AND belongs to Religion & Spirituality."
"107","0","Note when we just sent the go orders and when this Tweet went live.","Note when we just sent the go orders and when this Tweet went live.","","false","quoted_or_third_party","Q Directive","Removed from Q Directives","false","REMOVE_QUOTED_OR_THIRD_PARTY","The command belongs to an Anonymous post, article, letter, image or screenshot quoted by Q."
"107","1","Pray.","Pray.","","true","q_post_body","Q Directive","Q Directive + Religion & Spirituality","true","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q-authored religious command. Stays a Directive AND belongs to Religion & Spirituality."
"1073","0","Listen carefully.","Listen carefully.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1074","0","Read between the lines.","Read between the lines.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1075","0","Buckle up.","Buckle up.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1077","0","Prevent at all costs.","Prevent at all costs.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1078","0","Contact window ok.","Contact window ok.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1079","0","Relay back channel S-WH-E-P1.","Relay back channel S-WH-E-P1.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"108","0","Analyze time stamps of my go message to BO's Tweet.","Analyze time stamps of my go message to BO's Tweet.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1081","0","Think logically.","Think logically.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1082","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1085","0","Think.","Think.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1085","1","Have faith.","Have faith.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_STATEMENT_OR_HEADING","Religious, but declarative — a statement, slogan or label rather than an instruction."
"1085","2","Trust the plan.","Trust the plan.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1090","0","Open source.","Open source.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1091","0","Think Double.","Think Double.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1093","0","Watch again.","Watch again.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1093","1","God bless you all.","God bless you all.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"1094","0","Flag.","Flag.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1097","0","Dig.","Dig.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1097","1","Find ALL pics.","Find ALL pics.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1098","0","Bring back the gallows!","Bring back the gallows!","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1100","0","Track congressional intake (reported).","Track congressional intake (reported).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1100","1","Keep open (+6 mo).","Keep open (+6 mo).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1100","2","Drain the swamp.","Drain the swamp.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1101","0","Follow the family.","Follow the family.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1101","1","Re_read drops.","Re_read drops.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1102","0","Don't forget how to PLAY.","Don't forget how to PLAY.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1102","1","Think emails (LL, HRC, HUSSEIN, etc).","Think emails (LL, HRC, HUSSEIN, etc).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1104","0","Think 'Bridge'.","Think 'Bridge'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1106","0","Hold until CONF.","Hold until CONF.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1106","1","Have faith.","Have faith.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_STATEMENT_OR_HEADING","Religious, but declarative — a statement, slogan or label rather than an instruction."
"1106","2","Trust POTUS.","Trust POTUS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"111","0","Pray.","Pray.","","true","q_post_body","Q Directive","Q Directive + Religion & Spirituality","true","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q-authored religious command. Stays a Directive AND belongs to Religion & Spirituality."
"111","1","Repeat.","Repeat.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1113","0","Learn our comms.","Learn our comms.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1115","0","Read carefully.","Read carefully.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"112","0","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"112","1","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"112","2","Repeat.","Repeat.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"112","3","Summarize and paint the picture.","Summarize and paint the picture.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1120","0","Clarify.","Clarify.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1120","1","Demand.","Demand.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1120","2","Confirm tariff reduction.","Confirm tariff reduction.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1120","3","Start.","Start.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1122","0","TRUST SESSIONS.","TRUST SESSIONS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1122","1","TRUST WRAY.","TRUST WRAY.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1122","2","TRUST KANSAS.","TRUST KANSAS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1122","3","TRUST HOROWITZ.","TRUST HOROWITZ.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1122","4","TRUST HUBER.","TRUST HUBER.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1124","0","END.","END.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1124","1","Testify then drop.","Testify then drop.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1127","0","Refer back - the 'Why?'","Refer back - the 'Why?'","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1127","1","Trust the plan.","Trust the plan.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1138","0","Study carefully.","Study carefully.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1145","0","Trust POTUS.","Trust POTUS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1146","0","Expand your thinking.","Expand your thinking.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1146","1","Trust the plan!","Trust the plan!","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1149","0","Think timing.","Think timing.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1155","0","Focus should also be on Supreme Court promise.","Focus should also be on Supreme Court promise.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"116","0","Archive immediately.","Archive immediately.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"116","1","Upload to graphic.","Upload to graphic.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1164","0","Re_read Five Eyes.","Re_read Five Eyes.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1164","1","Avoid US data collection laws.","Avoid US data collection laws.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"117","0","Define.","Define.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"117","1","Reconcile.","Reconcile.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1176","0","Think logically.","Think logically.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1176","1","Think State of the Union - FREE.","Think State of the Union - FREE.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"118","0","Think SA.","Think SA.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"118","1","Think 'Taken'.","Think 'Taken'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"118","2","Repeat.","Repeat.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1180","0","Join POTUS' legal team.","Join POTUS' legal team.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1180","1","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1181","0","Trust the plan.","Trust the plan.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1182","0","Update.","Update.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1182","1","Read.","Read.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1182","2","Study the EOs.","Study the EOs.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1182","3","Follow the 'pen'.","Follow the 'pen'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1182","4","Connect.","Connect.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1182","5","Learn.","Learn.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1183","0","Push to DIVIDE is strong.","Push to DIVIDE is strong.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1183","1","Think pre vs post 2016 election.","Think pre vs post 2016 election.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1183","2","Stay TOGETHER.","Stay TOGETHER.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1183","3","Stay STRONG.","Stay STRONG.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1184","0","Archive immediately.","Archive immediately.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1186","0","Archive OFFLINE immediately.","Archive OFFLINE immediately.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1187","0","Think net worth.","Think net worth.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1188","0","Build profile 1XD x7","Build profile 1XD x7","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"119","0","List the Billionaires.","List the Billionaires.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"119","1","Reconcile.","Reconcile.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1190","0","Think SC.","Think SC.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1197","0","Watch CA.","Watch CA.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1198","0","Keep up the good fight!","Keep up the good fight!","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1199","0","Answer Q re: SR.","Answer Q re: SR.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"120","0","Think Snowden.","Think Snowden.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1208","0","Expand further.","Expand further.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1208","1","Open source.","Open source.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1209","0","END.","END.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"121","0","Compare.","Compare.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"121","1","List.","List.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"121","2","Laugh.","Laugh.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1213","0","Open source.","Open source.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1218","0","Push FAKE NEWS [4am] - MSM PRE BAD news [THEM].","Push FAKE NEWS [4am] - MSM PRE BAD news [THEM].","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1219","0","Think Sessions.","Think Sessions.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1219","1","Expand your thinking outside of 'leaks'.","Expand your thinking outside of 'leaks'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"122","0","Refer back to black pop crumbs.","Refer back to black pop crumbs.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"122","1","Paint the picture.","Paint the picture.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"122","2","Pray.","Pray.","","true","q_post_body","Q Directive","Q Directive + Religion & Spirituality","true","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q-authored religious command. Stays a Directive AND belongs to Religion & Spirituality."
"1220","0","Protect domestic high prices.","Protect domestic high prices.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1221","0","Trust funds (3).","Trust funds (3).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1222","0","Think public & private Twitter accounts.","Think public & private Twitter accounts.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1223","0","Think private email addresses.","Think private email addresses.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
