post_number,confidence,full_source_sentence,current_category,proposed_category,rejection_reason,source_type,recovered_canonical_sentence
"147","GREEN","Pray.","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"181","GREEN","Dear Q: Jesus Christ was fucking pissed at his apostles most of the time because they were stupid fucks (at the time) that couldn't piece together even the most basic of clues.","God / Lord / Jesus / Christ; Sacred doctrine / eschatology","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"217","GREEN","GOD DAMMIT ONE MORE CLUE - HOW THE FUCK WILL WE EVER CONNECT ""KEYHOLE"" TO THIS?","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"290","GREEN","POPE VISITS HOLY SITE OF SERMON ON THE MOUNT.","Religious headline / holy site","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"307","GREEN","Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us, and lead us not into temptation, but deliver us from evil.","Sacred doctrine / eschatology; Grace / mercy / sin / righteousness; Evil / moral language","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"316","GREEN","The proposed change to the Lord's Prayer is not the point.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"323","GREEN","Service to God and patriots","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"611","GREEN","If you guys could send some prayers my way it would be greatly appreciated","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"620","GREEN","God speed everyone.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"620","GREEN","God speed.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"621","GREEN","God bless you for this amazing work that you are doing.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"736","GREEN","In the Q Bible, this is the second shortest sentence.","Bible / Scripture / Gospel","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"779","GREEN","FOR GOD & COUNTRY.","God / Lord / Jesus / Christ; Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"884","GREEN","I pray so hard every night!","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"917","GREEN","Praying every day.","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"997","GREEN","P = pope?","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"998","GREEN",">[Pope] will be having a terrible May.[Pope] will be having a terrible May.","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1013","GREEN","Our thoughts and prayers are with the four U.S. Marines from the 3rd Marine Aircraft Wing who lost their lives in yesterday’s Southern California helicopter crash.","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1013","GREEN","We pray for their families, and our great @USMC","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1043","GREEN","Christian ?","Christianity / named Christian doctrine","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1043","GREEN","Christian Ring ?","Christianity / named Christian doctrine","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1047","GREEN","Normies don't give a crap if he is MUSLIM.","Islam / Judaism / named religion","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1050","GREEN","Sending my love and prayers <3","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1050","GREEN","God speed.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1119","GREEN","God bless.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1272","GREEN","Those you trust are the most guilty of sin.","Sin / religious doctrine","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached screenshot of an earlier Q post",""
"1272","GREEN","If you are religious, PRAY.","Religion / prayer","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached screenshot of an earlier Q post",""
"1296","GREEN","God bless you all.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1402","GREEN","God Bless the United States of America.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1488","GREEN","GOD BLESS YOU, POTUS, AND THE UNITED STATES OF AMERICA!!","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1519","GREEN","God is with you and all of us.","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1526","GREEN","You are furthering the Divine Stride of our Founding Fathers.","Sacred doctrine / eschatology","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1526","GREEN","May you feel their blessing and may they shower keen intelligence, power and safety upon you.","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1584","GREEN","God bless you all.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1603","GREEN","IN GOD WE TRUST.","God / Lord / Jesus / Christ; Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1699","GREEN","So help me God.","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1904","GREEN",">>MILAGROS are small metal religious charms found in many areas of Latin America, especially Guatemala & Mexico.","Christianity / named Christian doctrine","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1904","GREEN","These small charms, often depicting arms, legs, praying people, farm animals and a wide range of other subjects are typically nailed or pinned to crosses or wooden statues of various saints like the Virgin Mary or Christ, sacred objects, pinned on the clothing of saint statues, or hung with little red ribbons or threads from altars and shrines.","God / Lord / Jesus / Christ; Prayer / blessing / invocation; Sacred doctrine / eschatology; Savior / saint / angel / miracle","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1951","GREEN","HOLY SHIT IT JUST HIT ME IN EARLY DROPS Q MENTIONED GODFATHER 3 - MICHAEL CORLEONE IS FIGHTING THE CORRUPT ELEMENTS OF THE VATICAN IN GODFATHER 3","Church / clergy / worship; Holy / sacred metaphor","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1961","GREEN","I am isolated with my husband and thank God our dogs… to our family we can’t even mention the Presidents name, so we don’t but it hurts so much.","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1961","GREEN","God bless you from the Netherlands !","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1965","GREEN","AMEN Q!!!!!!!!!!!!","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2050","GREEN","For God & Country.","God / Lord / Jesus / Christ; Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2081","GREEN","NOTE THE SATANIC CROSS SHE WEARS.","Satanic / cross symbolism","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"2126","GREEN","Thanks & Godspeed.","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2181","GREEN","""I do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.""","God / Lord / Jesus / Christ; Faith / belief; Faith language used in a civic oath","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2432","GREEN","Q, may God bless us all today.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2463","GREEN","God bless you, Patriots!","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2594","GREEN","He was the vatican treasurer I'm sure that carries some weight","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2624","GREEN","Q, please tell us who or what the Wizards and Warlocks are.","Occult / ritual / pagan","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2730","GREEN","God speed Q+++","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2751","GREEN","I trust Potus And I trust the LORD.","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2751","GREEN","The Lord is leading Potus, of that I'm certain.","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2821","GREEN","I thank God for you guys, and I'll stay strong for my suffering pal tonight, because WWG1WGA.","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2877","GREEN","JUDGEMENT DAY COMING.","Sacred doctrine / eschatology","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2878","GREEN","JUDGEMENT DAY COMING.","Sacred doctrine / eschatology","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"2904","GREEN","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted Bible/Scripture passage reproduced in Q post",""
"3547","GREEN","Praying for POTUS, Q team and all patriots.","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3547","GREEN","God wins!","God / Lord / Jesus / Christ; Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3564","GREEN","He sent among them swarms of flies, which devoured them, and frogs, which destroyed them.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"3683","GREEN","God Bless you POTUS and Q!","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3709","GREEN","#Vatican ambassador to #France resigns after molestation allegations","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3709","GREEN","Godspeed Q","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3757","GREEN","GOD WINS","God / Lord / Jesus / Christ; Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3826","GREEN","IN GOD WE TRUST.","Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"3827","GREEN","IN GOD WE TRUST.","God / Lord / Jesus / Christ; Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3887","GREEN","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted Bible/Scripture passage reproduced in Q post",""
"3894","GREEN","GOD WINS","God / Lord / Jesus / Christ; Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3914","GREEN","Finally, be strong in the Lord and in the strength of His might.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"3914","GREEN","Put on the full armor of God, so that you will be able to stand firm against the schemes of the devil.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"3967","GREEN","Just like Q & Q+ put on that Armor of God Patriots!","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3967","GREEN","Keep Praying!","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"3967","GREEN","In the end, God Wins!","God / Lord / Jesus / Christ; Explicit religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4207","GREEN","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted Bible/Scripture passage reproduced in Q post",""
"4249","GREEN","Have faith in God.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"4332","GREEN","We hold these truths to be self-evident, that all men (& women) are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.","Creator in explicitly religious formulation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4353","GREEN","This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or local identity to exploit common societal grievances or needs.","Christianity / named Christian doctrine","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4355","GREEN","THEY WANT RELIGIOUS WARS.","Religion / religious conflict","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"4355","GREEN","FOR GOD AND COUNTRY - LEARN.","God / religious civic phrase","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"4429","GREEN","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted Bible/Scripture passage reproduced in Q post",""
"4510","GREEN","I do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.","God / Lord / Jesus / Christ; Faith / belief; Faith language used in a civic oath","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4648","GREEN","Thank you, and God Bless.","God / Lord / Jesus / Christ; Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4790","GREEN","God woke you up for a reason.","God / spiritual awakening","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"4799","GREEN","Rebuffed by Vatican, Pompeo Assails China and Aligns With Pope’s Critics","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","Pope Francis declined to see Secretary of State Mike Pompeo, who is demanding a harder Vatican line on China.","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","The Holy See said meeting just before a U.S. election would be inappropriate.","Church / clergy / worship; Holy / sacred metaphor","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","ROME — Secretary of State Mike Pompeo recently published a sharp letter excoriating the Vatican’s plans to renew an agreement with the Chinese government on Church operations in China.","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","He promoted the article in a tweet, concluding, “The Vatican endangers its moral authority, should it renew the deal.”","Church / clergy / worship; Evil / moral language","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","An indignant Vatican took the article more as a calculated affront than a diplomatic gesture.","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","The friction broke into the open on Wednesday as Mr. Pompeo arrived in Rome and met with prelates and others who are hostile to Pope Francis, while the Vatican denied him a meeting with the pontiff and rebuffed his efforts to derail the deal with China.","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","“Pompeo asked to meet” the pope, who turned him down because Francis had “clearly said that he does not receive political figures ahead of the elections,” Cardinal Pietro Parolin, who, as secretary of state, is the Vatican’s second-ranking official, told reporters.","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","But to some observers on both sides of the tensions between the Roman Catholic Church and the Trump administration, Mr. Pompeo’s visit is as much about the coming presidential election as about China policy.","Church / clergy / worship; Christianity / named Christian doctrine","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","Mr. Pompeo dismissed that suggestion as absurd, but intended or not, his trip signals that President Trump is on the side of those conservative American Catholics who worry about the church’s direction under Francis and think he is soft on China.","Church / clergy / worship; Christianity / named Christian doctrine","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","In appealing to the Vatican’s support for religious freedom as a reason to drop its China agreement, Mr. Pompeo seemed to seek common ground, but in a way that upset the pope’s chief allies and delighted his chief critics.","Church / clergy / worship; Christianity / named Christian doctrine; Religious conflict / freedom","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
