postNum,recordId,occurrenceIndex,fullSentence,directivePhrase,religiousSegment,lineIndex,authorshipState,sourceType,originalPostNum,ruling,religious
"1054","1054#0","0","Look up Ray.Chandler.","Look up Ray.Chandler.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1055","1055#0","0","Follow friends.","Follow friends.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1055","1055#1","1","Open source.","Open source.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1056","1056#0","0","Focus on friends (2).","Focus on friends (2).","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1057","1057#0","0","Report to FBI / DOJ.","Report to FBI / DOJ.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1057","1057#1","1","Watch what happens.","Watch what happens.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1057","1057#2","2","End.","End.","","6","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"106","106#0","0","God bless.","God bless.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","REMOVE_BLESSING_OR_VALEDICTION","true"
"1063","1063#0","0","Spread out by design.","Spread out by design.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1063","1063#1","1","Open the door.","Open the door.","","6","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1063","1063#2","2","Close to door.","Close to door.","","8","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1068","1068#0","0","Pray.","Pray.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","true"
"107","107#0","0","Note when we just sent the go orders and when this Tweet went live.","Note when we just sent the go orders and when this Tweet went live.","","2","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","","REMOVE_QUOTED_OR_THIRD_PARTY","false"
"107","107#1","1","Pray.","Pray.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","true"
"1073","1073#0","0","Listen carefully.","Listen carefully.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1074","1074#0","0","Read between the lines.","Read between the lines.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1075","1075#0","0","Buckle up.","Buckle up.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1077","1077#0","0","Prevent at all costs.","Prevent at all costs.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1078","1078#0","0","Contact window ok.","Contact window ok.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1079","1079#0","0","Relay back channel S-WH-E-P1.","Relay back channel S-WH-E-P1.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"108","108#0","0","Analyze time stamps of my go message to BO's Tweet.","Analyze time stamps of my go message to BO's Tweet.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1081","1081#0","0","Think logically.","Think logically.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1082","1082#0","0","Enjoy the show.","Enjoy the show.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1085","1085#0","0","Think.","Think.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1085","1085#1","1","Have faith.","Have faith.","","10","Q_AUTHORED_CURRENT_POST","q_post_body","","REMOVE_STATEMENT_OR_HEADING","true"
"1085","1085#2","2","Trust the plan.","Trust the plan.","","11","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1090","1090#0","0","Open source.","Open source.","","12","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1091","1091#0","0","Think Double.","Think Double.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1093","1093#0","0","Watch again.","Watch again.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1093","1093#1","1","God bless you all.","God bless you all.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","REMOVE_BLESSING_OR_VALEDICTION","true"
"1094","1094#0","0","Flag.","Flag.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1097","1097#0","0","Dig.","Dig.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1097","1097#1","1","Find ALL pics.","Find ALL pics.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1098","1098#0","0","Bring back the gallows!","Bring back the gallows!","","7","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1100","1100#0","0","Track congressional intake (reported).","Track congressional intake (reported).","","11","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1100","1100#1","1","Keep open (+6 mo).","Keep open (+6 mo).","","12","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1100","1100#2","2","Drain the swamp.","Drain the swamp.","","16","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1101","1101#0","0","Follow the family.","Follow the family.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1101","1101#1","1","Re_read drops.","Re_read drops.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1102","1102#0","0","Don't forget how to PLAY.","Don't forget how to PLAY.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1102","1102#1","1","Think emails (LL, HRC, HUSSEIN, etc).","Think emails (LL, HRC, HUSSEIN, etc).","","17","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1104","1104#0","0","Think 'Bridge'.","Think 'Bridge'.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1106","1106#0","0","Hold until CONF.","Hold until CONF.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1106","1106#1","1","Have faith.","Have faith.","","6","Q_AUTHORED_CURRENT_POST","q_post_body","","REMOVE_STATEMENT_OR_HEADING","true"
"1106","1106#2","2","Trust POTUS.","Trust POTUS.","","7","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"111","111#0","0","Pray.","Pray.","","51","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","true"
"111","111#1","1","Repeat.","Repeat.","","13","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1113","1113#0","0","Learn our comms.","Learn our comms.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1115","1115#0","0","Read carefully.","Read carefully.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"112","112#0","0","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","","7","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"112","112#1","1","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","","9","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"112","112#2","2","Repeat.","Repeat.","","8","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"112","112#3","3","Summarize and paint the picture.","Summarize and paint the picture.","","15","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1120","1120#0","0","Clarify.","Clarify.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1120","1120#1","1","Demand.","Demand.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1120","1120#2","2","Confirm tariff reduction.","Confirm tariff reduction.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1120","1120#3","3","Start.","Start.","","12","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1122","1122#0","0","TRUST SESSIONS.","TRUST SESSIONS.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1122","1122#1","1","TRUST WRAY.","TRUST WRAY.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1122","1122#2","2","TRUST KANSAS.","TRUST KANSAS.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1122","1122#3","3","TRUST HOROWITZ.","TRUST HOROWITZ.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1122","1122#4","4","TRUST HUBER.","TRUST HUBER.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1124","1124#0","0","END.","END.","","7","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1124","1124#1","1","Testify then drop.","Testify then drop.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1127","1127#0","0","Refer back - the 'Why?'","Refer back - the 'Why?'","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1127","1127#1","1","Trust the plan.","Trust the plan.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1138","1138#0","0","Study carefully.","Study carefully.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1145","1145#0","0","Trust POTUS.","Trust POTUS.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1146","1146#0","0","Expand your thinking.","Expand your thinking.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1146","1146#1","1","Trust the plan!","Trust the plan!","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1149","1149#0","0","Think timing.","Think timing.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1155","1155#0","0","Focus should also be on Supreme Court promise.","Focus should also be on Supreme Court promise.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"116","116#0","0","Archive immediately.","Archive immediately.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"116","116#1","1","Upload to graphic.","Upload to graphic.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1164","1164#0","0","Re_read Five Eyes.","Re_read Five Eyes.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1164","1164#1","1","Avoid US data collection laws.","Avoid US data collection laws.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"117","117#0","0","Define.","Define.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"117","117#1","1","Reconcile.","Reconcile.","","29","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1176","1176#0","0","Think logically.","Think logically.","","11","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1176","1176#1","1","Think State of the Union - FREE.","Think State of the Union - FREE.","","6","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"118","118#0","0","Think SA.","Think SA.","","21","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"118","118#1","1","Think 'Taken'.","Think 'Taken'.","","23","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"118","118#2","2","Repeat.","Repeat.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1180","1180#0","0","Join POTUS' legal team.","Join POTUS' legal team.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1180","1180#1","1","Enjoy the show.","Enjoy the show.","","7","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1181","1181#0","0","Trust the plan.","Trust the plan.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1182","1182#0","0","Update.","Update.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1182","1182#1","1","Read.","Read.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1182","1182#2","2","Study the EOs.","Study the EOs.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1182","1182#3","3","Follow the 'pen'.","Follow the 'pen'.","","6","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1182","1182#4","4","Connect.","Connect.","","8","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1182","1182#5","5","Learn.","Learn.","","9","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1183","1183#0","0","Push to DIVIDE is strong.","Push to DIVIDE is strong.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1183","1183#1","1","Think pre vs post 2016 election.","Think pre vs post 2016 election.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1183","1183#2","2","Stay TOGETHER.","Stay TOGETHER.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1183","1183#3","3","Stay STRONG.","Stay STRONG.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1184","1184#0","0","Archive immediately.","Archive immediately.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1186","1186#0","0","Archive OFFLINE immediately.","Archive OFFLINE immediately.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1187","1187#0","0","Think net worth.","Think net worth.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1188","1188#0","0","Build profile 1XD x7","Build profile 1XD x7","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"119","119#0","0","List the Billionaires.","List the Billionaires.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"119","119#1","1","Reconcile.","Reconcile.","","18","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1190","1190#0","0","Think SC.","Think SC.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1197","1197#0","0","Watch CA.","Watch CA.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1198","1198#0","0","Keep up the good fight!","Keep up the good fight!","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1199","1199#0","0","Answer Q re: SR.","Answer Q re: SR.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"120","120#0","0","Think Snowden.","Think Snowden.","","16","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1208","1208#0","0","Expand further.","Expand further.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1208","1208#1","1","Open source.","Open source.","","8","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1209","1209#0","0","END.","END.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"121","121#0","0","Compare.","Compare.","","18","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"121","121#1","1","List.","List.","","18","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"121","121#2","2","Laugh.","Laugh.","","18","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1213","1213#0","0","Open source.","Open source.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1218","1218#0","0","Push FAKE NEWS [4am] - MSM PRE BAD news [THEM].","Push FAKE NEWS [4am] - MSM PRE BAD news [THEM].","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1219","1219#0","0","Think Sessions.","Think Sessions.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1219","1219#1","1","Expand your thinking outside of 'leaks'.","Expand your thinking outside of 'leaks'.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"122","122#0","0","Refer back to black pop crumbs.","Refer back to black pop crumbs.","","15","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"122","122#1","1","Paint the picture.","Paint the picture.","","19","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"122","122#2","2","Pray.","Pray.","","23","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","true"
"1220","1220#0","0","Protect domestic high prices.","Protect domestic high prices.","","9","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1221","1221#0","0","Trust funds (3).","Trust funds (3).","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1222","1222#0","0","Think public & private Twitter accounts.","Think public & private Twitter accounts.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1223","1223#0","0","Think private email addresses.","Think private email addresses.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1224","1224#0","0","Think Wendy.","Think Wendy.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1224","1224#1","1","Enjoy the show.","Enjoy the show.","","6","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1225","1225#0","0","Learn our comms.","Learn our comms.","","8","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1228","1228#0","0","Look at those palm trees!","Look at those palm trees!","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1229","1229#0","0","Expand further.","Expand further.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1232","1232#0","0","Please stand by.","Please stand by.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1235","1235#0","0","Don't forget about Huma.","Don't forget about Huma.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
