Post,Sentence,GPT Category,Claude Category,Matches GPT,Confidence,Note
3909,Welcome to the [D][People�s Republic of China] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4181,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4219,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4307,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4310,Welcome to the Shadow Presidency of Barack H.,Acknowledgment / Valediction,Q Claims,NO,low,rhetorical framing that asserts a condition; split-sentence fragment (period after abbreviation broke the sentence)
4311,Welcome to the shadow presidency of Barack Hussein Obama.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
4317,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4379,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4447,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4451,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4458,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4471,Welcome to the REAL [D] PARTY.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4639,Welcome to CA.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
4680,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4846,"""Thank you to our Justice Department and our federal law enforcement agencies for protecting our Governors and all the rest of our people without regard to politics.""",Acknowledgment / Valediction,Q Claims,NO,high,quoted POTUS statement
20,Why aren�t phones allowed in this room (one of many).,Claim,Q Questions,NO,high,question form despite period
35,"Love is patient, love is kind.�",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
69,"He makes me lie down in green pastures, he leads me beside quiet waters, he refreshes my soul.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
69,He guides me along the right paths for his name�s sake.,Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
69,You prepare a table before me in the presence of my enemies.,Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
69,You anoint my head with oil; my cup overflows.,Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
70,What are the laws in SA v.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
76,What are the laws in SA v.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
88,Darkness.,Claim,Q Themes,NO,high,recurring movement refrain
97,Moves and countermoves.,Claim,Q Themes,NO,high,recurring refrain
97,Good v.,Claim,Q Themes,NO,low,recurring movement refrain; split-sentence fragment (period after abbreviation broke the sentence)
128,Moves and countermoves.,Claim,Q Themes,NO,high,recurring refrain
142,Who is A.,Claim,Q Questions,NO,high,question form despite period
142,What is A.,Claim,Q Questions,NO,high,question form despite period
154,Thy kingdom come.,Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
154,"and lead us not into temptation, but deliver us from evil.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
173,Wizards & Warlocks.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
177,Green.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
178,Green (Yes).,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
236,The Sum of all Fears.,Claim,Q Entities,NO,high,entity/organization reference
302,For Green.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
335,No coincidences.,Claim,Q Themes,NO,high,recurring refrain
362,Rig for silent running.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
365,Darkness.,Claim,Q Themes,NO,high,recurring movement refrain
405,We listened.,Claim,Q Themes,NO,high,recurring movement refrain
405,No coincidences.,Claim,Q Themes,NO,high,recurring refrain
407,We listened.,Claim,Q Themes,NO,high,recurring movement refrain
513,"WHERE WE GO ONE, WE GO ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
518,Good job migrating.,Claim,Q Themes,NO,high,acknowledgment/valediction — movement/community language
520,NOTHING is a coincidence.,Claim,Q Themes,NO,high,recurring refrain
521,"WHERE WE GO ONE, WE GO ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
533,"WHERE WE GO ONE, WE GO ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
553,The TELL.,Claim,Q Themes,NO,high,recurring movement refrain
568,WarGames.,Claim,Q Entities,NO,high,entity/organization reference
568,We know all.,Claim,Q Themes,NO,high,recurring movement refrain
577,Moves and countermoves.,Claim,Q Themes,NO,high,recurring refrain
577,Night_Riders_FLY.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
578,Your move.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
599,"Where we go one, we go all.",Claim,Q Themes,NO,high,the WWG1WGA motto
636,Wizards & [WAR]locks.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
669,[2 listeners - no IDEN].,Claim,Q [ Brackets ],NO,high,bare bracketed token
689,Critical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
692,[Last discussion on this subject].,Claim,Q [ Brackets ],NO,high,bare bracketed token
703,"Where we go one, we go all.",Claim,Q Themes,NO,high,the WWG1WGA motto
778,"WHERE WE GO ONE, WE GO ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
817,We know.,Claim,Q Themes,NO,high,recurring movement refrain
819,No coincidences.,Claim,Q Themes,NO,high,recurring refrain
831,"Where we go one, we go ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
854,[Toxic to those connected].,Claim,Q [ Brackets ],NO,high,bare bracketed token
854,"Where we go one, we go ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
880,We know.,Claim,Q Themes,NO,high,recurring movement refrain
880,Your move.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
894,When we�re done he�ll claim Kenyan citizenship as a way to escape.,Claim,Q Predictions,NO,high,predictive
902,Sea to shining sea.,Claim,Q Themes,NO,high,recurring movement refrain
911,March MADNESS.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
936,The Sum of All Fears.,Claim,Q Entities,NO,high,entity/organization reference
947,No coincidences.,Claim,Q Themes,NO,high,recurring refrain
951,March madness.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
964,What US publicly traded co. previously entered N.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
981,"Where we go one, we go all.",Claim,Q Themes,NO,high,the WWG1WGA motto
986,History books.,Claim,Q Predictions,NO,high,predictive
1029,April Showers.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
1037,BOOMs en route.,Claim,Q Predictions,NO,high,predictive
1050,Patriots together.,Claim,Q Themes,NO,high,recurring movement refrain
1070,April showers.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
1078,Castle_Green.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
1081,Moves and countermoves.,Claim,Q Themes,NO,high,recurring refrain
1109,April Showers.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
1124,Fireworks.,Claim,Q Predictions,NO,high,predictive
1127,April Showers.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
1146,April SHOWERS.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
1265,Moves & countermoves.,Claim,Q Themes,NO,high,recurring refrain
1265,History books.,Claim,Q Predictions,NO,high,predictive
1269,"WHERE WE GO ONE, WE GO ALL!",Claim,Q Themes,NO,high,the WWG1WGA motto
1292,Your move.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1301,No coincidences.,Claim,Q Themes,NO,high,recurring refrain
1343,We responded.,Claim,Q Themes,NO,high,recurring movement refrain
1358,"Where we go one, we go ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
1368,Eyes Wide Open.,Claim,Q Themes,NO,high,recurring movement refrain
1375,History books.,Claim,Q Predictions,NO,high,predictive
1432,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1432,"Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1432,And pray in the Spirit on all occasions with all kinds of prayers and requests.,Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1432,"""Love is patient, love is kind.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1432,"It does not envy, it does not boast, it is not proud.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1432,"It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1432,"It always protects, always trusts, always hopes, always perseveres.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1478,Critical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1495,"But when a long train of abuses and usurpations, pursuing invariably the same Object evinces a design to reduce them under absolute Despotism, it is their right, it is their duty, to throw off such Government, and to provide new Guards for their future security.""",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Declaration of Independence)"
1498,Critical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1504,What a wonderful day.,Claim,Q Themes,NO,high,recurring refrain
1522,What a wonderful day.,Claim,Q Themes,NO,high,recurring refrain
1546,What a wonderful day.,Claim,Q Themes,NO,high,recurring refrain
1564,What a wonderful day.,Claim,Q Themes,NO,high,recurring refrain
1573,Fireworks.,Claim,Q Predictions,NO,high,predictive
1585,We stand.,Claim,Q Themes,NO,high,recurring movement refrain
1621,Fireworks.,Claim,Q Predictions,NO,high,predictive
1646,"But when a long train of abuses and usurpations, pursuing invariably the same Object evinces a design to reduce them under absolute Despotism, it is their right, it is their duty, to throw off such Government, and to provide new Guards for their future security.""",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Declaration of Independence)"
1660,The more you know.,Claim,Q Themes,NO,high,recurring refrain
1672,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1682,From Sea to Shining Sea.,Claim,Q Themes,NO,high,recurring movement refrain
1685,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1692,What a wonderful day.,Claim,Q Themes,NO,high,recurring refrain
1708,The more you know.,Claim,Q Themes,NO,high,recurring refrain
1724,[Redacted FISA].,Claim,Q [ Brackets ],NO,high,bare bracketed token
1733,The more you know.,Claim,Q Themes,NO,high,recurring refrain
1753,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1762,The more you know.,Claim,Q Themes,NO,high,recurring refrain
1764,The more you know.,Claim,Q Themes,NO,high,recurring refrain
1770,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1791,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1803,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1804,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1805,We know.,Claim,Q Themes,NO,high,recurring movement refrain
1811,What a wonderful day!,Claim,Q Themes,NO,high,recurring refrain
1822,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1823,The more you know.,Claim,Q Themes,NO,high,recurring refrain
1833,Logical Thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1871,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1886,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1886,"Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1886,And pray in the Spirit on all occasions with all kinds of prayers and requests.,Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
1890,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1908,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1948,Why was the U.S.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
1978,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
1988,Logical thinking!,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2039,"WHERE WE GO ONE, WE GO ALL!",Claim,Q Themes,NO,high,the WWG1WGA motto
2105,VIP Patriots!,Claim,Q Themes,NO,high,recurring movement refrain
2113,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2119,"�I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one Nation under God, indivisible, with liberty and justice for all.""",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Pledge of Allegiance)"
2119,"WHERE WE GO ONE, WE GO ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
2123,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2184,Memes at the ready.,Claim,Q Directives,NO,high,call to action
2189,Memes at the ready.,Claim,Q Directives,NO,high,call to action
2211,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2285,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2288,What a wonderful day!,Claim,Q Themes,NO,high,recurring refrain
2291,Did you see Sen.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
2303,Facts matter!,Claim,Q Themes,NO,high,recurring movement refrain
2320,What a wonderful day.,Claim,Q Themes,NO,high,recurring refrain
2323,What a wonderful day.,Claim,Q Themes,NO,high,recurring refrain
2352,"WHERE WE GO ONE, WE GO ALL.",Claim,Q Themes,NO,high,the WWG1WGA motto
2362,"""Freedom is never more than one generation away from extinction.",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Reagan speech)"
2362,We didn't pass it to our children in the bloodstream.,Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Reagan speech)"
2362,"""We'll preserve for our children this, the last best hope of man on earth, or we'll sentence them to take the last step into a thousand years of darkness.""",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Reagan speech)"
2369,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2381,How do you ensure 'appeals' to the U.S.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
2403,Patriots Fight!,Claim,Q Themes,NO,high,recurring movement refrain
2403,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
2403,"Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
2403,And pray in the Spirit on all occasions with all kinds of prayers and requests.,Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
2403,"But when a long train of abuses and usurpations, pursuing invariably the same Object evinces a design to reduce them under absolute Despotism, it is their right, it is their duty, to throw off such Government, and to provide new Guards for their future security.""",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Declaration of Independence)"
2409,"Where We Go One, We Go ALL!",Claim,Q Themes,NO,high,the WWG1WGA motto
2430,History books.,Claim,Q Predictions,NO,high,predictive
2431,"I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one Nation under God, indivisible, with liberty and justice for all.",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Pledge of Allegiance)"
2431,"""Freedom is never more than one generation away from extinction.",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Reagan speech)"
2431,We didn't pass it to our children in the bloodstream.,Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Reagan speech)"
2431,"""We'll preserve for our children this, the last best hope of man on earth, or we'll sentence them to take the last step into a thousand years of darkness.""",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Reagan speech)"
2448,Moves & countermoves.,Claim,Q Themes,NO,high,recurring refrain
2462,>Who briefed NUNES on classified intel re: HUSSEIN spy campaign v.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
2468,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2503,We know.,Claim,Q Themes,NO,high,recurring movement refrain
2514,History books.,Claim,Q Predictions,NO,high,predictive
2533,History books.,Claim,Q Predictions,NO,high,predictive
2549,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2581,Moves & Countermoves.,Claim,Q Themes,NO,high,recurring refrain
2595,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2632,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2645,Are they afraid of U.S.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
2645,"WHERE WE GO ONE, WE GO ALL!!!",Claim,Q Themes,NO,high,the WWG1WGA motto
2667,"Morning, Patriot.",Claim,Q Themes,NO,high,recurring movement refrain
2670,Green Castle.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
2689,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2689,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2740,Why did [LL]  [ATTORNEY GENERAL OF THE UNITED STATES] grant 'special entry' to Natalia Veselnitskaya (Don Jr.,Claim,Q Questions,NO,high,question form despite period
2746,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2788,"WHERE WE GO ONE, WE GO ALL!",Claim,Q Themes,NO,high,the WWG1WGA motto
2868,The More You Know.,Claim,Q Themes,NO,high,recurring refrain
2887,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2904,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
2904,"Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
2904,And pray in the Spirit on all occasions with all kinds of prayers and requests.,Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
2937,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2938,Why was it important to use sources within the UK vs.,Claim,Q Questions,NO,low,question form despite period; split-sentence fragment (period after abbreviation broke the sentence)
2942,March Madness.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
2959,The More You Know.,Claim,Q Themes,NO,high,recurring refrain
2980,Moves & Countermoves.,Claim,Q Themes,NO,high,recurring refrain
2987,"""Freedom is never more than one generation away from extinction.",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Reagan speech)"
2987,We didn't pass it to our children in the bloodstream.,Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Reagan speech)"
2987,United We Stand.,Claim,Q Themes,NO,high,recurring movement refrain
2989,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
2989,The More You Know.,Claim,Q Themes,NO,high,recurring refrain
3019,March Madness.,Claim,Q [ Brackets ],NO,high,certified/operational code or stringer
3127,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3170,Democracy matters.,Claim,Q Themes,NO,high,recurring movement refrain
3170,UNITED not divided.,Claim,Q Themes,NO,high,recurring movement refrain
3202,Worth remembering.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3307,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3326,United We Stand.,Claim,Q Themes,NO,high,recurring movement refrain
3344,Moves & countermoves.,Claim,Q Themes,NO,high,recurring refrain
3360,Worth remembering.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3370,When that is revealed those who doubted may see the light.,Claim,Q Predictions,NO,high,predictive
3395,Worth remembering.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3404,No coincidences.,Claim,Q Themes,NO,high,recurring refrain
3407,Worth remembering.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3411,"But when a long train of abuses and usurpations, pursuing invariably the same Object evinces a design to reduce them under absolute Despotism, it is their right, it is their duty, to throw off such Government, and to provide new Guards for their future security.",Claim,Q Themes,NO,high,"quoted founding/patriotic text — used thematically, not Q-authored (Declaration of Independence)"
3449,Worth remembering.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3456,Worth remembering.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3478,Worth remembering.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3479,Worth remembering.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3496,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3533,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3588,Logical thinking.,Claim,Q Directives,NO,high,elliptical imperative — a nudge to the reader
3593,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",Claim,Q Themes,NO,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
