Post,Sentence,GPT Category,Claude Category,Matches GPT,Confidence,Note
2241,"Good catch, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2246,"Nice catch, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2252,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2278,"Welcome aboard, Judge K.",Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
2286,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2298,Welcome to the POLICE STATE.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
2300,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2313,"Amen, brother.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2353,WELCOME TO THE DEMOCRAT PARTY.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
2356,"CONGRATULATIONS, JUSTICE K!",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2364,"Goodbye, Valerie Jarrett.",Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
2432,"Amen, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2444,"Thank you, Patriots!",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2451,"Thank you for your service to our Country, Mr.",Acknowledgment / Valediction,Q Themes,YES,low,acknowledgment — movement/community language; split-sentence fragment (period after abbreviation broke the sentence)
2451,"Thank you for your service to our Country, Mr.",Acknowledgment / Valediction,Q Themes,YES,low,acknowledgment — movement/community language; split-sentence fragment (period after abbreviation broke the sentence)
2452,"Thank you for your service to our Country, Mr.",Acknowledgment / Valediction,Q Themes,YES,low,acknowledgment — movement/community language; split-sentence fragment (period after abbreviation broke the sentence)
2480,"Thank you and God Bless, Veterans!",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2491,"Congratulations, Anons!",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2502,"Thank you, Mr.",Acknowledgment / Valediction,Q Themes,YES,low,acknowledgment — movement/community language; split-sentence fragment (period after abbreviation broke the sentence)
2525,"""Goodbye"" Mr.",Acknowledgment / Valediction,Q Themes,YES,low,acknowledgment/valediction — no dedicated category; themes is nearest; split-sentence fragment (period after abbreviation broke the sentence)
2543,Thank you for playing.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2570,"Thank you, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2593,Happy Holidays!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2597,Happy Hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
2598,Happy Hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
2601,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2650,Welcome to the CON.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
2657,"Hello, [AS].",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2695,"Thank you, Mr.",Acknowledgment / Valediction,Q Themes,YES,low,acknowledgment — movement/community language; split-sentence fragment (period after abbreviation broke the sentence)
2695,"Thank you, Anons.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2761,"Thank you, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2775,"Well done, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2808,"Thank you, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2822,"Thank you, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2841,Happy Hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
2855,Welcome to the Democrat Party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
2864,Happy Friday!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2932,"Roger that, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2940,"Thank you, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2961,Thank you for playing.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
2978,"Good catch, Patriot!",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2981,Welcome to the [D] party CON.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3016,WELCOME TO THE [D] PARTY.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3024,"WELCOME HOME, @SNOWDEN.",Acknowledgment / Valediction,Q Predictions,NO,high,taunt foretelling Snowden's return to the US
3049,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3054,Happy Hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
3056,Thank you for your service.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3071,WELCOME TO THE [D] PARTY!,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3109,"Thanks for playing, @Jack.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3141,"Thank you, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3182,"Thank you, Anons, for bringing this to our attention.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3208,"Well done, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
3221,"Good luck, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
3243,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3258,"Thank you, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3259,"Well done, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
3382,Sweet dreams.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
3399,Welcome to Epstein Island.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
3405,Welcome to the Real World.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
3413,"Well done, Anons.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
3443,"Thank you, BO.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3445,"Thank you for your continued service, BO.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3458,Thank you for playing.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3536,Thank you for confirming�.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3682,Welcome to the Party.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
3707,"Merry Christmas, Anons/Patriots.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
3712,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3730,Thank you!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3768,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3781,"Thank you, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3786,"Congratulations, UK Patriots!",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
3814,"Thanks, DOJ.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3819,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3819,"Well done, Anons.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
3851,Thank you for playing.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3876,"Thank you, Baker(s)!",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
3909,Welcome to the [D][People�s Republic of China] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4021,"Hello, Feinstein.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
4116,Welcome to the REVOLUTION.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
4136,Welcome to the Revolution.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
4160,Happy hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
4181,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4219,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4307,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4310,Welcome to the Shadow Presidency of Barack H.,Acknowledgment / Valediction,Q Claims,NO,low,rhetorical framing that asserts a condition; split-sentence fragment (period after abbreviation broke the sentence)
4311,Welcome to the shadow presidency of Barack Hussein Obama.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
4317,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4352,Thank you for playing.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
4379,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4383,Good catch!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
4383,"Thank you, Anons.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
4447,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4451,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4458,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4471,Welcome to the REAL [D] PARTY.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4509,Welcome to the Digital Battlefield.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
4524,Good catch.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
4571,"Thank you, Sam.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
4620,Welcome to the Revolution.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
4639,Welcome to CA.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
4643,Hello Karli.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
4643,Thank you and God bless.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
4654,"Well done, Midnight Rider!",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
4680,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
4739,Amen.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
4845,"Roger that, Madam Secretary.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
4846,"""Thank you to our Justice Department and our federal law enforcement agencies for protecting our Governors and all the rest of our people without regard to politics.""",Acknowledgment / Valediction,Q Claims,NO,high,quoted POTUS statement
4880,WELCOME TO THE DIGITAL BATTLEFIELD.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
4881,Welcome to the Digital Battlefield.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
2,God bless fellow Patriots.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
3,"God bless, Patriots.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
15,"Good speed, Patriots.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
25,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
33,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
35,God bless my fellow Americans.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
44,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
55,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
64,God bless - I must go for good at this point.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
69,God speed to those who will be put in harms way.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
70,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
74,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
76,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
78,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
95,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
96,"God bless, Patriots.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
102,Godspeed.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
104,God bless the United States of America.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
106,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
107,May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
141,God bless you all.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
154,"Our Father who art in heaven, Hallowed be thy name.",Blessing / Prayer,Q Themes,YES,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
154,Thy will be done on earth as it is in heaven.,Blessing / Prayer,Q Themes,YES,high,"quoted Scripture — religion/spirituality theme, not Q-authored"
244,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
264,"God bless, Patriots.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
323,God bless each and every one of you.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
414,"God bless, Patriot.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
457,God bless you all.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
458,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
473,God bless each and every one of you.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
481,GOD BLESS.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
488,God bless Patriots.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
490,God bless each and every Patriot in the world.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
533,GOD BLESS YOU AND GOD BLESS THE UNITED STATES OF AMERICA.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
603,GOD BLESS YOU ALL.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
837,GOD BLESS YOU ALL.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
856,God bless our brave men & women in uniform.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
937,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1093,God bless you all.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1295,God bless you all.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1350,God bless our brave fighting men & women.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1358,God bless you all.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1401,God Bless the United States of America.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1583,God bless you all.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1604,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1646,GOD BLESS AMERICA.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1646,GOD BLESS PATRIOTS AROUND THE WORLD.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1691,God bless Patriots!,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1735,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1783,God bless!,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1911,God bless.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
1961,GOD BLESS YOU & YOUR FAMILY.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
2039,GOD BLESS YOU ALL.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
2235,"God bless, Patriot.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
2312,"God bless you, Patriot.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
2314,God bless you and your family.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
2355,"God bless, Patriot.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
2393,"God bless you, Patriots!",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
2436,GOD BLESS AMERICA.,Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
2529,"God bless, Patriot.",Blessing / Prayer,Q Themes,YES,high,blessing — religion/spirituality theme
