Two layers,Spans,What it is,Why you are seeing it
120,question + theme,MSM,
120,question + theme,MSM,
120,question + theme,MSM,
120,question + theme,MSM,
120,question + theme,unmask,
121,claim + theme,declassify_speech_Jap_11_5,
121,question + request,List.,
121,request + theme, save ,
121,request + theme,.,
1218,request + theme,FAKE NEWS,
122,request + theme,Pray.,
1221,question + theme,talking points,
1227,request + theme,WWG1WGA,
1237,claim + theme,The process of settlement is a ‘Civilization-Jihadist Process’ with all the word means.,
1241,question + request,Define nuclear stand-off.,
1241,question + request,Define ,
1241,question + request + theme,kickback,
1241,question + request,.,
1241,question + request,Define ,
1241,question + request + theme,slush fund,
1241,question + request,.,
1245,question + request,Define hostage.,
1245,question + request,Define protection.,
1245,request + theme,WWG1WGA,
1249,question + request,Define smuggle.,
1250,question + request,Define ‘Exchange’.,
1252,question + theme,activist,
1252,claim + theme,MSM,
1266,request + theme,WWG1WGA,
1269,question + theme,MSM,
1269,question + theme,censoring,
1269,claim + theme,THE GREAT AWAKENING,
1273,question + theme,special counsel,
1279,question + request,Define Evergreen.,
1280,question + request,Define testimony.,
1280,question + request,Define ‘on record’.,
1286,claim + theme,voter fraud,
1287,question + theme,impeached,
1287,question + theme,indicted,
1291,request + theme,"Godspeed, ",
1291,request + theme,.,
1294,request + theme,"Godspeed, ",
1294,request + theme,(s).,
1295,request + theme, bless,
1297,request + theme,WWG1WGA,
13,claim + theme, bless,
1306,question + request,Define the terms of the ,
1306,question + request, nuclear deal.,
1306,question + request,Define cover.,
1306,question + request,Define cover.,
1306,question + request,Define cover.,
1307,claim + theme,deCLAS,
1316,claim + theme,National Security,
1316,claim + theme,National Security,
1316,question + theme,FAKE NEWS,
1318,question + theme,Impeachment,
1318,question + request,Define single shooter.,
1318,question + request,Define ,
1318,question + request,.,
1319,question + request,Define roadblock.,
1319,request + theme,MSM,
1319,request + theme,WWG1WGA,
1320,prediction + theme,sanctions,
1320,claim + theme,impeachment,
1323,claim + theme,qresearch,
1328,request + theme,WWG1WGA,
133,question + theme,Does ,
133,question + theme, exist?,
1332,request + theme,WWG1WGA,
1339,question + request,Define Media.,
1339,question + request,Define ',
1339,question + request,'.,
134,question + request,"List names, family history, investment/ownership stakes, and point-to-point contacts.",
1343,request + theme,WWG1WGA,
1345,question + request,Define ,
1345,question + request + theme,bribe,
1345,question + request,.,
1345,question + request,Define kickback.,
1345,question + request,Define ,
1345,question + request + theme,bribe,
1345,question + request,.,
1345,question + request,Define kickback.,
1347,claim + theme,Anons,
1349,request + theme,"Godspeed, ",
1349,request + theme,.,
1351,claim + theme,indictments,
1351,question + request,Define indictment.,
1351,question + theme,indictments,
1353,claim + theme,Anon,
1358,request + theme, bless,
1359,claim + theme,Fake News,
1362,request + theme,WWG1WGA,
1370,question + request,Define “On the Record.”,
1375,request + theme,WWG1WGA,
1376,request + theme,"Godspeed, ",
1376,request + theme,.,
1381,request + theme,WWG1WGA,
1393,claim + theme,Anon,
140,claim + theme,The Great Awakening,
1401,request + theme, Bless,
1408,claim + theme,Anon,
141,request + theme, bless,
1413,claim + theme,Guardian of the ,
1413,claim + theme,.,
142,question + theme,WWII,
1425,prediction + theme,MSM,
1430,claim + theme,Anons,
1432,request + theme,armor of ,
1432,request + theme,armor of ,
1439,prediction + theme,DECLAS_,
144,question + theme,MSM,
144,claim + theme,MSM,
144,question + theme,What council do the Wizards & Warlocks control?,
1443,prediction + theme,DECLAS_Public,
1443,claim + theme,GOOD vs.,
1443,claim + theme,EVIL,
145,request + theme,Pray.,
1453,question + theme, report,
1453,question + theme,DECLAS,
1454,claim + theme,sanctions,
1454,claim + theme,MSM,
1455,prediction + theme,Biblical.,
146,request + theme,Pray.,
1465,question + theme,Summit,
147,claim + theme, be with us all.,
1475,request + theme,GODSPEED ONE AND ALL.,
148,request + theme,Godspeed.,
1487,request + theme,Anons,
1489,claim + theme,MSM,
1489,request + theme,WWG1WGA,
1492,request + theme,SENTENCE,
1492,claim + theme,IMPEACH,
1493,request + theme, SAVE ,
1493,request + theme,.,
1494,claim + theme,DECLAS,
1494,claim + theme,MSM,
1494,prediction + theme,PUBLIC OPINION,
1495,claim + theme,"We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with cer",
1496,question + theme,DECLAS,
1496,claim + theme,impeachment,
15,prediction + theme,The wizards and warlocks (inside term) will not allow another Satanic Evil POS control our country.,
15,claim + theme,indicted,
15,claim + theme,indicted,
1504,question + theme, report,
1504,request + theme,convicting,
1504,request + theme,convicting,
151,question + theme,indictments,
1510,claim + theme, report,
1512,request + theme, report,
1518,claim + theme,Anon,
1519,request + theme,WWG1WGA,
153,question + theme,Perhaps he could not stomach the thought of mass murders occurring to satisfy Moloch?,
153,question + theme,MSM,
1538,question + theme,unsealed,
154,question + theme,WWI,
154,prediction + request,"Thy will be done
on earth as it is in heaven.",
1545,claim + theme,Anons,
1547,question + theme,DECLAS,
155,request + theme,Godspeed.,
1552,question + theme, report,
1552,claim + theme, report,
1553,claim + theme,indictments,
1553,claim + theme,administration,
1559,claim + theme,DECLAS,
1559,question + request,Define title.,
1559,question + request,Define role w/ ,
1559,question + request,.,
1563,claim + theme, report,
1569,request + theme, bless,
157,question + theme,MSM,
157,question + theme,MSM,
157,question + theme,MSM,
157,question + theme,MSM,
157,question + theme,MSM,
157,question + theme,MSM,
157,question + theme,MSM,
157,question + theme,MSM,
157,question + theme,MSM,
157,question + request,Define corruption.,
157,question + theme,MSM,
157,question + request,Define corruption.,
157,question + request,Define ,
157,question + request + theme,censorship,
157,question + request,.,
157,question + request,Define ‘controlled’ ,
157,question + request + theme,censorship,
157,question + request,.,
1570,claim + theme,talking points,
1570,claim + theme, report,
1576,request + theme,WWG1WGA,
1577,request + theme,WWG1WGA,
158,question + request,Define oppression.,
158,question + theme,MSM,
158,question + theme,MSM,
158,question + request,Define blackmail.,
158,claim + theme,The Great Awakening,
1583,request + theme, bless,
1585,claim + theme,riots,
1585,claim + theme,MSM,
1585,claim + theme,Censorship,
1589,question + request,Define.,
1589,claim + theme,impeachment,
1589,question + theme,assassination,
1589,claim + theme,activists,
1589,prediction + theme,MSM,
1589,prediction + theme,activists,
16,claim + theme,legislation,
1601,request + theme,WWG1WGA,
1602,prediction + theme,DECLAS,
1604,request + theme, bless,
1605,claim + theme,Administration,
1609,claim + theme,MSM,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,claim + theme,IMPEACH,
1609,request + theme,WWG1WGA,
1621,request + theme,WWG1WGA,
1626,prediction + theme,summit,
1626,prediction + theme,MSM,
1630,question + theme,Why are ,
1630,question + theme, on the scene of most shooting locations?,
1633,request + theme,Find paper articles re: ,
1633,request + theme,.,
1637,claim + theme,FAKE NEWS,
1641,claim + theme,MSM,
1645,request + theme,WWG1WGA,
1646,question + theme,IMPEACHMENT,
1646,question + theme,RIOTS,
1646,request + theme, BLESS,
1646,request + theme, BLESS,
165,question + request,Define the ‘known’ action.,
165,question + theme,MSM,
1659,question + theme,indictments,
166,question + request,Define the ‘known’ action.,
166,question + theme,MSM,
1660,request + theme,indictments,
1660,claim + theme,Media BLACKOUT,
1664,claim + theme,MSM,
1664,claim + theme,MSM,
1665,request + theme,WWG1WGA,
1670,claim + theme,Fake news,
1671,claim + theme, report,
1671,request + theme,NATIONAL SECURITY,
1673,claim + theme,National Security,
1682,question + request,Define evidence.,
1682,claim + theme,Fake news,
1686,request + theme,WWG1WGA,
1691,request + theme, bless,
1699,request + theme,"To all Americans, please pray.",
17,claim + theme,MSM,
1702,claim + theme,MSM,
1711,question + theme,impeachment,
1712,prediction + request,"6 Because of these, the wrath of ",
1712,prediction + request, is coming.,
1728,question + theme,MSM,
1735,request + theme, bless,
1745,claim + theme,MSM,
1745,claim + theme,MSM,
1745,claim + theme,MSM,
1745,claim + theme,FOIA,
1746,claim + theme,MSM,
1746,question + theme,INDICTMENTS,
1746,question + theme,DEFCON,
1749,request + theme,WWG1WGA,
1750,claim + theme,MSM,
1753,claim + theme,MSM,
1761,request + theme,WWG1WGA,
1769,request + theme,Anons,
1770,question + theme,MSM,
1770,question + theme,MSM,
1772,claim + theme,Unsealed,
1772,claim + theme,indictment,
1775,request + theme,WWG1WGA,
1783,request + theme, bless,
1783,request + theme,WWG1WGA,
1785,question + theme,MSM,
1786,claim + theme,The Great Awakening,
1790,question + theme,MSM,
1791,question + theme,MSM,
1794,claim + theme,MSM,
1796,claim + theme,Fake News,
1797,question + theme,FAKE NEWS,
18,question + theme,special counsel,
1807,claim + theme,Chain of Command,
1807,claim + theme,Special Counsel,
181,request + theme,"Godspeed, ",
181,request + theme,.,
1816,request + theme,WWG1WGA,
1822,question + request,Define Conspiracy.,
1822,question + theme,Fake News,
1822,claim + theme,Fake News,
1822,claim + theme,DIVIDED by RELIGION.,
1822,request + theme,indictments,
1831,request + theme,WWG1WGA,
1832,question + theme,HOW MANY IN ,
1832,question + theme, AND THOSE AROUND THE WORLD (IN POWER) WORSHIP THE DEVIL?,
1832,question + theme,Fake News,
1833,claim + theme,voter fraud,
1841,claim + theme,FAKE NEWS,
1841,question + request,Define Antitrust Law(s).,
1856,question + theme,administration,
1856,question + theme,FAKE NEWS,
1858,claim + theme,FAKE NEWS,
186,request + theme,Godspeed.,
1862,claim + theme,FAKE NEWS,
1862,question + theme,FAKE NEWS,
1862,question + request,Define 'Projection'.,
1862,question + request,Define 'Insurance Policy'.,
1862,question + request,Define 'Warning Against Attempts to Unveil'.,
1867,claim + theme,FAKE NEWS,
1876,question + theme,Human Trafficking,
1876,question + theme,?,
1877,claim + theme,surveillance,
1886,request + theme,armor of ,
1886,request + theme,armor of ,
1887,question + theme,Muslim by faith?,
1887,question + theme,Muslim by faith?,
1887,question + theme,Muslim by faith?,
1887,question + request,Define ,
1887,question + request, regional assets.,
189,question + request,Identify symbolism (Owl / Y).,
189,question + theme,MSM,
189,claim + theme,Censorship,
189,request + theme,For ,
189,request + theme, & Country.,
19,question + theme,legislation,
19,question + theme,MSM,
1911,request + theme, bless,
1913,question + theme,FAKE NEWS,
1916,question + theme,Man of ,
1916,question + theme,?,
1919,request + theme,surveillance,
1919,claim + theme,FAKE NEWS,
1926,question + request,Define 'Fascism'.,
1926,question + request,Define ',
1926,question + request + theme,Censorship,
1926,question + request,'.,
1926,question + request,Define 'Narrative'.,
1926,question + request,Define 'Projection'.,
1926,question + request,Define 'Psychological Projection'.,
1926,question + request,Define 'Narcissist'.,
1926,question + request + theme,Define 'Dogma'.,
1926,question + request,Define 'Aggression'.,
1926,question + request,Define 'Suppression'.,
1926,question + request,Define 'Realism'.,
1926,claim + theme,Censorship,
1926,claim + theme,Censorship,
1926,claim + theme,Censorship,
1927,question + request,Define 'Subversion'.,
1927,claim + theme,national security,
1927,claim + theme,foreign policy,
1927,request + theme,administration,
1927,claim + theme,indictments,
1928,question + theme,congressional testimony,
1929,question + theme,congressional testimony,
1932,claim + theme,The Great Awakening,
1935,claim + theme,investigation into,
1935,question + request,Define 'Projection'.,
1935,question + request,Define DARK MONEY.,
1939,claim + theme,FAKE NEWS,
1939,question + theme,FAKE NEWS,
1944,question + request,Define 'State Secrets'.,
1944,question + request,Define 'Projection'.,
1945,question + request,Define 'Treason'.,
1945,question + request,Define 'Treason'.,
1945,question + request,Define 'Projection'.,
1947,question + theme,CENSORSHIP,
1948,question + request,Define 'Contractor'.,
1948,question + request,Define the ',
1948,question + request,' program.,
1948,question + theme,FAKE NEWS,
1950,claim + theme,-,
1950,claim + theme, RELATIONS,
1955,claim + theme,FAKE NEWS,
1957,request + theme,WWI,
1959,claim + theme,MSM,
1961,request + theme,WWG1WGA,
1965,claim + theme,FAKE NEWS,
1972,question + request,Define 'Shelter'.,
1974,question + theme,Impeach,
1978,question + theme,investigation into,
1988,question + theme,FAKE NEWS,
199,question + theme,MSM,
199,question + theme,MSM,
1998,prediction + theme,FAKE NEWS,
2,claim + theme,legislation,
2,request + theme, bless,
2002,claim + theme,FAKE NEWS,
2030,question + theme,FAKE NEWS,
2032,question + request,Define 'Human Nature'.,
2032,question + request,Define 'Echo Chamber'.,
2037,question + theme,BIG PHARMA,
2039,request + theme, BLESS,
2054,claim + theme,"IN WITNESS WHEREOF, I have hereunto set my hand this thirty-first day of August, in the year of our Lord two thousand ei",
2054,claim + theme, the two hundred and forty-third.,
2072,question + theme,human trafficking,
2072,request + theme,WWG1WGA,
2075,claim + theme,censorship,
2089,claim + theme,FAKE NEWS,
2096,request + theme,WWG1WGA,
2100,request + theme,WWG1WGA,
2108,claim + theme,surveillance,
2112,question + theme,Anon,
2115,request + theme,Anon,
2117,question + theme,DECLAS,
2119,claim + theme, BLESS,
2123,prediction + theme,ANONS,
2128,question + theme,Human trafficking,
2129,prediction + theme,DECLAS,
2129,prediction + theme,DECLAS,
2129,prediction + theme,DECLAS,
2138,request + theme,WWG1WGA,
2140,claim + theme,ANONS,
2147,request + theme,WWG1WGA,
2160,question + theme,extradition,
2160,claim + theme,extradition,
2166,prediction + theme,CENSORSHIP,
2171,question + request,Define 'Fascism'.,
2171,question + request,Define ',
2171,question + request + theme,Censorship,
2171,question + request,'.,
2171,question + request,Define 'Narrative'.,
2171,question + request,Define 'Projection'.,
2171,question + request,Define 'Psychological Projection'.,
2171,question + request,Define 'Narcissist'.,
2171,question + request + theme,Define 'Dogma'.,
2171,question + request,Define 'Aggression'.,
2171,question + request,Define 'Suppression'.,
2171,question + request,Define 'Realism'.,
2171,claim + theme,Censorship,
2171,claim + theme,Censorship,
2171,claim + theme,Censorship,
2171,question + theme,FAKE NEWS,
2173,question + theme,DECLAS,
2174,claim + theme,DIVIDED by RELIGION.,
2174,request + theme,WWG1WGA,
2180,claim + theme,"""I do solemnly swear (or affirm) that I will support and defend the ",
2180,claim + theme," of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same;",
2180,claim + theme,".""",
2180,question + request,Define 'Traitor'.,
219,request + theme,Godspeed.,
2190,claim + theme,Anons,
2193,request + theme,WWG1WGA,
2198,claim + theme,Anons,
2200,claim + theme,DECLAS,
2206,question + request,DEFINE PROJECTION.,
2211,question + theme,human trafficking,
2212,claim + theme,DECLAS,
2229,claim + theme,Anon,
2231,request + theme,Anon,
2233,request + theme,Anon,
2235,request + theme, bless,
2235,request + theme,WWG1WGA,
2246,claim + theme,Anon,
2248,claim + theme,ANONS,
225,claim + theme,MSM,
2251,claim + theme,ANONS,
2253,claim + theme,sentence,
2253,prediction + theme,DECLAS,
226,request + theme,Godspeed.,
2263,question + theme,FAKE NEWS,
2273,claim + theme,DECLAS,
2273,claim + theme,DECLAS,
2273,claim + theme,CONFLICT OF INTEREST,
2285,claim + theme,FAKE NEWS,
2286,claim + theme,DECLAS,
2290,claim + theme,Anons,
2296,claim + theme,impeach,
2300,claim + theme,DECLAS,
2300,question + request,Define 'Treason'.,
2300,question + request,Define 'Subversion'.,
2305,request + theme,WWG1WGA,
2306,claim + theme,subpoena,
231,request + theme,Godspeed.,
2312,request + theme, bless,
2313,claim + theme,Amen,
2314,request + theme, bless,
2324,claim + theme,subpoena,
2327,request + theme,DECLAS,
2329,claim + theme,ANONS,
2340,question + theme,DECLAS,
2340,claim + theme,NARRATIVE SHIFT,
2342,question + theme,Anons,
2350,claim + theme,DECLAS,
2351,prediction + theme,FAKE NEWS,
2352,claim + theme,DIVIDED by RELIGION.,
2355,request + theme, bless,
2358,claim + theme,impeach,
2358,claim + theme,impeach,
236,question + request,Define hostage.,
236,question + request,Define stages.,
236,question + request,Define puppets.,
236,question + request,Define puppet handlers.,
236,question + request,Define proxy war.,
236,question + request,Define proxy war.,
236,question + request,Define proxy war.,
2361,request + theme,FAKE NEWS,
2367,claim + theme,Anons,
2368,claim + theme,Anons,
2369,question + theme,DECLAS,
2369,question + theme,DECLAS,
2369,claim + theme,DECLAS,
2369,question + request,Define 'Projection'.,
2370,claim + theme,Anons,
2381,request + theme,Federal Judge,
2381,claim + theme,protests,
2381,claim + theme,FAKE NEWS,
2381,claim + theme,impeachment,
2381,claim + theme,DECLAS,
2381,claim + theme,DECLAS,
2381,claim + theme,DECLAS,
2383,request + theme,MSM,
2385,request + theme,WWG1WGA,
2386,question + theme,FAKE NEWS,
2386,question + theme,FAKE NEWS,
2388,claim + theme,FOIA,
2390,claim + theme,FAKE NEWS,
2393,request + theme, bless,
2397,request + theme,DECLAS,
2397,question + theme,DECLAS,
2397,claim + theme,protests,
2397,claim + theme,FAKE NEWS,
2397,claim + theme,impeachment,
2397,claim + theme,DECLAS,
2397,claim + theme,DECLAS,
2397,claim + theme,DECLAS,
2401,request + theme,WWG1WGA,
2403,request + theme,armor of ,
2403,request + theme,armor of ,
2403,request + theme,WWG1WGA,
2419,request + theme,Anons,
2420,claim + theme,Anons,
2421,request + theme,WWG1WGA,
2423,claim + theme,FAKE NEWS,
2427,claim + theme,Fake News,
2427,claim + theme,sealed indictment,
2429,prediction + theme,DECLAS,
243,question + request,List who will not be running for re_election.,
2431,claim + theme,"There was a time when respect was given to those who serve(d), bled, and died to protect and defend our ",
2431,claim + theme, GIVEN FREEDOM.,
2432,claim + theme,Amen,
2436,request + theme, BLESS,
2436,request + theme,WWG1WGA,
244,request + theme, bless,
2440,claim + theme,WE STAND FOR RELIGIOUS FREEDOM.,
2444,claim + theme,DECLAS,
2449,claim + theme,Anons,
2450,request + theme,WWG1WGA,
2461,question + theme,FAKE NEWS,
2463,question + theme,voter fraud,
247,request + theme,Merry Christmas.,
2473,claim + theme,May ,
2473,claim + theme, watch over you and your family for all eternity.,
2478,request + theme,unsealing,
2480,request + theme, Bless,
2491,question + theme,FAKE NEWS,
2491,question + theme,FAKE NEWS,
2491,claim + theme,Anons,
2499,request + theme,WWG1WGA,
25,request + theme, bless,
2500,claim + theme,PLEA DEAL,
2500,claim + theme,FAKE NEWS,
2501,question + request,List advantages.,
2501,question + request,List advantages.,
2502,claim + theme,National Security,
2504,claim + theme,sentences,
2509,question + theme,DECLAS,
2509,question + theme,subpoena,
2510,question + theme,DECLAS,
2510,question + theme,subpoena,
2516,claim + theme,Anons,
2523,question + request,Define 'Treason',
2523,claim + theme, BLESS,
2527,question + request,Define 'unified',
2528,request + theme,Fake News,
2529,request + theme, bless,
2531,claim + theme,Anon,
2531,claim + theme,Riots,
2535,request + theme,WWG1WGA,
2541,claim + theme,THE GREAT AWAKENING,
2543,claim + theme,Fake News,
2549,question + theme,FAKE NEWS,
2556,claim + theme,FAKE NEWS,
2556,claim + theme,THE GREAT AWAKENING,
2557,question + theme,What do you want for XMAS?,
2559,question + request,Define 'PROJECTION'.,
2559,question + theme,FAKE NEWS,
2559,claim + theme,THE GREAT AWAKENING,
2561,claim + theme,PUBLIC OPINION,
2562,question + theme,whistleblowers,
2565,claim + theme,WWG1WGA,
2566,request + theme,WWG1WGA,
2567,claim + theme,FAKE NEWS,
2568,question + request,Define 'Projection'.,
2568,question + request,Define 'Getting Ahead of the Story'.,
2579,claim + theme,Anons,
258,request + theme,Pray.,
2581,question + theme,WHISTLEBLOWERS,
2582,claim + theme,Anons,
2584,claim + theme,Impeachment,
2584,claim + theme,Impeachment,
2584,claim + theme,FAKE NEWS,
2585,question + theme,protests,
259,prediction + theme,9/11,
2591,claim + theme,FAKE NEWS,
2594,question + request,Define 'pecking' ,
2594,question + request,.,
2595,claim + theme,FAKE NEWS,
2596,request + theme,WWG1WGA,
2599,question + theme,BAKER,
2599,claim + theme,FAKE NEWS,
2602,claim + theme,FAKE NEWS,
262,claim + theme,Indictments,
2626,claim + theme,indictments,
2627,question + theme,FAKE NEWS,
2630,request + theme,DECLAS,
2630,question + theme,FAKE NEWS,
2631,claim + theme,Anons,
2635,claim + theme,FAKE NEWS,
2639,question + theme,FAKE NEWS,
2639,claim + theme,Anons,
264,request + theme, bless,
2641,claim + theme,Anons,
2645,question + theme,FAKE NEWS,
2645,question + theme,FAKE NEWS,
2646,question + theme,protests,
2648,question + theme,National Security,
2651,claim + theme,The Great Awakening,
2654,claim + theme,Public opinion,
2656,question + theme,Anons,
2657,question + theme,Fake News,
2658,question + theme,FAKE NEWS,
2658,question + theme,FAKE NEWS,
2658,question + theme,FAKE NEWS,
2658,question + theme,FAKE NEWS,
2658,question + theme,IMPEACH,
2658,claim + theme,BRIBE,
2658,claim + theme,FOREIGN POLICY,
2658,claim + theme,DECLAS,
2673,claim + theme,FAKE NEWS,
2674,claim + theme,Anons,
2676,question + theme,DECLAS,
2678,question + theme,FAKE NEWS,
268,claim + theme,FAKE NEWS,
2681,claim + theme,DECLAS,
2681,claim + theme,subpoena,
2681,claim + theme,DECLAS,
2681,claim + theme,subpoena,
2681,claim + theme,narrative shift,
2682,question + request,Define 'Projection'.,
2682,claim + theme,public opinion,
2682,claim + theme,FAKE NEWS,
2682,claim + theme,FAKE NEWS,
2682,claim + theme,public opinion,
2683,question + theme,FAKE NEWS,
2683,question + theme,protests,
2684,question + theme,Anons,
2687,question + theme,FAKE NEWS,
2687,question + theme,FAKE NEWS,
2691,claim + theme,FAKE NEWS,
2692,claim + theme,Baker,
2692,claim + theme,national security,
2695,request + theme,Anons,
2696,request + theme," speed, ",
2696,request + theme,.,
2696,request + theme,WWG1WGA,
2697,question + theme,FAKE NEWS,
2702,claim + theme,Anon,
2711,question + theme,Anons,
2712,claim + theme,Anons,
2718,question + request,Define the word ‘plan’.,
2724,claim + theme,For those who decide to save the taxpayers some money - There is no escaping ,
2724,claim + theme,.,
2730,claim + theme, bless,
2735,request + theme,FAKE NEWS,
2738,question + theme,Anons,
2738,question + theme,FAKE NEWS,
2741,claim + theme,FAKE NEWS,
2744,request + theme,But the ,
2744,request + theme," is faithful, and he will strengthen you and protect you from the evil one.",
2744,claim + request," is our refuge and strength, an ever-present help in trouble.",
2745,claim + theme,cabinet,
2751,claim + theme,The Lord is,
2768,question + theme,FAKE NEWS,
2768,question + theme,FAKE NEWS,
2770,question + theme,MSM,
2770,question + theme,MSM,
2784,question + theme,censored,
2784,claim + theme,The Great Awakening,
2785,request + theme,MSM,
2786,question + theme,DECLAS,
2787,question + theme,administration,
2787,question + request,Define 'Projection'.,
2788,question + theme,MSM,
2788,request + theme, BLESS,
2789,request + theme,WWG1WGA,
2793,claim + theme,Censorship,
2803,prediction + theme,Indictments,
2803,prediction + theme,DECLAS,
2803,prediction + theme,bribery,
2804,claim + theme,DECLAS,
2807,question + theme,Central Bank,
2807,request + theme, BLESS,
2809,claim + theme,FAKE NEWS,
2816,prediction + theme,DECLASSIFICATION,
2821,request + theme,Thoughts and prayers.,
284,request + theme,Merry Christmas.,
2844,question + request,Define ',
2844,question + request,'.,
2846,request + theme,Anon,
2849,question + theme,FAKE NEWS,
2849,question + theme,investigation into,
2853,request + theme,WWG1WGA,
2856,question + theme,talking points,
2856,question + theme,investigations into,
2856,question + theme,investigations into,
2856,question + theme,DECLAS,
2856,claim + theme,THE GREAT AWAKENING,
2857,request + theme, bless,
2860,question + theme,indictment,
2873,claim + theme,FAKE NEWS,
2873,request + theme,WWG1WGA,
2876,prediction + theme,JUDGEMENT DAY COMING.,
2887,question + theme,"Ask yourself a simple question, should a woman who travels to ",
2887,question + theme, to support and encourage 'JIHAD' against the 'West' deserve to live……………….?,
289,request + theme,Godspeed.,
2893,question + request,Define 'Map'.,
2895,claim + theme,Anons,
29,claim + theme,riot,
29,claim + theme,The child abductions for satanic rituals (ie Haiti and other 3rd world countries) are paused (not terminated until playe,
2901,claim + theme,Bribes,
2902,claim + theme,FAKE NEWS,
2904,request + theme,Armor of ,
2904,request + theme,armor of ,
2904,request + theme,armor of ,
2906,question + theme,Anons,
2913,question + theme,FAKE NEWS,
2917,question + theme,FAKE NEWS,
2918,claim + theme, – Pretending not to hate Catholics,
2927,question + theme,FAKE NEWS,
2930,claim + theme,DECLAS,
2930,question + theme,DECLAS,
2932,request + theme,Anon,
2934,request + theme,WWG1WGA,
2937,question + request,Define 'game theory'.,
2937,question + request,Define 'open source'.,
2937,question + request,Define 'public purview'.,
2937,question + request,Define 'plausible deniability'.,
2937,question + request,Define 'stage set'.,
2937,request + theme,impeachment,
2937,question + request,Define 'thesis' statement.,
2938,question + theme,CHAIN OF COMMAND,
