How it was read,Post,Sentence #,Sheet,Text,Detail
The same line appeared twice with the same destination,17,8,Q Claims,They use a 5 prong pre packaged injection (one post auto generates four more at random designated times).,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,19,12,Q Claims,The network which controls this false narrative which in turns keeps the black pop under control is being dismantled.,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,19,12,Q Claims,The network which controls this false narrative which in turns keeps the black pop under control is being dismantled.,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,29,6,Q Claims,The child abductions for satanic rituals (ie Haiti and other 3rd world countries) are paused (not terminated until players in custody).,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,29,6,Q Claims,The child abductions for satanic rituals (ie Haiti and other 3rd world countries) are paused (not terminated until players in custody).,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,51,10,Q Claims,-The WH,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,51,10,Q Claims,-The WH,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,56,2,Q Claims,"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.","sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,56,2,Q Claims,"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.",The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,63,1,Q Claims,To those watching (you know who you are):,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,63,1,Q Claims,To those watching (you know who you are):,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,75,5,Q Claims,The Bloody Wonderland =,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,75,5,Q Claims,The Bloody Wonderland =,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,80,7,Q Claims,Wizards & Warlocks.,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,80,7,Q Claims,Wizards & Warlocks.,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,81,5,Q Claims,Wizards & Warlocks.,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,81,5,Q Claims,Wizards & Warlocks.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,88,22,Q Claims,The Great Awakening,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,138,49,Q Claims,The FED and the IRS,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,194,1,Q Claims,U1 – CA – EU – ASIA – IRAN/NK,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,194,1,Q Claims,U1 – CA – EU – ASIA – IRAN/NK,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,195,1,Q Claims,U1 – CA – EU – ASIA – IRAN/NK,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,195,1,Q Claims,U1 – CA – EU – ASIA – IRAN/NK,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,199,1,Q Claims,U1 - CA - EU - ASIA - IRAN/NK,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,199,1,Q Claims,U1 - CA - EU - ASIA - IRAN/NK,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,237,7,Q Claims,U1 - CA - EU - ASIA\NK.,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,237,7,Q Claims,U1 - CA - EU - ASIA\NK.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,278,2,Q Claims,WE SAID NO.,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",344,4,Q Claims,They all belong to the same sick cult/club.,assumed claims
The same line appeared twice with the same destination,344,4,Q Claims,They all belong to the same sick cult/club.,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,435,3,Q Claims,Wizards & Warlocks.,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,435,3,Q Claims,Wizards & Warlocks.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,436,34,Q Claims,US SEN CLAS-1>,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,436,35,Q Claims,US SEN CLAS-2>,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,436,33,Q Claims,US SEN NO NAME>,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,436,41,Q Claims,US SEN NO NAME>,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,489,5,Q Claims,WAR = scam (trillions),The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,551,10,Q Claims,THE BEGINNING OF THE END>,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,563,12,Q Claims,THEY WANT CLASS WARS.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,563,14,Q Claims,THEY WANT POLITICAL WARS.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,563,11,Q Claims,THEY WANT RACE WARS.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,563,15,Q Claims,THEY WANT YOU DIVIDED!,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,714,4,Q Claims,Wizards & Warlocks.,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,714,4,Q Claims,Wizards & Warlocks.,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",770,6,Q Claims,Turned over securedrop to Freedom of the Press,assumed claims
The same line appeared twice with the same destination,770,6,Q Claims,Turned over securedrop to Freedom of the Press,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",802,5,Q Claims,Traitor,assumed claims
The same line appeared twice with the same destination,802,5,Q Claims,Traitor,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,863,2,Q Claims,Total viewers limited.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,953,19,Q Claims,Twitter Bots>GOOG operated (not Russia)/Narrative & Political SLANT,The same line appeared twice with the same destination. Certified once.
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1319,70,Q Claims,+ DOJ,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1319,71,Q Claims,+ FBI,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
The same line appeared twice with the same destination,1336,16,Q Claims,U.S. to U.S. = Logged/Flagged/Recorded,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1359,4,Q Claims,"Total S.A. is a French multinational integrated oil and gas company and one of the seven ""Supermajor"" oil companies in the world.",The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,1385,7,Q Claims,UK:US,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,1385,7,Q Claims,UK:US,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,1385,8,Q Claims,US:UK,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,1385,8,Q Claims,US:UK,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,1423,5,Q Claims,UK:US,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,1423,5,Q Claims,UK:US,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,1423,6,Q Claims,US:UK,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,1423,6,Q Claims,US:UK,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,1455,6,Q Claims,UK/SIS,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,1455,6,Q Claims,UK/SIS,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,1455,7,Q Claims,WH/C_A/FBI/DOJ,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,1455,7,Q Claims,WH/C_A/FBI/DOJ,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,1515,93,Q Claims,THE BRIDGE: PODESTA GROUP,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,1515,93,Q Claims,THE BRIDGE: PODESTA GROUP,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1515,1,Q Claims,These reporters and networks have been named in the WikiLeaks to have colluded with the DNC or Hillary campaign during the 2016 election cycle:,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1515,82,Q Claims,Tina Brown – Tina Brown,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1515,84,Q Claims,Univision – Maria-Elena Salinas,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1553,19,Q Claims,"-This is HUGE A Grand Jury can be empaneled anywhere, in any deep red state, away from D.C.",The same line appeared twice with the same destination. Certified once.
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1556,3,Q Claims,+1 BC & LL (Tarmac),"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
The same line appeared twice with the same destination,1646,10,Q Claims,THEY USE HOLLYWOOD.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1646,11,Q Claims,THEY USE POLITICAL LEADERS.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1646,9,Q Claims,THEY USE THE MEDIA.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1646,6,Q Claims,THEY WANT CLASS WARS.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1646,8,Q Claims,THEY WANT POLITICAL WARS.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1646,5,Q Claims,THEY WANT RACE WARS.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1646,7,Q Claims,THEY WANT RELIGIOUS WARS.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1646,4,Q Claims,THEY WANT YOU DIVIDED.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1777,1,Q Claims,"To the person holding the ""Q"" cut out:",The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1777,4,Q Claims,WE ARE Q.,The same line appeared twice with the same destination. Certified once.
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1841,9,Q Claims,+FB,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1841,10,Q Claims,+TWITTER,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1927,15,Q Claims,+ DOJ personnel removal,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1927,14,Q Claims,+ FBI personnel removal,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1927,19,Q Claims,+ House personnel removal,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1927,23,Q Claims,+ MIL presence around POTUS,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1927,20,Q Claims,+ Senate personnel removal,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1927,18,Q Claims,+ WH personnel removal,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
The cell held an instruction rather than a line,1927,16,Q Claims,+ C_A personnel removal,"Owner instruction in the cell: highlight ALL ""personnel removal"" lines as Claims. #1927 is the only drop that carries the wording, in seven lines; the workbook names six of them and this row stands for the seventh. Resolved to: + C_A personnel removal"
The same line appears twice on one sheet with two different Final Category values — e,1939,12,Q Claims,UK / F_intel unlocks REQ,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,1939,12,Q Claims,UK / F_intel unlocks REQ,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1959,1,Q Claims,Trending Non-MSM…,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",1995,2,Q Claims,Those who 'pull the trigger' seem to prefer:,assumed claims
The same line appeared twice with the same destination,1995,2,Q Claims,Those who 'pull the trigger' seem to prefer:,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2043,20,Q Claims,X talks to Y,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,2043,20,Q Claims,X talks to Y,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2043,21,Q Claims,Y talks to Z,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,2043,21,Q Claims,Y talks to Z,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,2044,1,Q Claims,THEY WANT THE KEYS TO THE KINGDOM.,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",2138,1,Q Claims,WRWY!,assumed claims
The same line appeared twice with the same destination,2138,1,Q Claims,WRWY!,The same line appeared twice with the same destination. Certified once.
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",2182,1,Q Claims,+Content match re: Nunes interview,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
The same line appeared twice with the same destination,2217,4,Q Claims,U1 Funnel >> Canada >> X,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2248,5,Q Claims,UK/AUS [PRIMARY],"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,2248,5,Q Claims,UK/AUS [PRIMARY],The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2347,4,Q Claims,The signifier will 'force' the Q.,"sheet said claims, cell said predictions, applied claims"
The same line appeared twice with the same destination,2347,4,Q Claims,The signifier will 'force' the Q.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,2440,18,Q Claims,WE STAND FOR RELIGIOUS FREEDOM.,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,2543,1,Q Claims,The Art of Trolling the Fake News Media,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",2555,1,Q Claims,"WHITAKER, HOROWITZ, HUBER, and WRAY.",assumed claims
The same line appeared twice with the same destination,2555,1,Q Claims,"WHITAKER, HOROWITZ, HUBER, and WRAY.",The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,2569,3,Q Claims,UNITED STATES MILITARY (G),The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,2633,4,Q Claims,US SEN NO NAME>,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2637,6,Q Claims,Warfare/MIL,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,2637,6,Q Claims,Warfare/MIL,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2637,8,Q Claims,Warfare/MIL,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,2637,8,Q Claims,Warfare/MIL,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",2653,24,Q Claims,"They must be replaced by he/she, her/him, and hers/his, and federal statutes must use the bad grammar of “plural constructions to avoid third person singular pronouns.” (Page 52-53)",assumed claims
The same line appeared twice with the same destination,2653,24,Q Claims,"They must be replaced by he/she, her/him, and hers/his, and federal statutes must use the bad grammar of “plural constructions to avoid third person singular pronouns.” (Page 52-53)",The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",2681,25,Q Claims,-Wall discussion end (public awareness of D's),assumed claims
The same line appeared twice with the same destination,2681,25,Q Claims,-Wall discussion end (public awareness of D's),The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2681,13,Q Claims,-Whitaker remain DOJ senior staff,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,2681,13,Q Claims,-Whitaker remain DOJ senior staff,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,2751,1,Q Claims,The Lord is leading us all.,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2782,4,Q Claims,Wealth-Power-Influence,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,2782,4,Q Claims,Wealth-Power-Influence,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,2854,4,Q Claims,Waters > CA rep since 1991,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,2937,14,Q Claims,What vested powers does POTUS have re: MIL INTEL vs.,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,2938,17,Q Claims,What other 'anchors' were provided to FISC in order to gain the warrant? [DECLAS will show].,"sheet said claims, cell said predictions, applied claims"
The same line appeared twice with the same destination,2938,17,Q Claims,What other 'anchors' were provided to FISC in order to gain the warrant? [DECLAS will show].,The same line appeared twice with the same destination. Certified once.
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",3047,8,Q Claims,@Jack > He (or she) who laughs last……,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",3050,4,Q Claims,THE TALE OF TWO:,assumed claims
The same line appeared twice with the same destination,3050,4,Q Claims,THE TALE OF TWO:,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",3071,1,Q Claims,TO SUMMARIZE THIS WEEK:,assumed claims
The same line appeared twice with the same destination,3071,1,Q Claims,TO SUMMARIZE THIS WEEK:,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",3099,1,Q Claims,WRWY!!!,assumed claims
The same line appeared twice with the same destination,3099,1,Q Claims,WRWY!!!,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,3127,3,Q Claims,YOU ATTACK THOSE WHO THREATEN YOU THE MOST.,The same line appeared twice with the same destination. Certified once.
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",3337,4,Q Claims,+Cruz,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
The same line appeared twice with the same destination,3588,28,Q Claims,THE GREAT AWAKENING,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,3598,5,Q Claims,Whole or (parts) - break/break,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,3607,5,Q Claims,THE GREAT AWAKENING,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",3638,4,Q Claims,"Whoever knowingly or willfully advocates, abets, advises, or teaches the duty, necessity, desirability, or propriety of overthrowing or destroying the government of the United States or the government of any State, Territory, District or Possession thereof, or the government of any political subdivision therein, by force or violence, or by the assassination of any officer of any such government; or Whoever, with intent to cause the overthrow or destruction of any such government, prints, publishes, edits, issues, circulates, sells, distributes, or publicly displays any written or printed matter advocating, advising, or teaching the duty, necessity, desirability, or propriety of overthrowing or destroying any government in the United States by force or violence, or attempts to do so; or Whoever organizes or helps or attempts to organize any society, group, or assembly of persons who teach, advocate, or encourage the overthrow or destruction of any such government by force or violence; or becomes or is a member of, or affiliates with, any such society, group, or assembly of persons, knowing the purposes thereof—",assumed claims
The same line appeared twice with the same destination,3638,4,Q Claims,"Whoever knowingly or willfully advocates, abets, advises, or teaches the duty, necessity, desirability, or propriety of overthrowing or destroying the government of the United States or the government of any State, Territory, District or Possession thereof, or the government of any political subdivision therein, by force or violence, or by the assassination of any officer of any such government; or Whoever, with intent to cause the overthrow or destruction of any such government, prints, publishes, edits, issues, circulates, sells, distributes, or publicly displays any written or printed matter advocating, advising, or teaching the duty, necessity, desirability, or propriety of overthrowing or destroying any government in the United States by force or violence, or attempts to do so; or Whoever organizes or helps or attempts to organize any society, group, or assembly of persons who teach, advocate, or encourage the overthrow or destruction of any such government by force or violence; or becomes or is a member of, or affiliates with, any such society, group, or assembly of persons, knowing the purposes thereof—",The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",3647,6,Q Claims,The 'Con':,assumed claims
The same line appeared twice with the same destination,3647,6,Q Claims,The 'Con':,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,3754,2,Q Claims,US Taxpayer > FED Gov't,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,3836,19,Q Claims,US pol corruption China,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,3836,22,Q Claims,US pol corruption Iran,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,3836,21,Q Claims,US pol corruption Russia,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,3856,8,Q Claims,The Silent War continues…,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4336,2,Q Claims,USA v Japan,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4337,2,Q Claims,USA v Japan,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4338,2,Q Claims,USA v Japan,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,4343,1,Q Claims,USA total pop: 328 million,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,4343,1,Q Claims,USA total pop: 328 million,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4476,2,Q Claims,Then v Now,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",4476,4,Q Claims,THEN:,assumed claims
The same line appeared twice with the same destination,4476,4,Q Claims,THEN:,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4484,5,Q Claims,Weiner evidence collection,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4595,3,Q Claims,v2_change we can believe in Q,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",4603,11,Q Claims,traitor defector deserter,assumed claims
The same line appeared twice with the same destination,4603,11,Q Claims,traitor defector deserter,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",4603,12,Q Claims,turncoat betrayer rebel,assumed claims
The same line appeared twice with the same destination,4603,12,Q Claims,turncoat betrayer rebel,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4635,8,Q Claims,"Then: battles raged in the streets [book burning, flag burning, destruction, hate, anti-police, etc]",The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4635,14,Q Claims,Then: project anti-fascist platform: reality: conform/obey strong-arm tactics deployed to silence opposing views,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",4685,10,Q Claims,to often repeat an idea or belief to someone in order to persuade them to accept it,assumed claims
The same line appeared twice with the same destination,4685,10,Q Claims,to often repeat an idea or belief to someone in order to persuade them to accept it,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",4722,8,Q Claims,The 'Why':,assumed claims
The same line appeared twice with the same destination,4722,8,Q Claims,The 'Why':,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,4784,4,Q Claims,Wife of Rod Rosenstein,"sheet said claims, cell said entities, applied claims"
The same line appeared twice with the same destination,4784,4,Q Claims,Wife of Rod Rosenstein,The same line appeared twice with the same destination. Certified once.
