Theme anchor,Post,The text,What else covers it
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Iran: The Central Bank of the Islamic Republic of Iran,136,Iran,namedEntity
Iran: The Central Bank of the Islamic Republic of Iran,136,The ,namedEntity
Central Bank,136,Central Bank,namedEntity
Iran: The Central Bank of the Islamic Republic of Iran,136, of the Islamic Republic of ,namedEntity
Iran: The Central Bank of the Islamic Republic of Iran,136,Iran,namedEntity
WWG1WGA,1362,WWG1WGA,request
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
Central Bank,137,Central Bank,namedEntity
WWG1WGA,1375,WWG1WGA,request
"Godspeed, Patriot.",1376,"Godspeed, ",request
"Godspeed, Patriot.",1376,Patriot,request+namedEntity
"Godspeed, Patriot.",1376,.,request
Narrative Control,1378,Narrative Control,bracketCode
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
Central Bank,138,Central Bank,namedEntity
No Such Agency,1380,No Such Agency,namedEntity+claim
WWG1WGA,1381,WWG1WGA,request
Anon,1393,Anon,claim
Military Intelligence,14,Military Intelligence,namedEntity
No Such Agency,140,No Such Agency,question+namedEntity
The Great Awakening,140,The Great Awakening,claim
God Bless,1401,God,request+namedEntity
God Bless,1401, Bless,request
Anon,1408,Anon,claim
God bless,141,God,request+namedEntity
God bless,141, bless,request
Guardian of the Pope.,1413,Guardian of the ,claim
Guardian of the Pope.,1413,Pope,namedEntity+claim
Guardian of the Pope.,1413,.,claim
WWII,142,WWII,question
MSM,1425,MSM,prediction
Anons,1430,Anons,claim
armor of God,1432,armor of ,request
armor of God,1432,God,request+namedEntity
armor of God,1432,armor of ,request
armor of God,1432,God,request+namedEntity
DECLAS_,1439,DECLAS_,prediction
No Such Agency,144,No Such Agency,question+namedEntity
MSM,144,MSM,question
MSM,144,MSM,claim
What council do the Wizards & Warlocks control?,144,What council do the Wizards & Warlocks control?,question
DECLAS_Public,1443,DECLAS_Public,prediction
GOOD vs. EVIL,1443,GOOD vs.,claim
GOOD vs. EVIL,1443,EVIL,claim
Pray.,145,Pray.,request
IG report,1453,IG,question+namedEntity
IG report,1453, report,question
DECLAS,1453,DECLAS,question
sanctions,1454,sanctions,claim
MSM,1454,MSM,claim
Biblical.,1455,Biblical.,prediction
FVEY,1458,FVEY,namedEntity+claim
Pray.,146,Pray.,request
Summit,1465,Summit,question
God be with us all.,147,God,namedEntity+claim
God be with us all.,147, be with us all.,claim
GODSPEED ONE AND ALL.,1475,GODSPEED ONE AND ALL.,request
Godspeed.,148,Godspeed.,request
Anons,1487,Anons,request
MSM,1489,MSM,claim
MSM,1489,MSM,claim+bracketCode
WWG1WGA,1489,WWG1WGA,request
SENTENCE,1492,SENTENCE,request
IMPEACH,1492,IMPEACH,claim
GOD SAVE US.,1493,GOD,request+namedEntity
GOD SAVE US.,1493, SAVE ,request
GOD SAVE US.,1493,US,request+namedEntity
GOD SAVE US.,1493,.,request
DECLAS,1494,DECLAS,claim
MSM,1494,MSM,claim
PUBLIC OPINION,1494,PUBLIC OPINION,prediction
"We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.–That to secure these rights, Governments are instituted among Men, deriving their just powers from the consent of the governed, –That whenever any Form of Government becomes destructive of these ends, it is the Right of the People to alter or to abolish it, and to institute new Government, laying its foundation on such principles and organizing its powers in such form, as to them shall seem most likely to effect their Safety and Happiness.",1495,"We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with cer",claim
DECLAS,1496,DECLAS,question
impeachment,1496,impeachment,claim
FISA,1498,FISA,namedEntity+claim
The wizards and warlocks (inside term) will not allow another Satanic Evil POS control our country.,15,The wizards and warlocks (inside term) will not allow another Satanic Evil POS control our country.,prediction
indicted,15,indicted,claim
indicted,15,indicted,claim
IG report,1504,IG,question+namedEntity
IG report,1504, report,question
convicting,1504,convicting,request
convicting,1504,convicting,request
indictments,151,indictments,question
IG report,1510,IG,namedEntity+claim
IG report,1510, report,claim
IG report,1512,IG,request+namedEntity
IG report,1512, report,request
Grand jury,1515,Grand jury,question+namedEntity
Anon,1518,Anon,claim
WWG1WGA,1519,WWG1WGA,request
God bless,1526,God,namedEntity
Perhaps he could not stomach the thought of mass murders occurring to satisfy Moloch?,153,Perhaps he could not stomach the thought of mass murders occurring to satisfy Moloch?,question
MSM,153,MSM,question
unsealed,1538,unsealed,question
slush fund,1538,slush fund,claim+bracketCode
WWI,154,WWI,question
Anons,1545,Anons,claim
DECLAS,1547,DECLAS,question
Godspeed.,155,Godspeed.,request
IG report,1552,IG,question+namedEntity
IG report,1552, report,question
IG report,1552,IG,namedEntity+claim
IG report,1552, report,claim
indictments,1553,indictments,claim
administration,1553,administration,claim
DECLAS,1559,DECLAS,claim
IG report,1563,IG,namedEntity+claim
IG report,1563, report,claim
God bless,1569,God,request+namedEntity
God bless,1569, bless,request
MSM,157,MSM,question
MSM,157,MSM,question
MSM,157,MSM,question
MSM,157,MSM,question
MSM,157,MSM,question
MSM,157,MSM,question
MSM,157,MSM,question
MSM,157,MSM,question
MSM,157,MSM,question
MSM,157,MSM,question
censorship,157,censorship,question+request
censorship,157,censorship,question+request
talking points,1570,talking points,claim
IG report,1570,IG,namedEntity+claim
IG report,1570, report,claim
WWG1WGA,1576,WWG1WGA,request
WWG1WGA,1577,WWG1WGA,request
MSM,158,MSM,question
MSM,158,MSM,question
No Such Agency,158,No Such Agency,namedEntity
The Great Awakening,158,The Great Awakening,claim
God bless,1583,God,request+namedEntity
God bless,1583, bless,request
riots,1585,riots,claim
MSM,1585,MSM,claim
Censorship,1585,Censorship,claim
impeachment,1589,impeachment,claim
assassination,1589,assassination,question
activists,1589,activists,claim
FISA,1589,FISA,namedEntity
MSM,1589,MSM,prediction
activists,1589,activists,prediction
legislation,16,legislation,claim
WWG1WGA,1601,WWG1WGA,request
DECLAS,1602,DECLAS,prediction
IN GOD WE TRUST.,1602,GOD,namedEntity
God bless,1604,God,request+namedEntity
God bless,1604, bless,request
Administration,1605,Administration,claim
MSM,1609,MSM,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
IMPEACH,1609,IMPEACH,claim
WWG1WGA,1609,WWG1WGA,request
WWG1WGA,1621,WWG1WGA,request
summit,1626,summit,prediction
MSM,1626,MSM,prediction
Why are Freemasons on the scene of most shooting locations?,1630,Why are ,question
Why are Freemasons on the scene of most shooting locations?,1630,Freemasons,question+namedEntity
Why are Freemasons on the scene of most shooting locations?,1630, on the scene of most shooting locations?,question
Find paper articles re: Freemasons.,1633,Find paper articles re: ,request
Find paper articles re: Freemasons.,1633,Freemasons,request+namedEntity
Find paper articles re: Freemasons.,1633,.,request
FAKE NEWS,1637,FAKE NEWS,claim
MSM,1641,MSM,claim
WWG1WGA,1645,WWG1WGA,request
IMPEACHMENT,1646,IMPEACHMENT,question
RIOTS,1646,RIOTS,question
GOD BLESS,1646,GOD,request+namedEntity
GOD BLESS,1646, BLESS,request
GOD BLESS,1646,GOD,request+namedEntity
GOD BLESS,1646, BLESS,request
MSM,165,MSM,question
indictments,1659,indictments,question
MSM,166,MSM,question
indictments,1660,indictments,request
Media BLACKOUT,1660,Media BLACKOUT,claim
MSM,1664,MSM,claim
MSM,1664,MSM,claim
WWG1WGA,1665,WWG1WGA,request
Five Eyes,1666,Five Eyes,namedEntity+claim
Fake news,1670,Fake news,claim
IG report,1671,IG,namedEntity+claim
IG report,1671, report,claim
NATIONAL SECURITY,1671,NATIONAL SECURITY,request
National Security,1673,National Security,claim
Fake news,1682,Fake news,claim
FOIA,1686,FOIA,question+namedEntity
FISA,1686,FISA,question+namedEntity
FISA,1686,FISA,namedEntity+bracketCode
FOIA,1686,FOIA,question+namedEntity
FISA,1686,FISA,question+namedEntity
WWG1WGA,1686,WWG1WGA,request
FAKE NEWS,1688,FAKE NEWS,namedEntity+claim
God bless,1691,God,request+namedEntity
God bless,1691, bless,request
"To all Americans, please pray.",1699,"To all Americans, please pray.",request
MSM,17,MSM,claim
MSM,1702,MSM,claim
impeachment,1711,impeachment,question
FISA,1724,FISA,namedEntity+bracketCode
MSM,1728,MSM,question
God bless,1735,God,request+namedEntity
God bless,1735, bless,request
FISA,1743,FISA,question+namedEntity
FISA,1745,FISA,namedEntity+claim
FISA,1745,FISA,namedEntity+claim
FISA,1745,FISA,namedEntity+claim
FISA,1745,FISA,namedEntity+claim
MSM,1745,MSM,claim
FISA,1745,FISA,namedEntity+claim
MSM,1745,MSM,claim
FISA,1745,FISA,namedEntity+claim
MSM,1745,MSM,claim
FISA,1745,FISA,namedEntity+claim
FOIA,1745,FOIA,claim
FISA,1745,FISA,namedEntity+claim
FISA,1745,FISA,namedEntity+claim
MSM,1746,MSM,claim
INDICTMENTS,1746,INDICTMENTS,question
DEFCON,1746,DEFCON,question
WWG1WGA,1749,WWG1WGA,request
MSM,1750,MSM,claim
FISA,1753,FISA,namedEntity+claim
MSM,1753,MSM,claim
MSM,1756,MSM,bracketCode
WWG1WGA,1761,WWG1WGA,request
FISA,1764,FISA,request+namedEntity
Anons,1769,Anons,request
MSM,1770,MSM,question
MSM,1770,MSM,question
Unsealed,1772,Unsealed,claim
indictment,1772,indictment,claim
WWG1WGA,1775,WWG1WGA,request
God bless,1783,God,request+namedEntity
God bless,1783, bless,request
WWG1WGA,1783,WWG1WGA,request
MSM,1785,MSM,question
The Great Awakening,1786,The Great Awakening,claim
MSM,1790,MSM,question
MSM,1791,MSM,question
FISA,1794,FISA,namedEntity
FISA,1794,FISA,namedEntity
FISA,1794,FISA,namedEntity
MSM,1794,MSM,claim
Fake News,1796,Fake News,claim
FAKE NEWS,1797,FAKE NEWS,question
special counsel,18,special counsel,question
Chain of Command,1807,Chain of Command,claim
Baker,1807,Baker,namedEntity+claim
Special Counsel,1807,Special Counsel,claim
"Godspeed, Patriot.",181,"Godspeed, ",request
"Godspeed, Patriot.",181,Patriot,request+namedEntity
"Godspeed, Patriot.",181,.,request
MSM,1814,MSM,bracketCode
FISA,1816,FISA,namedEntity
FISA,1816,FISA,namedEntity
FISA,1816,FISA,namedEntity
WWG1WGA,1816,WWG1WGA,request
Fake News,1822,Fake News,bracketCode
Fake News,1822,Fake News,question
Fake News,1822,Fake News,claim
Fake News,1822,FAKE NEWS,namedEntity+claim
Fake News,1822,FAKE NEWS,namedEntity+claim
DIVIDED by RELIGION.,1822,DIVIDED by RELIGION.,claim
Fake News,1822,FAKE NEWS,namedEntity
indictments,1822,indictments,request
WATERGATE,1822,WATERGATE,namedEntity
sentence,1826,sentence,url
impeachment,1826,impeachment,url
impeachment,1826,impeachment,url
impeachment,1826,impeachment,url
impeachment,1826,impeachment,url
impeachment,1826,impeachment,url
FAKE NEWS,1828,FAKE NEWS,claim+bracketCode
supreme court,1828,supreme court,namedEntity+claim
Watergate,1831,Watergate,request+namedEntity
WWG1WGA,1831,WWG1WGA,request
HOW MANY IN WASHINGTON AND THOSE AROUND THE WORLD (IN POWER) WORSHIP THE DEVIL?,1832,HOW MANY IN ,question
HOW MANY IN WASHINGTON AND THOSE AROUND THE WORLD (IN POWER) WORSHIP THE DEVIL?,1832,WASHINGTON,question+namedEntity
HOW MANY IN WASHINGTON AND THOSE AROUND THE WORLD (IN POWER) WORSHIP THE DEVIL?,1832, AND THOSE AROUND THE WORLD (IN POWER) WORSHIP THE DEVIL?,question
Fake News,1832,Fake News,question
voter fraud,1833,voter fraud,claim
FAKE NEWS,1841,FAKE NEWS,claim
impeach,1850,impeach,url
pedophilia,1851,pedophilia,url
administration,1856,administration,question
FAKE NEWS,1856,FAKE NEWS,question
FAKE NEWS,1858,FAKE NEWS,claim
Godspeed.,186,Godspeed.,request
FAKE NEWS,1862,FAKE NEWS,claim
FAKE NEWS,1862,FAKE NEWS,question
unmasking,1862,unmasking,url
FAKE NEWS,1867,FAKE NEWS,claim
Human Trafficking,1876,Human Trafficking,question
Muslim Brotherhood?,1876,Muslim Brotherhood,question+namedEntity
Muslim Brotherhood?,1876,?,question
NO SUCH AGENCY,1876,NO SUCH AGENCY,question+namedEntity
surveillance,1877,surveillance,claim
EPSTEIN ISLAND,1884,EPSTEIN,namedEntity+claim
EPSTEIN ISLAND,1884, ISLAND,namedEntity+claim
armor of God,1886,armor of ,request
armor of God,1886,God,request+namedEntity
armor of God,1886,armor of ,request
armor of God,1886,God,request+namedEntity
Muslim by faith?,1887,Muslim by faith?,question
Muslim by faith?,1887,Muslim by faith?,question
Muslim by faith?,1887,Muslim by faith?,question
MSM,189,MSM,question
Censorship,189,Censorship,claim
For God & Country.,189,For ,request
For God & Country.,189,God,request+namedEntity
For God & Country.,189, & Country.,request
legislation,19,legislation,question
MSM,19,MSM,question
FISA,1910,FISA,question+namedEntity
FISA,1910,FISA,question+namedEntity
God bless,1911,God,request+namedEntity
God bless,1911, bless,request
FAKE NEWS,1913,FAKE NEWS,question
Man of God?,1916,Man of ,question
Man of God?,1916,God,question+namedEntity
Man of God?,1916,?,question
surveillance,1919,surveillance,request
FAKE NEWS,1919,FAKE NEWS,claim
Censorship,1926,Censorship,question+request
Define 'Dogma'.,1926,Define 'Dogma'.,question+request
Censorship,1926,Censorship,claim
FAKE NEWS,1926,FAKE NEWS,claim+bracketCode
Censorship,1926,Censorship,claim
Censorship,1926,Censorship,claim
national security,1927,national security,claim
foreign policy,1927,foreign policy,claim
administration,1927,administration,request
indictments,1927,indictments,claim
administration,1927,administration,url
FISA,1928,FISA,question+namedEntity
congressional testimony,1928,congressional testimony,question
FISA,1928,FISA,question+namedEntity
FISA,1928,FISA,namedEntity
FISA,1929,FISA,question+namedEntity
congressional testimony,1929,congressional testimony,question
FISA,1929,FISA,question+namedEntity
FISA,1929,FISA,namedEntity
FAKE NEWS,1929,FAKE NEWS,namedEntity
The Great Awakening,1932,The Great Awakening,claim
investigation into,1935,investigation into,claim
FVEY,1939,FVEY,namedEntity
FAKE NEWS,1939,FAKE NEWS,claim
FVEY,1939,FVEY,namedEntity+claim+bracketCode
FAKE NEWS,1939,FAKE NEWS,question
FISA,1944,FISA,namedEntity+claim
FISA,1944,FISA,namedEntity
FISA,1944,FISA,question+namedEntity
FISA,1944,FISA,question+namedEntity
FISA,1944,FISA,namedEntity
FISA,1944,FISA,question+namedEntity
FISA,1944,FISA,question+namedEntity
CENSORSHIP,1947,CENSORSHIP,question
No Such Agency,1948,No Such Agency,question+namedEntity
FAKE NEWS,1948,FAKE NEWS,question
U.S.-HOLY SEE RELATIONS,1950,U.S.,namedEntity+claim
U.S.-HOLY SEE RELATIONS,1950,-,claim
U.S.-HOLY SEE RELATIONS,1950,HOLY SEE,namedEntity+claim
U.S.-HOLY SEE RELATIONS,1950, RELATIONS,claim
FAKE NEWS,1955,FAKE NEWS,claim
WWI,1957,WWI,request
MSM,1959,MSM,claim
GOD BLESS,1961,GOD,namedEntity
WWG1WGA,1961,WWG1WGA,request
FAKE NEWS,1965,FAKE NEWS,claim
FAKE NEWS,1969,FAKE NEWS,question+namedEntity
WATERGATE,1972,WATERGATE,namedEntity+claim
FAKE NEWS,1972,FAKE NEWS,bracketCode
FISA,1974,FISA,namedEntity+claim
FISA,1974,FISA,question+namedEntity
Impeach,1974,Impeach,question
FISA,1974,FISA,question+namedEntity
investigation into,1978,investigation into,question
No Such Agency,1981,No Such Agency,question+namedEntity
FAKE NEWS,1988,FAKE NEWS,question
MSM,199,MSM,question
MSM,199,MSM,question
FAKE NEWS,1998,FAKE NEWS,prediction
military intelligence,2,military intelligence,question+namedEntity
Supreme Court,2,Supreme Court,question+namedEntity
legislation,2,legislation,claim
God bless,2,God,request+namedEntity
God bless,2, bless,request
FAKE NEWS,2002,FAKE NEWS,claim
FAKE NEWS,2030,FAKE NEWS,question
FAKE NEWS,2032,FAKE NEWS,bracketCode
FAKE NEWS,2032,FAKE NEWS,bracketCode
BIG PHARMA,2037,BIG PHARMA,question
GOD BLESS,2039,GOD,request+namedEntity
GOD BLESS,2039, BLESS,request
FISA,2043,FISA,namedEntity
FISA,2043,FISA,namedEntity
FISA,2043,FISA,namedEntity
FISA,2043,FISA,namedEntity
FISA,2043,FISA,namedEntity+claim
FISA,2043,FISA,namedEntity+claim
FISA,2043,FISA,namedEntity+claim
FISA,2043,FISA,namedEntity
"IN WITNESS WHEREOF, I have hereunto set my hand this thirty-first day of August, in the year of our Lord two thousand eighteen, and of the Independence of the United States of America the two hundred and forty-third.",2054,"IN WITNESS WHEREOF, I have hereunto set my hand this thirty-first day of August, in the year of our Lord two thousand ei",claim
"IN WITNESS WHEREOF, I have hereunto set my hand this thirty-first day of August, in the year of our Lord two thousand eighteen, and of the Independence of the United States of America the two hundred and forty-third.",2054,United States,namedEntity+claim
"IN WITNESS WHEREOF, I have hereunto set my hand this thirty-first day of August, in the year of our Lord two thousand eighteen, and of the Independence of the United States of America the two hundred and forty-third.",2054, of America,namedEntity+claim
"IN WITNESS WHEREOF, I have hereunto set my hand this thirty-first day of August, in the year of our Lord two thousand eighteen, and of the Independence of the United States of America the two hundred and forty-third.",2054, the two hundred and forty-third.,claim
Baker,2070,Baker,namedEntity+claim
grand jury,2072,grand jury,namedEntity+claim
human trafficking,2072,human trafficking,question
WWG1WGA,2072,WWG1WGA,request
censorship,2075,censorship,claim
FAKE NEWS,2089,FAKE NEWS,claim
subpoena,2091,subpoena,url
declassify,2093,declassify,url
fisa,2093,fisa,url
WWG1WGA,2096,WWG1WGA,request
