Problem,Post,Sentence #,Sheet,Your text,What the drop says,What I did
Address typed with a space after https://,1117,1,URL,https:// www.nytimes.com/2014/04/09/business/international/chinas-embrace-of-foreign-cars.html,https:// www.nytimes.com/2014/04/09/business/international/chinas-embrace-of-foreign-cars.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1125,3,URL,https:// www.nytimes.com/2018/04/11/us/politics/ezra-cohen-watnick-justice-department-national-security-adviser.html,https:// www.nytimes.com/2018/04/11/us/politics/ezra-cohen-watnick-justice-department-national-security-adviser.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1134,2,URL,https:// www.washingtonpost.com/blogs/plum-line/wp/2018/04/09/the-crisis-in-journalism-thats-helping-trump/?noredirect=on&utm_term=.01054835c682,https:// www.washingtonpost.com/blogs/plum-line/wp/2018/04/09/the-crisis-in-journalism-thats-helping-trump/?noredirect=on&utm_term=.01054835c682,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1138,1,URL,https:// www.reuters.com/article/us-usa-congress-sextrafficking/trump-signs-law-to-punish-websites-for-sex-trafficking-idUSKBN1HI2KP,https:// www.reuters.com/article/us-usa-congress-sextrafficking/trump-signs-law-to-punish-websites-for-sex-trafficking-idUSKBN1HI2KP,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1142,2,URL,https:// www.cnn.com/2018/04/12/politics/rod-rosenstein-white-house-effort/index.html,https:// www.cnn.com/2018/04/12/politics/rod-rosenstein-white-house-effort/index.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1163,1,URL,https:// www.gpo.gov/fdsys/pkg/GPO-CHRG-GINSBURG/pdf/GPO-CHRG-GINSBURG-2-4-3-12.pdf,https:// www.gpo.gov/fdsys/pkg/GPO-CHRG-GINSBURG/pdf/GPO-CHRG-GINSBURG-2-4-3-12.pdf,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1168,1,URL,https:// www.iqt.org/portfolio/,https:// www.iqt.org/portfolio/,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1184,6,URL,https:// www.c-span.org/video/?444272-1/democrats-back-farm-bill-leader-pelosi,https:// www.c-span.org/video/?444272-1/democrats-back-farm-bill-leader-pelosi,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1199,4,URL,http:// www.foxnews.com/politics/2018/04/20/democratic-party-files-federal-lawsuit-alleging-conspiracy-by-trump-campaign-russia-wikileaks-to-disrupt-2016-presidential-election.html,http:// www.foxnews.com/politics/2018/04/20/democratic-party-files-federal-lawsuit-alleging-conspiracy-by-trump-campaign-russia-wikileaks-to-disrupt-2016-presidential-election.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1208,7,URL,https:// www.wehoville.com/2018/04/12/west-hollywoodss-mariah-sunshine-coogan-identified-victim-scottsdale-plane-crash/,https:// www.wehoville.com/2018/04/12/west-hollywoodss-mariah-sunshine-coogan-identified-victim-scottsdale-plane-crash/,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1242,3,URL,https:// www.aljazeera.com/amp/news/2018/04/armenia-prime-minister-serzh-sargsyan-resigns-protests-180423120123655.html?__twitter_impression=true,https:// www.aljazeera.com/amp/news/2018/04/armenia-prime-minister-serzh-sargsyan-resigns-protests-180423120123655.html?__twitter_impression=true,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1247,2,URL,http:// www.un.org/en/auditors/board/faq.shtml,http:// www.un.org/en/auditors/board/faq.shtml,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1250,10,URL,https:// www.congress.gov/bill/112th-congress/house-bill/5734/text,https:// www.congress.gov/bill/112th-congress/house-bill/5734/text,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1250,12,URL,https:// www.congress.gov/bill/112th-congress/house-bill/1699,https:// www.congress.gov/bill/112th-congress/house-bill/1699,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1250,14,URL,https:// www.govtrack.us/congress/bills/112/hr285,https:// www.govtrack.us/congress/bills/112/hr285,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1250,16,URL,https:// www.theguardian.com/global-development/poverty-matters/2011/jul/11/us-aid-to-pakistan,https:// www.theguardian.com/global-development/poverty-matters/2011/jul/11/us-aid-to-pakistan,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1253,1,URL,https:// www.grassley.senate.gov/news/news-releases/grassley-refers-planned-parenthood-fetal-tissue-procurement-organizations-fbi http:// www.foxnews.com/politics/2017/12/07/planned-parenthood-under-investigation-by-justice-department-over-sale-fetal-tissue.html,https:// www.grassley.senate.gov/news/news-releases/grassley-refers-planned-parenthood-fetal-tissue-procurement-organizations-fbi http:// www.foxnews.com/politics/2017/12/07/planned-parenthood-under-investigation-by-justice-department-over-sale-fetal-tissue.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1261,6,URL,https:// www.nbcnews.com/news/us-news/after-toronto-attack-online-misogynists-praise-suspect-new-saint-n868821,https:// www.nbcnews.com/news/us-news/after-toronto-attack-online-misogynists-praise-suspect-new-saint-n868821,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1261,12,URL,http:// www.foxnews.com/politics/2018/04/25/reparations-income-handouts-guaranteed-jobs-dems-tilt-hard-left-with-new-pet-projects.html,http:// www.foxnews.com/politics/2018/04/25/reparations-income-handouts-guaranteed-jobs-dems-tilt-hard-left-with-new-pet-projects.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Sentence was cut at an abbreviation,2451,3,Q Directives,"Thank you for your service to our Country,",,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,2451,3,Q Directives,"Thank you for your service to our Country,","Thank you for your service to our Country, Mr. Trey Gowdy!",The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Fragment already absorbed elsewhere — REFUSED,2740,3,Q Questions,'set up' meeting)?,'set up' meeting)?,REFUSED. This fragment was deliberately absorbed into a repaired sentence on 2026-08-21; re-certifying it would put the same sentence in the archive twice.
Sentence was cut at an abbreviation,4891,6,Q Questions,Why would H.,,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,4891,6,Q Questions,Why would H.,Why would H. Biden have such material on his laptop?,The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
,,,,,,
"KNOWN, NOT FIXED",859,,,These peo&gt;&gt;567493ple are stupid.,,"This drop splices a post-pointer INSIDE a word, so no rendered block matches its text. It is the one drop of 4,966 the census could not read. Carried over from the previous pass."
