occurrenceKey,postNum,kind,start,end,identicalText,textA,textB,context
1700|directives|317|625,1700,directives,317,625,true,"Prudence, indeed, will dictate that Governments long established should not be changed for light and transient causes; and accordingly all experience hath shewn that mankind are more disposed to suffer, while evils are sufferable than to right themselves by abolishing the forms to which they are accustomed.","Prudence, indeed, will dictate that Governments long established should not be changed for light and transient causes; and accordingly all experience hath shewn that mankind are more disposed to suffer, while evils are sufferable than to right themselves by abolishing the forms to which they are accustomed.",">>> — That whenever any Form of Government becomes destructive of these ends, it is the Right of the People to alter or to abolish it, and to institute new Government, laying its foundation on such principles and organizing its powers in such form, as to them shall seem most likely to effect their Safety and Happiness. Prudence, indeed, will dictate that Governments long established should not be changed for light and transient causes; and accordingly all experience hath shewn that mankind are more disposed to suffer, while evils are sufferable than to right themselves by abolishing the forms to which they are accustomed. But when a long train of abuses and usurpations, pursuing invariably the same Object evinces a design to reduce them under absolute Despotism, it is their right, it is their duty, to throw off such Government, and to provide new Guards for their future security. — ⏎     Q"
1745|namedEntities|322|325,1745,namedEntities,322,325,false,MI6,SIS,"    FISA = IMPLICATES HRC / D PARTY AS FEEDERS OF FALSE INFO W/ THE INTENT OF SECURING MSM + BLAST/INSURANCE. ⏎ >>> FISA = IMPLICATES SENIOR MEMBERS OF UK MI5/6/SIS, US INTEL, WH, FVEY, R PARTY (CONGRESS/SENATE) OF KNOWN CORRUPTION IN EFFORT TO RETAIN POWER AND RIG ELECTION + SAFEGUARD EVENT(S) BY POLITICAL KILL TO ACT WHILE IN POWER GIVEN MSM FAKE PUSH RUSSIA NAR. ⏎     FISA = TIES MSM HEADS (TV/BEHIND/CORP) TO D PARTY OTHER FOREIGN HEADS OF STATE IN CO-OP STRATEGY."
1796|namedEntities|343|350,1796,namedEntities,343,350,true,Twitter,Twitter,    Twitter bot attack (twitter controls dir/fake accts) ⏎ >>> (FB/Twitter/etc create massive amounts of fake user accts for SP (fake user growth %)/bot use etc). ⏎     All activated past 24hrs.
1824|namedEntities|326|333,1824,namedEntities,326,333,true,America,America,    Why was America's wealth being distributed WW? ⏎ >>> Why was the American taxpayer essentially subsidizing the the rest of the world? ⏎     The AMERICAN TAXPAYER has no equal anywhere in the world.
1824|namedEntities|326|333,1824,namedEntities,326,333,true,America,America,    Why was America's wealth being distributed WW? ⏎ >>> Why was the American taxpayer essentially subsidizing the the rest of the world? ⏎     The AMERICAN TAXPAYER has no equal anywhere in the world.
1828|namedEntities|784|786,1828,namedEntities,784,786,true,JC,JC,    [WASH FREE BEACON](Shell1)                      ^^^^^^ ⏎ >>> [[HRC][JP][RM]/DNC[DWS]/[JC]]←—–→[UK PM/MI6/SIS[SPY ACTIV]]←—→[CS] ⏎     *Tarmac (final meeting - no charges/drop = supreme court)
1830|namedEntities|0|22,1830,namedEntities,0,22,false,Clinton Foundation,THE CLINTON FOUNDATION,>>> THE CLINTON FOUNDATION. ⏎     (888) 373-7888
1833|namedEntities|129|131,1833,namedEntities,129,131,false,New York,NY,    >>>THIS ALL REVOLVES AROUND REMOVING NUNES<<< ⏎ >>> CA/NY notorious voter fraud. ⏎     Controlled & Coordinated by Corrupt [+ so-called volunteers] State Officials.
1870|namedEntities|25|27,1870,namedEntities,25,27,false,WikiLeaks,WL,    >>2600476 ⏎ >>> Not seen since WL Podesta dump? ⏎     Similar in nature to attacks on POTUS?
1876|namedEntities|0|5,1876,namedEntities,0,5,false,Gmail,GMAIL,>>> GMAIL DRAFTS ⏎     [GOOG SAFEGUARDED HIGHEST LEVEL [Access [3-GOOG] - SERVER ROUTING - NON US BASED]
1887|namedEntities|682|689,1887,namedEntities,682,689,true,Hussein,Hussein,    https://wikileaks.org/podesta-emails/emailid/28660 ⏎ >>> Why was the Hussein admin breaking down admin by faith? ⏎     Why was the PUBLIC sheltered re: ISIS for so long?
1935|namedEntities|409|414,1935,namedEntities,409,414,true,Putin,Putin,"    Focus Here: ⏎ >>> ""…raise troubling questions about Halper, who was believed to have worked with the CIA and part of the matrix of players in the bureau’s ‘CrossFire Hurricane’ investigation into Trump’s 2016 presidential campaign. Halper, who assisted the FBI in the Russia investigation, appears to also have significant ties to the Russian government, as well as sources connected directly to President Vladimir Putin."" ⏎     https://saraacarter.com/whistleblower-exposes-key-player-in-fbi-russia-probe-it-was-all-a-set-up/"
1935|namedEntities|409|414,1935,namedEntities,409,414,true,Putin,Putin,"    Focus Here: ⏎ >>> ""…raise troubling questions about Halper, who was believed to have worked with the CIA and part of the matrix of players in the bureau’s ‘CrossFire Hurricane’ investigation into Trump’s 2016 presidential campaign. Halper, who assisted the FBI in the Russia investigation, appears to also have significant ties to the Russian government, as well as sources connected directly to President Vladimir Putin."" ⏎     https://saraacarter.com/whistleblower-exposes-key-player-in-fbi-russia-probe-it-was-all-a-set-up/"
194|namedEntities|86|90,194,namedEntities,86,90,true,Iran,Iran,    Why is this relevant? ⏎ >>> Re-read drops re: NK / Iran. ⏎     (Y) What does it mean to be covered in gold?
1948|namedEntities|1473|1477,1948,namedEntities,1473,1477,true,Iran,Iran,    Did ALL planes land in the same location (airport)? ⏎ >>> Why did [1] particular plane land outside of Iran? ⏎     Why was a helicopter involved?
195|namedEntities|86|90,195,namedEntities,86,90,true,Iran,Iran,    Why is this relevant? ⏎ >>> Re-read drops re: NK / Iran. ⏎     (Y) What does it mean to be covered in gold?
199|namedEntities|130|134,199,namedEntities,130,134,true,Iran,Iran,"    Who was suppose to win the election of 2016? ⏎ >>> Why was the Iran deal kept from Congress and placed at the highest level of classification? ⏎     Meaning, a United States Senator could NOT review the deal but other foreign powers could."
2037|namedEntities|657|659,2037,namedEntities,657,659,false,New York,NY,    https://www.forbes.com/sites/theapothecary/2018/02/26/how-american-citizens-finance-health-care-for-undocumented-immigrants/#265162c912c4 ⏎ >>> BIG PHARMA DONATES HOW MUCH TO CA/NY 'ELECTED' OFFICIALS? ⏎     COMPARE VS OTHER STATES.
2165|namedEntities|449|451,2165,namedEntities,449,451,false,Sara Carter,SC,    IF SESSIONS WASN'T A THREAT WHY WAS HE THE PRIMARY TARGET? ⏎ >>> WHY WAS IT CRITICAL TO MOVE [RR] INTO DOJ ACTING AG RE: APPOINTMENT OF MUELLER / DIR SC OVERSIGHT [AUTH]? ⏎     IF YOU KNOW WHAT YOUR ENEMY IS PLANNING HOW DO YOU PREPARE STRATEGICALLY?
2215|emphasis|24|35,2215,emphasis,24,35,true,PANIC IN UK,PANIC IN UK,    PANIC IN DC ⏎ >>> PANIC IN UK ⏎     PANIC IN DC
2215|emphasis|36|47,2215,emphasis,36,47,true,PANIC IN DC,PANIC IN DC,    PANIC IN UK ⏎ >>> PANIC IN DC ⏎     Q
2378|namedEntities|379|384,2378,namedEntities,379,384,true,China,China,"    https://www.bloomberg.com/news/articles/2018-10-09/new-evidence-of-hacked-supermicro-hardware-found-in-u-s-telecom ⏎ >>> ""Western intelligence contacts that the device was made at a Supermicro subcontractor factory in Guangzhou, a port city in southeastern China. Guangzhou is 90 miles upstream from Shenzhen, dubbed the `Silicon Valley of Hardware,’"" ⏎     What state does [Feinstein] represent?"
2378|namedEntities|379|384,2378,namedEntities,379,384,true,China,China,"    https://www.bloomberg.com/news/articles/2018-10-09/new-evidence-of-hacked-supermicro-hardware-found-in-u-s-telecom ⏎ >>> ""Western intelligence contacts that the device was made at a Supermicro subcontractor factory in Guangzhou, a port city in southeastern China. Guangzhou is 90 miles upstream from Shenzhen, dubbed the `Silicon Valley of Hardware,’"" ⏎     What state does [Feinstein] represent?"
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2397|namedEntities|701|708,2397,namedEntities,701,708,true,Mueller,Mueller,    How do you navigate around installed BLOCKADE? ⏎ >>> [MUELLER] designed to take-in evidence needed to ‘expose’ DS [DOJ block re: Mueller ‘evidence’ ongoing investigation]. ⏎     [MUELLER] designed to limit POTUS’ ability to maneuver.
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,true,Senate,Senate,    Enemy at the front door. ⏎ >>> Our attempt at reassurance re: last drops re: House >>> Senate backed by POTUS tweet directly thereafter stating the same thing should have put this to bed. ⏎     How many coincidences before it's mathematically impossible?
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,true,Senate,Senate,    Enemy at the front door. ⏎ >>> Our attempt at reassurance re: last drops re: House >>> Senate backed by POTUS tweet directly thereafter stating the same thing should have put this to bed. ⏎     How many coincidences before it's mathematically impossible?
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,true,Senate,Senate,    Enemy at the front door. ⏎ >>> Our attempt at reassurance re: last drops re: House >>> Senate backed by POTUS tweet directly thereafter stating the same thing should have put this to bed. ⏎     How many coincidences before it's mathematically impossible?
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,true,Senate,Senate,    Enemy at the front door. ⏎ >>> Our attempt at reassurance re: last drops re: House >>> Senate backed by POTUS tweet directly thereafter stating the same thing should have put this to bed. ⏎     How many coincidences before it's mathematically impossible?
2448|namedEntities|1007|1013,2448,namedEntities,1007,1013,true,Senate,Senate,    Enemy at the front door. ⏎ >>> Our attempt at reassurance re: last drops re: House >>> Senate backed by POTUS tweet directly thereafter stating the same thing should have put this to bed. ⏎     How many coincidences before it's mathematically impossible?
2451|directives|0|58,2451,directives,0,58,true,"Thank you for your service to our Country, Mr. Trey Gowdy!","Thank you for your service to our Country, Mr. Trey Gowdy!",">>> Thank you for your service to our Country, Mr. Trey Gowdy! ⏎     Thank you for your service to our Country, Mr. Bob Goodlatte!"
2463|namedEntities|56|63,2463,namedEntities,56,63,true,D party,D party,    >>384 ⏎ >>> Will recent [expected] voter fraud actions by the D party provide support for a VOTER ID LAW? ⏎     VOTER ID LAW = DEATH OF D PARTY.
2476|namedEntities|101|103,2476,namedEntities,101,103,false,PlayStation,PS,    Dig deeper! ⏎ >>> Re_read drops re: Gmail + Xbox / PS comms ⏎     [There is a reason why 'directly' after the drop MS shut down their entire network to erase 'collected & stored' data]
2476|namedEntities|160|162,2476,namedEntities,160,162,false,Microsoft,MS,    Re_read drops re: Gmail + Xbox / PS comms ⏎ >>> [There is a reason why 'directly' after the drop MS shut down their entire network to erase 'collected & stored' data] ⏎     Sometimes people need to see the future in order to save the past.
2519|namedEntities|158|167,2519,namedEntities,158,167,true,WASH POST,WASH POST,    Who owns the WASH POST? ⏎ >>> Who funds the WASH POST? ⏎     ALL FOR A LARP?
2549|namedEntities|573|582,2549,namedEntities,573,582,true,WASH POST,WASH POST,    Why does the (global) FAKE NEWS media [largest in the world] continually attack 'Q'? ⏎ >>> Why is the WASH POST leading the attack? ⏎     Think ABC agency.
2552|namedEntities|285|307,2552,namedEntities,285,307,false,Clinton Foundation,THE CLINTON FOUNDATION,    PANIC IN DC. ⏎ >>> THE CLINTON FOUNDATION. ⏎     Nothing To See Here.
2627|namedEntities|231|240,2627,namedEntities,231,240,true,WASH POST,WASH POST,    The largest media co's in the world giving so much attention…. ⏎ >>> WASH POST leading the attack? ⏎     Logical thinking always wins.
2640|namedEntities|466|473,2640,namedEntities,466,473,true,America,America,    Why did HUSSEIN attempt to destroy our military (weaken)? ⏎ >>> What was the 16-year plan to destroy America? ⏎     Why did HUSSEIN install traitors at the highest levels of our Gov't?
2653|namedEntities|1|4,2653,namedEntities,1,4,false,Ruth Bader Ginsburg,RBG,>>> [RBG] ⏎     Why was she 'selected'?
2657|namedEntities|1310|1317,2657,namedEntities,1310,1317,true,Brennan,Brennan,"    Money buys POWER. ⏎ >>> No punishment [Brennan] by HUSSEIN ADMIN re: SURV of Senate etc? ⏎     Logical thinking, why?"
2657|namedEntities|1310|1317,2657,namedEntities,1310,1317,true,Brennan,Brennan,"    Money buys POWER. ⏎ >>> No punishment [Brennan] by HUSSEIN ADMIN re: SURV of Senate etc? ⏎     Logical thinking, why?"
2657|namedEntities|1348|1354,2657,namedEntities,1348,1354,true,Senate,Senate,"    Money buys POWER. ⏎ >>> No punishment [Brennan] by HUSSEIN ADMIN re: SURV of Senate etc? ⏎     Logical thinking, why?"
2686|namedEntities|110|112,2686,namedEntities,110,112,false,Planned Parenthood,PP,    https://www.liveaction.org/what-we-do/investigations/child-sex-trafficking-cover-up/ ⏎ >>> Why do D's push to fund [PP] using taxpayer dollars ($500m/year)? ⏎     Where does the money go?
2715|namedEntities|90|99,2715,namedEntities,90,99,true,WASH POST,WASH POST,"    More importantly, why is the WASH POST leading the attack vs ‘Q’? ⏎ >>> Who owns the WASH POST? ⏎     Who funds Amazon?"
2844|namedEntities|511|519,2844,namedEntities,511,519,true,Renegade,Renegade,    HUSSEIN's USSS codename: RENEGADE ⏎ >>> Define 'Renegade'. ⏎     noun
2856|namedEntities|1355|1362,2856,namedEntities,1355,1362,true,Mueller,Mueller,    Designed to prevent POTUS from CLEANING HOUSE? ⏎ >>> Attack on political opponent(s) who is/are actively conducting (leading) investigations into the President for XYZ charges beyond Mueller for XYZ reasons (zero evidence to support) - OBSTRUCTION TRAP? ⏎     [SDNY] opening 'private' investigation for the sole purpose of FINDING A CRIME?
2856|namedEntities|1355|1362,2856,namedEntities,1355,1362,true,Mueller,Mueller,    Designed to prevent POTUS from CLEANING HOUSE? ⏎ >>> Attack on political opponent(s) who is/are actively conducting (leading) investigations into the President for XYZ charges beyond Mueller for XYZ reasons (zero evidence to support) - OBSTRUCTION TRAP? ⏎     [SDNY] opening 'private' investigation for the sole purpose of FINDING A CRIME?
2943|namedEntities|1150|1156,2943,namedEntities,1150,1156,true,Senate,Senate,"    Why is scope #2 classified only to AG/DAG and a select few others (read at terminal only)? ⏎ >>> If 'evidence' exists(ed), why did R+D members of the Senate conclude NO DIRECT EVIDENCE EXISTS …………..? ⏎     https://www.nbcnews.com/politics/congress/senate-has-uncovered-no-direct-evidence-conspiracy-between-trump-campaign-n970536"
2971|questions|561|799,2971,questions,561,799,true,"""you will be asked to give proof of your identity""
synonyms:	evidence, verification, corroboration, authentication, confirmation, certification, validation, attestation, demonstration, substantiation, witness, testament;
PROOF = EVIDENCE?","""you will be asked to give proof of your identity""
synonyms:	evidence, verification, corroboration, authentication, confirmation, certification, validation, attestation, demonstration, substantiation, witness, testament;
PROOF = EVIDENCE?","    1. [evidence] or argument establishing or helping to establish a fact or the truth of a statement. ⏎ >>> ""you will be asked to give proof of your identity"" ⏎ >>> synonyms:	evidence, verification, corroboration, authentication, confirmation, certification, validation, attestation, demonstration, substantiation, witness, testament; ⏎ >>> PROOF = EVIDENCE? ⏎     Listen to the clip again re: proof & evidence."
2984|namedEntities|288|290,2984,namedEntities,288,290,false,PlayStation,PS,    [4-11-18] ⏎ >>> *THINK SCRAMBLE [OFFLINE SCRUB] POST XBOX/PS CHAT LOGS DROP* ⏎     [MS SHUTDOWN IMMEDIATELY POST DROP]
2984|namedEntities|309|311,2984,namedEntities,309,311,false,Microsoft,MS,"    *THINK SCRAMBLE [OFFLINE SCRUB] POST XBOX/PS CHAT LOGS DROP* ⏎ >>> [MS SHUTDOWN IMMEDIATELY POST DROP] ⏎     BUILDING 8 NEWS RELEASE ""RESTRUCTURING BUILDING 8"" RELEASE?"
2989|namedEntities|693|698,2989,namedEntities,693,698,false,Hollywood,HWOOD,    Define 'Black Budget'. ⏎ >>> Did HWOOD push? ⏎     Do people follow the 'stars'?
3004|namedEntities|771|776,3004,namedEntities,771,776,true,Huber,Huber,    [4] ⏎ >>> https://www.documentcloud.org/documents/5764382-AO-DOJ-HuberDirective.html#document/p3/a485908 ⏎     Do you believe the timing is a coincidence?
3006|namedEntities|451|457,3006,namedEntities,451,457,true,Senate,Senate,"    Think [Brennan] spy campaign > US SENATE ⏎ >>> What happens when the C_A targets [spy insertion] the Executive, House, Senate, DOJ, FBI, State, etc branches of the UNITED STATES GOV? ⏎     How many so-called 'former' C_A agents ran for House elections in 2018?"
3035|namedEntities|50|57,3035,namedEntities,50,57,false,Bill Clinton,Clinton,    https://www.justice.gov/file/1071991/download ⏎ >>> The Clinton Connection. ⏎     WHERE ARE THEY NOW?
3065|namedEntities|131|134,3065,namedEntities,131,134,false,Nellie Ohr,OHR,    What did we learn this week? ⏎ >>> NELLIE OHR = C_A? ⏎     Next?
3133|namedEntities|251|253,3133,namedEntities,251,253,false,Rachel Chandler,RC,    Flight logs reveal many hidden artifacts. ⏎ >>> [RC] ⏎     Q
3158|namedEntities|0|18,3158,namedEntities,0,18,false,Standard Hotel,THE STANDARD HOTEL,>>> THE STANDARD HOTEL. ⏎     RACHEL CHANDLER.
3316|namedEntities|279|286,3316,namedEntities,279,286,true,Mueller,Mueller,"    [Pg 11] Previously CLAS 'scope' > [RR] to [MUELLER] ⏎ >>> The scope memo [highlighted w/in Mueller report] confirms the 'dossier' was the 'tool' used by [RR] to justify SC and was the primary 'vehicle' to which [RR] tasked MUELLER. ⏎     If the dossier was known to be unverified and fake, how then was an investigation started to begin with?"
3316|namedEntities|279|286,3316,namedEntities,279,286,true,Mueller,Mueller,"    [Pg 11] Previously CLAS 'scope' > [RR] to [MUELLER] ⏎ >>> The scope memo [highlighted w/in Mueller report] confirms the 'dossier' was the 'tool' used by [RR] to justify SC and was the primary 'vehicle' to which [RR] tasked MUELLER. ⏎     If the dossier was known to be unverified and fake, how then was an investigation started to begin with?"
3325|namedEntities|102|110,3325,namedEntities,102,110,true,Renegade,Renegade,    Why would a President of the United States [HUSSEIN] assign 'RENEGADE' as his USSS codename? ⏎ >>> Define 'Renegade'. ⏎     noun
3330|namedEntities|191|196,3330,namedEntities,191,196,true,Flynn,Flynn,    FBI 302's ⏎ >>> FISA (spy) > Flynn ⏎     Will newly discovered evidence (AG Barr - SDNY) FREE FLYNN?
3383|namedEntities|487|492,3383,namedEntities,487,492,false,Biden,Joe Biden,    N. Pelosi net worth $150mm+? ⏎ >>> J. Biden son/brother net worth tens of millions? ⏎     Clinton family $200mm+ (pre election of BC less than $1mm)?
3408|namedEntities|117|119,3408,namedEntities,117,119,false,Planned Parenthood,PP,    https://www.breitbart.com/politics/2019/06/20/gop-senators-demand-doj-update-planned-parenthood-fetal-tissue-probe/ ⏎ >>> [PP] news coming. ⏎     Q
3415|namedEntities|145|147,3415,namedEntities,145,147,false,Planned Parenthood,PP,    https://www.lifenews.com/2019/07/11/court-rules-president-trump-can-defund-planned-parenthood-will-cut-almost-60-million-in-taxpayer-funding-2/ ⏎ >>> [PP] news. ⏎     More coming.
3595|namedEntities|0|3,3595,namedEntities,0,3,false,Australia,AUS,">>> AUS, IT, UK co-op DOJ (Barr, Durham, CLAS 1-4) ⏎     HUMINT, SIGINT, etc."
3634|namedEntities|650|652,3634,namedEntities,650,652,false,Valerie Jarrett,VJ,    https://gohmert.house.gov/news/documentsingle.aspx?DocumentID=398652 ⏎ >>> >[VJ] direct relay > Iran pre/post Iran deal [future marker] ⏎     >[Kerry] direct relay > Iran pre/post Iran deal [future marker]
3741|namedEntities|344|350,3741,namedEntities,344,350,true,Pelosi,Pelosi,    When blackmail and threats no longer work……. ⏎ >>> Why are the [2] articles being held by Pelosi? ⏎     What happens when the articles of impeachment are sent from the House to the Senate?
