postNum,kind,identity,aliasesAttempted,aliasCount,postText
1122,namedEntities,Kansas,Kansas,1,>>979093 ⏎ TRUST SESSIONS. ⏎ TRUST WRAY. ⏎ TRUST KANSAS. ⏎ TRUST HOROWITZ. ⏎ TRUST HUBER. ⏎ Q ⏎ 
1122,namedEntities,Horowitz,Horowitz,1,>>979093 ⏎ TRUST SESSIONS. ⏎ TRUST WRAY. ⏎ TRUST KANSAS. ⏎ TRUST HOROWITZ. ⏎ TRUST HUBER. ⏎ Q ⏎ 
1129,namedEntities,Pompeo,Pompeo,1,http:// thehill.com/homenews/administration/382714-clinton-advised-pompeo-to-stop-the-purge-of-state-dept ⏎ Then…. ⏎ http:// thehill.com/homenews/administration/382765-pompeo-failed-to-disclose-ownership-in-business-connected-to-china ⏎ Down She Goes….. ⏎ Q ⏎ 
1138,namedEntities,Ray Chandler,,0,https:// www.reuters.com/article/us-usa-congress-sextrafficking/trump-signs-law-to-punish-websites-for-sex-trafficking-idUSKBN1HI2KP ⏎ Study carefully. ⏎ Facebook. ⏎ IG (think Ray.Chandler). ⏎ Twitter. ⏎ Etc….. ⏎ HONEYPOTS. ⏎ Q ⏎ 
117,namedEntities,United States of America,,0,"Why was the arrest of Alwaleed and others important? ⏎ How is Alwaleed and BO tied to HUMA? ⏎ Why did Alwaleed finance BO pre-political days? ⏎ Why did Alwaleed finance BO pre-political days? ⏎ What is HUMA? Define. ⏎ What book was BO caught reading? ⏎ Why was this immediately disregarded as false? ⏎ What is ‘Post-American World by Fareed Zakaria’? ⏎ Why is this relevant?  ⏎ Why would the President of the UNITED STATES OF AMERICA be reading this book? ⏎ What church did BO attend as pre-POTUS? ⏎ Who was BO’s mentor? ⏎ How is Alwaleed and HRC connected? ⏎ Who was HRC’s mentor? ⏎ How is Alwaleed and Bush Sr./Jr. connected? ⏎ What occurred post 9-11? ⏎ What war did we enter into? ⏎ What was the purpose and disclosures given re: justification? ⏎ Who financed 9-11? ⏎ Why, recently, are classified 9-11 pages being released? ⏎ What just occurred in SA? ⏎ What FOIA docs are being publicly release"
117,namedEntities,Huma,,0,"Why was the arrest of Alwaleed and others important? ⏎ How is Alwaleed and BO tied to HUMA? ⏎ Why did Alwaleed finance BO pre-political days? ⏎ Why did Alwaleed finance BO pre-political days? ⏎ What is HUMA? Define. ⏎ What book was BO caught reading? ⏎ Why was this immediately disregarded as false? ⏎ What is ‘Post-American World by Fareed Zakaria’? ⏎ Why is this relevant?  ⏎ Why would the President of the UNITED STATES OF AMERICA be reading this book? ⏎ What church did BO attend as pre-POTUS? ⏎ Who was BO’s mentor? ⏎ How is Alwaleed and HRC connected? ⏎ Who was HRC’s mentor? ⏎ How is Alwaleed and Bush Sr./Jr. connected? ⏎ What occurred post 9-11? ⏎ What war did we enter into? ⏎ What was the purpose and disclosures given re: justification? ⏎ Who financed 9-11? ⏎ Why, recently, are classified 9-11 pages being released? ⏎ What just occurred in SA? ⏎ What FOIA docs are being publicly release"
117,namedEntities,Huma,,0,"Why was the arrest of Alwaleed and others important? ⏎ How is Alwaleed and BO tied to HUMA? ⏎ Why did Alwaleed finance BO pre-political days? ⏎ Why did Alwaleed finance BO pre-political days? ⏎ What is HUMA? Define. ⏎ What book was BO caught reading? ⏎ Why was this immediately disregarded as false? ⏎ What is ‘Post-American World by Fareed Zakaria’? ⏎ Why is this relevant?  ⏎ Why would the President of the UNITED STATES OF AMERICA be reading this book? ⏎ What church did BO attend as pre-POTUS? ⏎ Who was BO’s mentor? ⏎ How is Alwaleed and HRC connected? ⏎ Who was HRC’s mentor? ⏎ How is Alwaleed and Bush Sr./Jr. connected? ⏎ What occurred post 9-11? ⏎ What war did we enter into? ⏎ What was the purpose and disclosures given re: justification? ⏎ Who financed 9-11? ⏎ Why, recently, are classified 9-11 pages being released? ⏎ What just occurred in SA? ⏎ What FOIA docs are being publicly release"
1201,namedEntities,Trump,,0,>>1116307 ⏎ TRUMP card coming. ⏎ Q ⏎ 
1203,namedEntities,Standard Hotel,Standard Hotel | THE STANDARD HOTEL,2,Mack is naming names. ⏎ Big names in H-Wood / Gov’t (local/federal). ⏎ Proof. ⏎ The ‘Standard’ Hotel. ⏎ Helicopter crash. ⏎ All related. ⏎ Future will prove past. ⏎ AS. ⏎ Feeling ok today? ⏎ Why is the MX border / Long Beach Port so important? ⏎ Tick TOCK (LLC). ⏎ Q ⏎ 
1208,namedEntities,Hussein,,0,>>1122741 ⏎ Over the target. ⏎ Expand further. ⏎ Wendy. ⏎ HUSSEIN. ⏎ Mack. ⏎ AS. ⏎ https:// www.wehoville.com/2018/04/12/west-hollywoodss-mariah-sunshine-coogan-identified-victim-scottsdale-plane-crash/ ⏎ Open source. ⏎ Q ⏎ 
1211,namedEntities,Agnes Nixon,Agnes Nixon,1,>>1123269 ⏎ http:// newyork.cbslocal.com/2016/09/28/agnes-nixon-soap-operas/ ⏎ Q ⏎ 
1217,namedEntities,WikiLeaks,WL | WK | WikiLeaks | Wikileaks,4,https:// wikileaks.org/podesta-emails/emailid/7524 ⏎ Q ⏎ 
1217,namedEntities,Podesta,Podesta,1,https:// wikileaks.org/podesta-emails/emailid/7524 ⏎ Q ⏎ 
1220,namedEntities,WikiLeaks,WL | WK | WikiLeaks | Wikileaks,4,Example. ⏎ https:// clintonhealthaccess.org ⏎ https:// wikileaks.org/podesta-emails/emailid/24440 ⏎ HIV/AIDS. ⏎ CHAI. ⏎ Clinton Foundation conflicts of interest.  ⏎ CHAI discounted pharmaceuticals to distribute abroad. ⏎ Pharma alliance. ⏎ HRC/BC. ⏎ Protect domestic high prices. ⏎ Domestic = PAYDAY. ⏎ Q ⏎ 
1220,namedEntities,Podesta,Podesta,1,Example. ⏎ https:// clintonhealthaccess.org ⏎ https:// wikileaks.org/podesta-emails/emailid/24440 ⏎ HIV/AIDS. ⏎ CHAI. ⏎ Clinton Foundation conflicts of interest.  ⏎ CHAI discounted pharmaceuticals to distribute abroad. ⏎ Pharma alliance. ⏎ HRC/BC. ⏎ Protect domestic high prices. ⏎ Domestic = PAYDAY. ⏎ Q ⏎ 
1221,namedEntities,WikiLeaks,WL | WK | WikiLeaks | Wikileaks,4,Right on Q. ⏎ https:// twitter.com/wikileaks/status/987724899614674944 ⏎ Hello Maggie. ⏎ Trust funds (3). ⏎ Deposits routed from EU. ⏎ Why are deposits ORIG from EU being transferred into [3] TRUST funds [children]? ⏎ How do you get your talking points? ⏎ Why do many DC journalists (yourself) use & replace 'burner phones' every week? ⏎ How do you pass the new number out? ⏎ Tweets are very important. ⏎ Do you feel safe? ⏎ Q ⏎ 
1234,namedEntities,America,,0,>>1133925 ⏎ AMERICA WILL BE UNIFIED AGAIN! ⏎ 11.11.18. ⏎ Q ⏎ 
1235,namedEntities,Awan,Awan,1,http:// thehill.com/blogs/pundits-blog/presidential-campaign/292310-huma-abedins-ties-to-the-muslim-brotherhood ⏎ Good article. ⏎ Don’t forget about Huma. ⏎ AWAN. ⏎ VJ. ⏎ ……… ⏎ FBI. ⏎ America for sale. ⏎ Betrayal. ⏎ Treason. ⏎ No name. ⏎ Inside out destruction. ⏎ SA. ⏎ SA. ⏎ SA. ⏎ HUMA & Hussein. ⏎ http:// harvardmuslimalumni.org/about ⏎ Who paid? ⏎ SA [vital]. ⏎ Q ⏎ 
1235,namedEntities,NO NAME,,0,http:// thehill.com/blogs/pundits-blog/presidential-campaign/292310-huma-abedins-ties-to-the-muslim-brotherhood ⏎ Good article. ⏎ Don’t forget about Huma. ⏎ AWAN. ⏎ VJ. ⏎ ……… ⏎ FBI. ⏎ America for sale. ⏎ Betrayal. ⏎ Treason. ⏎ No name. ⏎ Inside out destruction. ⏎ SA. ⏎ SA. ⏎ SA. ⏎ HUMA & Hussein. ⏎ http:// harvardmuslimalumni.org/about ⏎ Who paid? ⏎ SA [vital]. ⏎ Q ⏎ 
1253,namedEntities,Grassley,Grassley,1,https:// www.grassley.senate.gov/news/news-releases/grassley-refers-planned-parenthood-fetal-tissue-procurement-organizations-fbi ⏎ http:// www.foxnews.com/politics/2017/12/07/planned-parenthood-under-investigation-by-justice-department-over-sale-fetal-tissue.html ⏎ Coming soon. ⏎ Q ⏎ 
128,namedEntities,Snow White,,0,"Trip added. ⏎ [C]oordinated effort to misdirect. ⏎ Guide to reading the crumbs necessary to cont[I]nue. ⏎ Attached gr[A]phic is correct. ⏎ Linked graphics are incorrect and false. ⏎ Graphic is necessary and vital.  ⏎ Time stamp(s) and order [is] critical.  ⏎ Re-review graphic (in full) each day post news release. ⏎ Learn to distinguish between relevant/non-relevant news. ⏎ Disinformation is real. ⏎ Disinformation is necessary.  ⏎ Ex: US ML NG (1) False SA True ⏎ Why was this necessary? ⏎ What questions were asked re: SA prior to SA events?  ⏎ Why is this relevant?  ⏎ Think mirror. ⏎ Look there, or [here], or there, truth is behind you. ⏎ What is a map? ⏎ Why is a map useful? ⏎ What is a legend? ⏎ Why is a legend useful?  ⏎ What is a sequence? ⏎ Why is this relevant?  ⏎ When does a map become a guide?  ⏎ What is a keystone?  ⏎ Everything stated is relevant.  ⏎ Everything. ⏎ Future provide"
1286,namedEntities,5 Eyes,,0,Reconcile. ⏎ Reporting incorrect? ⏎ Per WH? ⏎ The day before. ⏎ Enemy? ⏎ Slave? ⏎ Mueller & U1? ⏎ Mueller &  ⏎ https://www.politico.com/story/2017/08/08/robert-mueller-counsel-financial-records-241414 ⏎ Comey to POTUS - not being investigated. ⏎ RR to POTUS - not being investigated. ⏎ Mueller to POTUS - not a criminal target. ⏎ http://www.foxnews.com/politics/2018/04/19/rosenstein-tells-trump-is-not-target-cohen-investigation.html ⏎ http://www.foxnews.com/politics/2018/04/03/mueller-claims-trump-is-not-criminal-target-in-his-investigation-report-says.html ⏎ http://thehill.com/homenews/administration/336802-rnc-comey-testimony-proves-trump-not-under-investigation ⏎ Baiting POTUS? ⏎ Why no contact w/ WL / JA?  ⏎ What is being investigated? ⏎ Why is Mueller’s team stacked w/ ex Clinton / D sr level authorities? ⏎ Why are POTUS supporters screaming for END? ⏎ POTUS WITCH HUNT END ⏎ ADD RUDY 
1286,namedEntities,Rudy,Rudy,1,Reconcile. ⏎ Reporting incorrect? ⏎ Per WH? ⏎ The day before. ⏎ Enemy? ⏎ Slave? ⏎ Mueller & U1? ⏎ Mueller &  ⏎ https://www.politico.com/story/2017/08/08/robert-mueller-counsel-financial-records-241414 ⏎ Comey to POTUS - not being investigated. ⏎ RR to POTUS - not being investigated. ⏎ Mueller to POTUS - not a criminal target. ⏎ http://www.foxnews.com/politics/2018/04/19/rosenstein-tells-trump-is-not-target-cohen-investigation.html ⏎ http://www.foxnews.com/politics/2018/04/03/mueller-claims-trump-is-not-criminal-target-in-his-investigation-report-says.html ⏎ http://thehill.com/homenews/administration/336802-rnc-comey-testimony-proves-trump-not-under-investigation ⏎ Baiting POTUS? ⏎ Why no contact w/ WL / JA?  ⏎ What is being investigated? ⏎ Why is Mueller’s team stacked w/ ex Clinton / D sr level authorities? ⏎ Why are POTUS supporters screaming for END? ⏎ POTUS WITCH HUNT END ⏎ ADD RUDY 
1305,namedEntities,NO NAME,,0,No name out. ⏎ Now. ⏎ https://mobile.twitter.com/LindseyGrahamSC/status/990953165267681281 ⏎ We love good singers. ⏎ Q ⏎ 
1318,namedEntities,Huber,,0,Think LOGICALLY. ⏎ Mass exodus in DC? ⏎ Mass exodus - corporate CEOs? ⏎ Why? ⏎ Who has the POWER? ⏎ Who has the CONTROL? ⏎ If POTUS was NOT IN CONTROL would they be retreating?  ⏎ Who is the AG?  ⏎ Who MUST approve the firing/dismissal of DOJ officials? ⏎ Re_read DOJ org change (open source - more in pipe) ⏎ Who is the FBI director?  ⏎ Who MUST approve the firing/dismissal of FBI agents?  ⏎ Re_read FBI org change (open source - more in pipe) ⏎ If SESSIONS & WRAY are DC SWAMP/DEEP STATE why are they cleaning their respective houses?  ⏎ Use LOGIC. ⏎ Why are they slow walking unredacted data?  ⏎ Why are they slow walking doc disclosures?  ⏎ Why is the WH backing up DOJ? ⏎ What if the same data is being used by other investigators?  ⏎ What does it mean if a grand jury is impanelled?  ⏎ Why are confusing questions asked as to outcome re: Mueller?  ⏎ What would be the purpose of creating confu
1318,namedEntities,Huber,,0,Think LOGICALLY. ⏎ Mass exodus in DC? ⏎ Mass exodus - corporate CEOs? ⏎ Why? ⏎ Who has the POWER? ⏎ Who has the CONTROL? ⏎ If POTUS was NOT IN CONTROL would they be retreating?  ⏎ Who is the AG?  ⏎ Who MUST approve the firing/dismissal of DOJ officials? ⏎ Re_read DOJ org change (open source - more in pipe) ⏎ Who is the FBI director?  ⏎ Who MUST approve the firing/dismissal of FBI agents?  ⏎ Re_read FBI org change (open source - more in pipe) ⏎ If SESSIONS & WRAY are DC SWAMP/DEEP STATE why are they cleaning their respective houses?  ⏎ Use LOGIC. ⏎ Why are they slow walking unredacted data?  ⏎ Why are they slow walking doc disclosures?  ⏎ Why is the WH backing up DOJ? ⏎ What if the same data is being used by other investigators?  ⏎ What does it mean if a grand jury is impanelled?  ⏎ Why are confusing questions asked as to outcome re: Mueller?  ⏎ What would be the purpose of creating confu
1318,namedEntities,Huber,,0,Think LOGICALLY. ⏎ Mass exodus in DC? ⏎ Mass exodus - corporate CEOs? ⏎ Why? ⏎ Who has the POWER? ⏎ Who has the CONTROL? ⏎ If POTUS was NOT IN CONTROL would they be retreating?  ⏎ Who is the AG?  ⏎ Who MUST approve the firing/dismissal of DOJ officials? ⏎ Re_read DOJ org change (open source - more in pipe) ⏎ Who is the FBI director?  ⏎ Who MUST approve the firing/dismissal of FBI agents?  ⏎ Re_read FBI org change (open source - more in pipe) ⏎ If SESSIONS & WRAY are DC SWAMP/DEEP STATE why are they cleaning their respective houses?  ⏎ Use LOGIC. ⏎ Why are they slow walking unredacted data?  ⏎ Why are they slow walking doc disclosures?  ⏎ Why is the WH backing up DOJ? ⏎ What if the same data is being used by other investigators?  ⏎ What does it mean if a grand jury is impanelled?  ⏎ Why are confusing questions asked as to outcome re: Mueller?  ⏎ What would be the purpose of creating confu
1326,namedEntities,NO NAME,,0,https://mobile.twitter.com/realDonaldTrump/status/994586105822564353 ⏎ Names? ⏎ No Name prev meeting(s)? ⏎ Panic? ⏎ Discussions of death/funeral? ⏎ Medical or escape? ⏎ Now comes the pain. ⏎ Q ⏎ 
134,namedEntities,Huma,,0,"Why were the events in SA extraordinary?  ⏎ Who was arrested? ⏎ What will bank records provide?  ⏎ List names, family history, investment/ownership stakes, and point-to-point contacts. ⏎ EX: Alwaleed HUMA BO Citigroup US Control  ⏎ Why is this relevant?  ⏎ House of Saud. ⏎ House of Saud US Control ⏎ Follow the money. ⏎ What power shift recently occurred?  ⏎ Was a new King appointed?  ⏎ Coincidence? ⏎ Dark to LIGHT. ⏎ Why is this relevant? ⏎ One side of the triangle removed (1st time in history). ⏎ Other sides falling. ⏎ +++ ⏎ ++ ⏎ + ⏎ Q"
1341,namedEntities,Alex Jones,Alex Jones | AJ,2,>>1383888 ⏎ Time to move on. ⏎ Big week ahead! ⏎ http://insider.foxnews.com/2017/04/17/alex-jones-performance-artist-attorney-says-texas-child-custody-case ⏎ Q ⏎ 
135,namedEntities,Rothschild,,0,ROTHSCHILD OWNED & CONTROLLED BANKS: ⏎ Afghanistan: Bank of Afghanistan ⏎ Albania: Bank of Albania ⏎ Algeria: Bank of Algeria ⏎ Argentina: Central Bank of Argentina ⏎ Armenia: Central Bank of Armenia ⏎ Aruba: Central Bank of Aruba ⏎ Australia: Reserve Bank of Australia ⏎ Austria: Austrian National Bank ⏎ Azerbaijan: Central Bank of Azerbaijan Republic ⏎ Bahamas: Central Bank of The Bahamas ⏎ Bahrain: Central Bank of Bahrain ⏎ Bangladesh: Bangladesh Bank ⏎ Barbados: Central Bank of Barbados ⏎ Belarus: National Bank of the Republic of Belarus ⏎ Belgium: National Bank of Belgium ⏎ Belize: Central Bank of Belize ⏎ Benin: Central Bank of West African States (BCEAO) ⏎ Bermuda: Bermuda Monetary Authority ⏎ Bhutan: Royal Monetary Authority of Bhutan ⏎ Bolivia: Central Bank of Bolivia ⏎ Bosnia: Central Bank of Bosnia and Herzegovina ⏎ Botswana: Bank of Botswana ⏎ Brazil: Central Bank of Brazil ⏎ 
1351,namedEntities,Sessions,,0,"Sealed indictments. ⏎ Define indictment. ⏎ “An indictment is a formal accusation against one or more defendants, charging them with one or more crimes. In the federal criminal system, the indictment is the principal method by which a prosecutor initiates criminal proceedings.” ⏎ How are they sealed? ⏎ How are they secured? ⏎ How are they safeguarded? ⏎ No leaks [unusual?] ⏎ Federal vs …. ⏎ Why are accusations sealed? ⏎ Grand jury involved? ⏎ Re_read crumbs re: DOJ / FBI re: IG / Huber  ⏎ Who appointed Huber? ⏎ SESSIONS. ⏎ WHAT DEPTS MUST BE CLEANED PRIOR TO REC FAIR AND EQUAL [JUSTICE] UNDER THE LAW? ⏎ What happens if FED [criminal] indictments are brought forth to a corrupt FBI / DOJ / FED Judge? ⏎ FBI / DOJ - 1st. ⏎ C_A / State - next? ⏎ Now comes the pain. ⏎ Q ⏎ "
1359,namedEntities,France,France | FR,2,"“A group representing German trade interests said the US decision to withdraw from the deal will hit German companies and urged the EU to protect their interests. Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.” ⏎ What about Total S.A.? ⏎ Total S.A. is a French multinational integrated oil and gas company and one of the seven ""Supermajor"" oil companies in the world.  ⏎ http://www.iran-daily.com/News/214793.html ⏎ Who recently visited the WH? ⏎ What was their purpose? ⏎ Coincidence? ⏎ What about the safety & security of the world? ⏎ What about preventing Iran Nuclear capabilities? ⏎ Fake News. ⏎ Will the EU resort to protecting the deal so the money flow remains in place? ⏎ Why is Kerry in the EU? ⏎ Will the US be forced to ban and declare certain EU countries off limits? ⏎ Who controls elected leaders? "
1370,namedEntities,Flynn,,0,Why was Preet Bharara fired? ⏎ Why was the NY AG just removed? ⏎ Why did Rudy recently join POTUS’ legal team after being ‘quiet’ for so long? ⏎ What must be cleaned first? ⏎ Who investigates? ⏎ Who prosecutes? ⏎ WHAT CAN FINALLY BE DONE? ⏎ WHO HAS THE ULTIMATE AUTHORITY? ⏎ DOES IT FALL UNDER THE RUSSIA RECUSAL? ⏎ DOES FLYNN KNOW? ⏎ Define “On the Record.” ⏎ You have more than you know. ⏎ ENJOY THE SHOW. ⏎ Q ⏎ 
