sentenceId,postNum,categories,classification,eligible,reasons,sentenceText,spans
p2211-s011,2211,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,Federal prosecutor in N. District of NY [background] important?,claims[EXACT] 651..714 -> p2211-s011 | questions[PARTIAL] 676..714 -> p2211-s011
p2369-s003,2369,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,DECLAS would [PROVE] evidence v. POTUS to obtain FISA WARRANT - why the block?,claims[PARTIAL] 255..316 -> p2369-s003 | questions[PARTIAL] 288..333 -> p2369-s003
p2378-s001,2378,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,No. 297 - where was this picture taken?,claims[PARTIAL] 6..9 -> p2378-s001 | questions[PARTIAL] 10..45 -> p2378-s001
p2462-s032,2462,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,>Who briefed NUNES on classified intel re: HUSSEIN spy campaign v. POTUS?,claims[PARTIAL] 1544..1616 -> p2462-s032 (greentext excerpt) | questions[EXACT] 1543..1616 -> p2462-s032 (greentext excerpt)
p2689-s030,2689,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"If the SC ruled in 2008 that VOTER ID laws do not impact/harm or prevent 'minorities' from voting, how could the U.S. 4th Circuit Court rule opposite?",claims[EXACT] 1890..1980 -> p2689-s030 | questions[PARTIAL] 2008..2040 -> p2689-s030
p2904-s003,2904,claims + directives,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",claims[PARTIAL] 168..258 -> p2904-s003 | directives[EXACT] 164..254 -> p2904-s003
p2937-s013,2937,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,What vested powers does POTUS have re: MIL INTEL vs. ABC agencies re: matters of NAT SEC (HOMELAND)?,claims[EXACT] 556..646 -> p2937-s013 | questions[PARTIAL] 609..656 -> p2937-s013
p3049-s001,3049,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"If [D's] FIGHT to protect, safeguard, and promote all illegal immigrants as 'rightful' U.S. citizens who should be afforded all benefits and rights accordingly, WHY THEN WOULD THEY FIGHT TO BLOCK THEM FROM BEING 'COUNTED' AS PART OF THE U.S. CENSUS?",claims[EXACT] 110..200 -> p3049-s001 | questions[PARTIAL] 352..359 -> p3049-s001
p0034-s002,34,claims + predictions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"On POTUS’ order, we have initiated certain fail-safes that shall safeguard the public from the primary fallout which is slated to occur 11.3 upon the arrest announcement of Mr. Podesta (actionable 11.4).",claims[PARTIAL] 457..483 -> p0034-s002 | predictions[PARTIAL] 280..370 -> p0034-s002
p3593-s003,3593,claims + directives,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",claims[PARTIAL] 208..298 -> p3593-s003 | directives[EXACT] 204..294 -> p3593-s003
p3594-s003,3594,claims + directives,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",claims[PARTIAL] 195..285 -> p3594-s003 | directives[EXACT] 191..281 -> p3594-s003
p4127-s002,4127,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,[note: they all read from a teleprompter - who controls the message?],claims[PARTIAL] 85..118 -> p4127-s002 | questions[EXACT] 78..147 -> p4127-s002
p0043-s003,43,claims + directives,CONTAINED_PARTIAL_SAME_SENTENCE,true,,Simply be diligent - phone numbers will be provided if you witness an uprising or other domestic violence (in addition to 911).,claims[PARTIAL] 247..337 -> p0043-s003 | directives[EXACT] 226..316 -> p0043-s003
p4782-s015,4782,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,FUNDS: EXPENSES V. PAYOUTS [for 'causes'] _analyze % [how much of the actual donated money actually goes to help select 'causes']?,claims[EXACT] 557..647 -> p4782-s015 | questions[PARTIAL] 576..666 -> p4782-s015
p4871-s000,4871,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"NAT SEC concerns re: blackmail [gain control] of J. Biden by Russia, China and/or other foreign [or domestic] entities?",claims[EXACT] 0..90 -> p4871-s000 | questions[PARTIAL] 52..119 -> p4871-s000
p4888-s001,4888,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,Subpoena of all H. Biden's financial records?,claims[EXACT] 92..137 -> p4888-s001 | questions[PARTIAL] 111..137 -> p4888-s001
p4891-s010,4891,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,Why wouldn't H. Biden want to reclaim *knowing* the contents on the drive could bury *Pops* & family.,claims[PARTIAL] 497..582 -> p4891-s010 | questions[EXACT] 481..571 -> p4891-s010
p4891-s001,4891,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,Why would H. Biden have such material on his laptop?,claims[PARTIAL] 80..121 -> p4891-s001 | questions[EXACT] 70..122 -> p4891-s001
