sentenceId,postNum,kind,nested,spanA,spanB,sentenceText,context
p2094-s004,2094,claims,true,Criminal Law.,Military Law v. Criminal Law.,Military Law v. Criminal Law.,    Interesting line of questions? ⏎     Normal? ⏎ >>> Military Law v. Criminal Law. ⏎     Think EO. ⏎     Think HRC panic.
p2211-s013,2211,claims,true,"“Prior to joining NSA, Mr. Storch served in several positions at the D","Prior to joining NSA, Mr. Storch served in several positions at the De","“Prior to joining NSA, Mr. Storch served in several positions at the Department of Justice's OIG, including as Senior Counsel to the IG and Acting Deputy IG prior to his 2015 appointment as Deputy IG.","    Federal prosecutor in N. District of NY [background] important? ⏎     CHAIRMAN OF THE COUNCIL OF THE INSPECTOR GENERALS ON INTEGRITY AND EFFICIENCY [BACKGROUND] IMPORTANT? ⏎ >>> “Prior to joining NSA, Mr. Storch served in several positions at the Department of Justice's OIG, including as Senior Counsel to the IG and Acting Deputy IG prior to his 2015 appointment as Deputy IG. He also served as chairman of the Council of the Inspectors General on Integrity and Efficiency (CIGIE) Whistleblower Ombudsman Working Group. The Whistleblower Ombudsperson program he helped establish is widely seen as a leader in the field.” ⏎     “Earlier in his career, Mr. Storch also worked as a federal prosecutor in the Northern District of New York, most recently serving as the Deputy Criminal Chief and Counsel to the U.S. Attorney. He was also posted overseas for two years as a Department of Justice Resident Legal Advisor in Ukraine.” ⏎     VEHICLE FOR CROSS-SHARING OF DEPT-TO-DEPT INFO RE: INSPECTOR GENERALS?"
p2211-s016,2211,claims,true,"“Earlier in his career, Mr. Storch also worked as a federal prosecutor",Storch also worked as a federal prosecutor in the Northern District of,"“Earlier in his career, Mr. Storch also worked as a federal prosecutor in the Northern District of New York, most recently serving as the Deputy Criminal Chief and Counsel to the U.S. Attorney.","    CHAIRMAN OF THE COUNCIL OF THE INSPECTOR GENERALS ON INTEGRITY AND EFFICIENCY [BACKGROUND] IMPORTANT? ⏎     “Prior to joining NSA, Mr. Storch served in several positions at the Department of Justice's OIG, including as Senior Counsel to the IG and Acting Deputy IG prior to his 2015 appointment as Deputy IG. He also served as chairman of the Council of the Inspectors General on Integrity and Efficiency (CIGIE) Whistleblower Ombudsman Working Group. The Whistleblower Ombudsperson program he helped establish is widely seen as a leader in the field.” ⏎ >>> “Earlier in his career, Mr. Storch also worked as a federal prosecutor in the Northern District of New York, most recently serving as the Deputy Criminal Chief and Counsel to the U.S. Attorney. He was also posted overseas for two years as a Department of Justice Resident Legal Advisor in Ukraine.” ⏎     VEHICLE FOR CROSS-SHARING OF DEPT-TO-DEPT INFO RE: INSPECTOR GENERALS? ⏎     COUNCIL OF INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY?"
p2211-s042,2211,questions,true,HUBER start?,Coincidence vs. HUBER start?,Coincidence vs. HUBER start?,"    But… POTUS is attacking SESSIONS via TWITTER so therefore he is not working on behalf of the people’s interest (or POTUS’) [D’s/LEFT LOVE/TRUST SESSIONS!] ⏎     But… interestingly, if nothing is being done behind the scenes, why are so many FBI & DOJ senior officials being FIRED and/or REMOVED from their respective positions of power? Who is AG? Who must sign off on each removal? DOJ in charge of FBI? ⏎ >>> But… interestingly, if nothing is being done behind the scenes, why are there 50,000+ sealed indictments across the US [what % = USA v. X?]? Coincidence vs. HUBER start? ⏎     But… interestingly, if nothing is being done behind the scenes, why are many ‘powerful’ CEOs, members of Congress/ Senate, resigning? Coincidence? Example: Pre_POTUS did the SPEAKER OF THE HOUSE indicate wanting to leave politics? ⏎     But… interestingly, if nothing is being done behind the scenes, why are human trafficking arrests SURGING?"
p2305-s005,2305,questions,true,Graham activated?,Coincidence Sen. Graham activated?,Coincidence Sen. Graham activated?,"    Coincidence post drop? ⏎     Coincidence No Name [exact 30]? ⏎ >>> Coincidence Sen. Graham activated? ⏎     In the end, you will be 'shocked' to learn what you've 'essentially' witnessed. ⏎     Think NYC bomber 'fireworks' hours prior."
p2306-s008,2306,claims,false,Ford's family has strong ties to SWAMP.,Dr. Ford's family has strong ties to SWAMP,Dr. Ford's family has strong ties to SWAMP.,    Something did happen to Dr. Ford in her past. ⏎     Use of that 'something' to 'frame' Justice K. ⏎ >>> Dr. Ford's family has strong ties to SWAMP. ⏎     FBI has expanded investigation into other suspicious acts w/ support of ABC agency as AUTH BY POTUS. ⏎     [RR] involved?
p2306-s006,2306,claims,false,Something did happen to Dr. Ford in her past,Ford in her past.,Something did happen to Dr. Ford in her past.,    FBI no subpoena power [no GJ] to demand. ⏎     Justice K NEVER named / asked during Polygraph. ⏎ >>> Something did happen to Dr. Ford in her past. ⏎     Use of that 'something' to 'frame' Justice K. ⏎     Dr. Ford's family has strong ties to SWAMP.
p2359-s001,2359,questions,true,Justice K?,"""Wrap-Up Smear"" deployed v. Justice K?","""Wrap-Up Smear"" deployed v. Justice K?","    https://www.c-span.org/video/?c4674689/wrap-smear ⏎ >>> ""Wrap-Up Smear"" deployed v. Justice K? ⏎     The More You Know… ⏎     [Archive]"
p2360-s002,2360,questions,true,Justice K?,"""Wrap-Up Smear"" deployed v. Justice K?","""Wrap-Up Smear"" deployed v. Justice K?","    [Repost][Search & Destroy] ⏎     https://www.c-span.org/video/?c4674689/wrap-smear ⏎ >>> ""Wrap-Up Smear"" deployed v. Justice K? ⏎     ""Wrap-Up Smear"" deployed v. POTUS? ⏎     These people are SICK!"
p2360-s003,2360,questions,true,POTUS?,"""Wrap-Up Smear"" deployed v. POTUS?","""Wrap-Up Smear"" deployed v. POTUS?","    https://www.c-span.org/video/?c4674689/wrap-smear ⏎     ""Wrap-Up Smear"" deployed v. Justice K? ⏎ >>> ""Wrap-Up Smear"" deployed v. POTUS? ⏎     These people are SICK! ⏎     #WALKAWAY"
p2381-s021,2381,claims,true,3 official behind Deputy AG Rosenstein - FIRED/FORCED,"Rachel Brand, Associate Attorney General – No. 3 official behind Deput","Rachel Brand, Associate Attorney General – No. 3 official behind Deputy AG Rosenstein - FIRED/FORCED","    Mary McCord, Acting Assistant Attorney General – Acting Head of DOJ’s National Security Division - FIRED/FORCED ⏎     Bruce Ohr, Associate Deputy Attorney General – Demoted 2x - cooperating witness [power removed] - TERMINATION IMMINENT ⏎ >>> Rachel Brand, Associate Attorney General – No. 3 official behind Deputy AG Rosenstein - FIRED/FORCED ⏎     [Batter’s Box] ⏎     Michael Steinbach"
p2381-s021,2381,claims,true,"Rachel Brand, Associate Attorney General – No. 3 official behind Deput",No.,"Rachel Brand, Associate Attorney General – No. 3 official behind Deputy AG Rosenstein - FIRED/FORCED","    Mary McCord, Acting Assistant Attorney General – Acting Head of DOJ’s National Security Division - FIRED/FORCED ⏎     Bruce Ohr, Associate Deputy Attorney General – Demoted 2x - cooperating witness [power removed] - TERMINATION IMMINENT ⏎ >>> Rachel Brand, Associate Attorney General – No. 3 official behind Deputy AG Rosenstein - FIRED/FORCED ⏎     [Batter’s Box] ⏎     Michael Steinbach"
p2552-s001,2552,claims,true,"""After Mr. Priestap’s departure, none of the high-ranking bureau offic","Priestap’s departure, none of the high-ranking bureau officials involv","""After Mr. Priestap’s departure, none of the high-ranking bureau officials involved in the two investigations will remain with the bureau.""","    https://www.wsj.com/articles/another-high-ranking-fbi-official-to-depart-1543964483 ⏎ >>> ""After Mr. Priestap’s departure, none of the high-ranking bureau officials involved in the two investigations will remain with the bureau."" ⏎     Follow the names on the list provided [update]. ⏎     PANIC IN DC."
p2653-s004,2653,claims,true,"Code, published in 1977 by the U.S.","Ref: 230-page book called Sex Bias in the U.S. Code, published in 1977","Ref: 230-page book called Sex Bias in the U.S. Code, published in 1977 by the U.S. Commission on Civil Rights.","    Who appointed her? ⏎     Remember [her] history. ⏎ >>> Ref: 230-page book called Sex Bias in the U.S. Code, published in 1977 by the U.S. Commission on Civil Rights. ⏎     Highlights: ⏎     >Called for the sex-integration of prisons and reformatories so that conditions of imprisonment, security and housing could be equal. She explained, “If the grand design of such institutions is to prepare inmates for return to the community as persons equipped to benefit from and contribute to civil society, then perpetuation of single-sex institutions should be rejected.” (Page 101)"
p2662-s002,2662,claims,false,That can only happen through a federal grand jury investigation headed,Attorney in Utah who has been appointed to investigate the FISA crimin,"That can only happen through a federal grand jury investigation headed by John W. Huber, the U.S. Attorney in Utah who has been appointed to investigate the FISA criminality by the Obama FBI and DOJ.""","    https://www.foxnews.com/opinion/joe-digenova-cardinal-james-comey-the-man-who-destroyed-the-fbi ⏎ >>> ""The treachery revealed by Comey, Clapper, and Brennan requires accountability. That can only happen through a federal grand jury investigation headed by John W. Huber, the U.S. Attorney in Utah who has been appointed to investigate the FISA criminality by the Obama FBI and DOJ."" ⏎     Q ⏎     "
p3130-s001,3130,claims,true,"""It is with tremendous sadness we share that Professor Alan B. Krueger","Krueger, beloved husband, father, son, brother, and Princeton professo","""It is with tremendous sadness we share that Professor Alan B. Krueger, beloved husband, father, son, brother, and Princeton professor of economics took his own life over the weekend,' a statement from his family reads.""","    https://www.dailymail.co.uk/news/article-6823155/Alan-Krueger-noted-economist-served-Obama-died.html ⏎ >>> ""It is with tremendous sadness we share that Professor Alan B. Krueger, beloved husband, father, son, brother, and Princeton professor of economics took his own life over the weekend,' a statement from his family reads."" ⏎     Start a list. ⏎     Q"
p3256-s001,3256,questions,true,LifeLog?,USA v. LifeLog?,USA v. LifeLog?,    https://twitter.com/SecretaryCarson/status/1111218929337290753 ⏎ >>> USA v. LifeLog? ⏎     1st of many? ⏎     Q
p3396-s001,3396,questions,true,Did the FBI/DOJ interview RC?,RC?,Did the FBI/DOJ interview RC?,    Re: BC/RC Epstein Plane Pic ⏎ >>> Did the FBI/DOJ interview RC? ⏎     When did 'public awareness' grow across social media? ⏎     [CLAS 1-99]
p3586-s010,3586,questions,true,POTUS?,Whistleblower(s) vs. POTUS?,Whistleblower(s) vs. POTUS?,    @Snowden pre_NSA? ⏎     @Snowden base of ops [geo location]? ⏎ >>> Whistleblower(s) vs. POTUS? ⏎     Former C_A? ⏎     Define ‘black op’ [clandestine]
p3785-s000,3785,questions,true,"""What storm, Mr. President?""","President?""","""What storm, Mr. President?""","    >>7884113 ⏎ >>> ""What storm, Mr. President?"" ⏎     ""You'll see!"" - POTUS ⏎     Q"
p4310-s015,4310,claims,false,"The recommendation, delivered to the White House last month, was made ","Clapper Jr., according to several U.S. officials familiar with the mat","“The heads of the Pentagon and the nation’s intelligence community have recommended to President Obama that the director of the National Security Agency, Adm. Michael S. Rogers, be removed.The recommendation, delivered to the White House last month, was made by Defense Secretary Ashton B. Carter and Director of National Intelligence James R. Clapper Jr., according to several U.S. officials familiar with the matter.”","    [Brennan][Clapper][Carter] push to TERM _NSA Mike Rogers [date]? ⏎     WASH POST: ⏎ >>> “The heads of the Pentagon and the nation’s intelligence community have recommended to President Obama that the director of the National Security Agency, Adm. Michael S. Rogers, be removed.The recommendation, delivered to the White House last month, was made by Defense Secretary Ashton B. Carter and Director of National Intelligence James R. Clapper Jr., according to several U.S. officials familiar with the matter.” ⏎     HOW DO YOU CIRCUMVENT THE SHADOW INTEL COMM? ⏎     https://theintercept.com/2017/12/04/trump-white-house-weighing-plans-for-private-spies-to-counter-deep-state-enemies/"
p4310-s015,4310,claims,false,"The recommendation, delivered to the White House last month, was made ","Rogers, be removed.The recommendation, delivered to the White House la","“The heads of the Pentagon and the nation’s intelligence community have recommended to President Obama that the director of the National Security Agency, Adm. Michael S. Rogers, be removed.The recommendation, delivered to the White House last month, was made by Defense Secretary Ashton B. Carter and Director of National Intelligence James R. Clapper Jr., according to several U.S. officials familiar with the matter.”","    [Brennan][Clapper][Carter] push to TERM _NSA Mike Rogers [date]? ⏎     WASH POST: ⏎ >>> “The heads of the Pentagon and the nation’s intelligence community have recommended to President Obama that the director of the National Security Agency, Adm. Michael S. Rogers, be removed.The recommendation, delivered to the White House last month, was made by Defense Secretary Ashton B. Carter and Director of National Intelligence James R. Clapper Jr., according to several U.S. officials familiar with the matter.” ⏎     HOW DO YOU CIRCUMVENT THE SHADOW INTEL COMM? ⏎     https://theintercept.com/2017/12/04/trump-white-house-weighing-plans-for-private-spies-to-counter-deep-state-enemies/"
p4398-s002,4398,claims,true,"POTUS cleared peaceful protestors using tear gas, rubber bullets","MSDNC: POTUS cleared peaceful protestors using tear gas, rubber bullet","MSDNC: POTUS cleared peaceful protestors using tear gas, rubber bullets [attack on humanity _racist] etc.","    https://twitter.com/charliekirk11/status/1268268026131935232 ⏎     POTUS walk to Church. ⏎ >>> MSDNC: POTUS cleared peaceful protestors using tear gas, rubber bullets [attack on humanity _racist] etc. ⏎     PELOSI walk. ⏎     MSDNC: PELOSI [D]s are one with the people and the black community [""protestors"" reaching out for her hand _peaceful]"
p4477-s002,4477,questions,true,can we prove it?,Q: can we prove it?,Q: can we prove it?,"    https://twitter.com/SteveScalise/status/1272661471382700032 ⏎     It's not what you know but what you can prove. ⏎ >>> Q: can we prove it? ⏎     Q: can we prove coordination? ⏎     Q: can we prove deliberate action to inc death count to justify vote-by-mail, stay-at-home, bail-out-state, kill-economy, kill-P-rallies, inc unemployment, etc?"
p4477-s003,4477,questions,true,can we prove coordination?,Q: can we prove coordination?,Q: can we prove coordination?,"    It's not what you know but what you can prove. ⏎     Q: can we prove it? ⏎ >>> Q: can we prove coordination? ⏎     Q: can we prove deliberate action to inc death count to justify vote-by-mail, stay-at-home, bail-out-state, kill-economy, kill-P-rallies, inc unemployment, etc? ⏎     Q"
p4477-s004,4477,questions,true,can we prove deliberate action to inc death count to justify vote-by-m,Q: can we prove deliberate action to inc death count to justify vote-b,"Q: can we prove deliberate action to inc death count to justify vote-by-mail, stay-at-home, bail-out-state, kill-economy, kill-P-rallies, inc unemployment, etc?","    Q: can we prove it? ⏎     Q: can we prove coordination? ⏎ >>> Q: can we prove deliberate action to inc death count to justify vote-by-mail, stay-at-home, bail-out-state, kill-economy, kill-P-rallies, inc unemployment, etc? ⏎     Q ⏎     "
p4521-s003,4521,claims,true,"The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original inten","""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original inte","""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original intent of which was to end the use of federal troops [TO POLICE STATE ELECTIONS] in former Confederate states, proscribes the role of the Army and Air Force in executing civil laws and states.""","    Worth tracking. ⏎     https://www.rand.org/content/dam/rand/pubs/monograph_reports/MR1251/MR1251.AppD.pdf ⏎ >>> ""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original intent of which was to end the use of federal troops [TO POLICE STATE ELECTIONS] in former Confederate states, proscribes the role of the Army and Air Force in executing civil laws and states."" ⏎     KEY EXCEPTIONS TO THE POSSE COMITATUS ACT ⏎     ""Pursuant to the presidential power to quell domestic violence, federal troops are expressly exempt from the prohibitions of Posse Comitatus Act, and this exemption applies equally to active-duty military and federalized National Guard troops."""
p4521-s003,4521,claims,false,"The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original inten","Code, Section 1385, an original intent of which was to end the use of ","""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original intent of which was to end the use of federal troops [TO POLICE STATE ELECTIONS] in former Confederate states, proscribes the role of the Army and Air Force in executing civil laws and states.""","    Worth tracking. ⏎     https://www.rand.org/content/dam/rand/pubs/monograph_reports/MR1251/MR1251.AppD.pdf ⏎ >>> ""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original intent of which was to end the use of federal troops [TO POLICE STATE ELECTIONS] in former Confederate states, proscribes the role of the Army and Air Force in executing civil laws and states."" ⏎     KEY EXCEPTIONS TO THE POSSE COMITATUS ACT ⏎     ""Pursuant to the presidential power to quell domestic violence, federal troops are expressly exempt from the prohibitions of Posse Comitatus Act, and this exemption applies equally to active-duty military and federalized National Guard troops."""
p4521-s003,4521,claims,false,"""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original inte","Code, Section 1385, an original intent of which was to end the use of ","""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original intent of which was to end the use of federal troops [TO POLICE STATE ELECTIONS] in former Confederate states, proscribes the role of the Army and Air Force in executing civil laws and states.""","    Worth tracking. ⏎     https://www.rand.org/content/dam/rand/pubs/monograph_reports/MR1251/MR1251.AppD.pdf ⏎ >>> ""The Posse Comitatus Act, 18 U.S. Code, Section 1385, an original intent of which was to end the use of federal troops [TO POLICE STATE ELECTIONS] in former Confederate states, proscribes the role of the Army and Air Force in executing civil laws and states."" ⏎     KEY EXCEPTIONS TO THE POSSE COMITATUS ACT ⏎     ""Pursuant to the presidential power to quell domestic violence, federal troops are expressly exempt from the prohibitions of Posse Comitatus Act, and this exemption applies equally to active-duty military and federalized National Guard troops."""
p4630-s013,4630,claims,true,"Dwayne L. Schutt, was arrested and charged with four counts of felony ","Democratic Former Mayor of Randolph, Nebraska, Dwayne L. Schutt, was a","Democratic Former Mayor of Randolph, Nebraska, Dwayne L. Schutt, was arrested and charged with four counts of felony third-degree sexual assault of a child and one count of intentional child abuse.","    Democratic Former Mayor of Hubbard, Ohio, Richard Keenan, was given a life sentence in jail for raping a 4-year-old girl. ⏎     Democratic Former Mayor of Winston, Oregeon, Kenneth Barrett, was arrested for setting up a meeting to have sex with a 14-year-old girl who turned out to be a police officer. ⏎ >>> Democratic Former Mayor of Randolph, Nebraska, Dwayne L. Schutt, was arrested and charged with four counts of felony third-degree sexual assault of a child and one count of intentional child abuse. ⏎     Democratic Former Mayor of Dawson, Georgia, Christopher Wright, was indicted on the charges of aggravated child molestation, aggravated sodomy, rape, child molestation and statutory rape of an 11-year-old boy and a 12-year-old girl. ⏎     Democratic Former Mayor of Stockton, California, Anthony Silva, was charged with providing alcohol to young adults during a game of strip poker that included a 16-year-old boy at a camp for underprivileged children run by the mayor."
p4631-s015,4631,claims,false,"Republican pastor Mike Hintz, whom George W. Bush commended during the","Bush commended during the 2004 presidential campaign, surrendered to p","Republican pastor Mike Hintz, whom George W. Bush commended during the 2004 presidential campaign, surrendered to police after admitting to a sexual affair with a female juvenile.","    Republican campaign consultant Tom Shortridge was sentenced to three years probation for taking nude photographs of a 15-year old girl. ⏎     Republican Senator Strom Thurmond, a notable racist, had sex with a 15-year old black girl which produced a child. ⏎ >>> Republican pastor Mike Hintz, whom George W. Bush commended during the 2004 presidential campaign, surrendered to police after admitting to a sexual affair with a female juvenile. ⏎     Republican legislator Peter Dibble pleaded no contest to having an inappropriate relationship with a 13-year-old girl. ⏎     Republican Congressman Donald “Buz” Lukens was found guilty of having sex with a female minor and sentenced to one month in jail."
p4631-s018,4631,claims,false,Republican fundraiser Richard A. Delgaudio was found guilty of child p,Delgaudio was found guilty of child porn charges and paying two teenag,Republican fundraiser Richard A. Delgaudio was found guilty of child porn charges and paying two teenage girls to pose for sexual photos.,    Republican legislator Peter Dibble pleaded no contest to having an inappropriate relationship with a 13-year-old girl. ⏎     Republican Congressman Donald “Buz” Lukens was found guilty of having sex with a female minor and sentenced to one month in jail. ⏎ >>> Republican fundraiser Richard A. Delgaudio was found guilty of child porn charges and paying two teenage girls to pose for sexual photos. ⏎     Republican activist Mark A. Grethen convicted on six counts of sex crimes involving children. ⏎     Republican activist Randal David Ankeney pleaded guilty to attempted sexual assault on a child.
p4631-s019,4631,claims,false,Republican activist Mark A. Grethen convicted on six counts of sex cri,Grethen convicted on six counts of sex crimes involving children.,Republican activist Mark A. Grethen convicted on six counts of sex crimes involving children.,    Republican Congressman Donald “Buz” Lukens was found guilty of having sex with a female minor and sentenced to one month in jail. ⏎     Republican fundraiser Richard A. Delgaudio was found guilty of child porn charges and paying two teenage girls to pose for sexual photos. ⏎ >>> Republican activist Mark A. Grethen convicted on six counts of sex crimes involving children. ⏎     Republican activist Randal David Ankeney pleaded guilty to attempted sexual assault on a child. ⏎     Republican Congressman Dan Crane had sex with a female minor working as a congressional page.
p4632-s002,4632,claims,false,Republican legislative aide Howard L. Brooks was charged with molestin,Brooks was charged with molesting a 12-year old boy and possession of ,Republican legislative aide Howard L. Brooks was charged with molesting a 12-year old boy and possession of child pornography.,"    Republican activist Marty Glickman (a.k.a. “Republican Marty”), was taken into custody by Florida police on four counts of unlawful sexual activity with an underage girl and one count of delivering the drug LSD. ⏎ >>> Republican legislative aide Howard L. Brooks was charged with molesting a 12-year old boy and possession of child pornography. ⏎     Republican Senate candidate John Hathaway was accused of having sex with his 12-year old baby sitter and withdrew his candidacy after the allegations were reported in the media. ⏎     Republican preacher Stephen White, who demanded a return to traditional values, was sentenced to jail after offering $20 to a 14-year-old boy for permission to perform oral sex on him."
p4632-s013,4632,claims,false,Republican Councilman and former Marine Jack W. Gardner was convicted ,Gardner was convicted of molesting a 13-year old girl.,Republican Councilman and former Marine Jack W. Gardner was convicted of molesting a 13-year old girl.,"    Republican County Councilman Keola Childs pleaded guilty to molesting a male child. ⏎     Republican activist John Butler was charged with criminal sexual assault on a teenage girl.Republican candidate Richard Gardner admitted to molesting his two daughters. ⏎ >>> Republican Councilman and former Marine Jack W. Gardner was convicted of molesting a 13-year old girl. ⏎     Republican County Commissioner Merrill Robert Barter pleaded guilty to unlawful sexual contact and assault on a teenage boy. ⏎     Republican City Councilman Fred C. Smeltzer, Jr. pleaded no contest to raping a 15 year-old girl and served 6-months in prison."
