recordId,postNum,storedPhrase,sentenceText,directivePhrase,authorshipState,sourceType,priorRuling,v3Ruling,proposedRuling,themes,reason
"1475#0","1475","GODSPEED ONE AND ALL.","GODSPEED ONE AND ALL.","GODSPEED ONE AND ALL.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"148#2","148","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"151#0","151","Have faith, Patriots.","Have faith, Patriots.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1520#0","1520","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"154#1","154","Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us,","Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us,","Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us,","QUOTED_OR_EMBEDDED","QUOTED_PRAYER","NEEDS_CONTEXT","","REMOVE_PRAYER_TEXT","","reproduced prayer text (continuation)"
"155#0","155","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1583#0","1583","God bless you all.","God bless you all.","God bless you all.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1602#0","1602","You should know this based on earlier drops re: SA / Nat Guard / MIL Assets activate US soil.","You should know this based on earlier drops re: SA / Nat Guard / MIL Assets activate US soil.","You should know this based on earlier drops re: SA / Nat Guard / MIL Assets activate US soil.","QUOTED_OR_EMBEDDED","QUOTED_THIRD_PARTY","REMOVE_QUOTED_OR_THIRD_PARTY","","REMOVE_QUOTED_OR_THIRD_PARTY","","pasted passage directly beneath a source link or pointer"
"1604#2","1604","God bless.","God bless.","God bless.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1646#3","1646","GOD BLESS AMERICA.","GOD BLESS AMERICA.","GOD BLESS AMERICA.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1646#4","1646","GOD BLESS PATRIOTS AROUND THE WORLD.","GOD BLESS PATRIOTS AROUND THE WORLD.","GOD BLESS PATRIOTS AROUND THE WORLD.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1691#0","1691","God bless Patriots!","God bless Patriots!","God bless Patriots!","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1712#0","1712","Put to death, therefore, whatever belongs to your earthly nature: sexual immorality, impurity, lust, evil desires and greed, which is idolatry.","Put to death, therefore, whatever belongs to your earthly nature: sexual immorality, impurity, lust, evil desires and greed, which is idolatry.","Put to death, therefore, whatever belongs to your earthly nature: sexual immorality, impurity, lust, evil desires and greed, which is idolatry.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"1735#0","1735","God bless.","God bless.","God bless.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1783#0","1783","God bless!","God bless!","God bless!","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"181#0","181","Godspeed, Patriot.","Godspeed, Patriot.","Godspeed, Patriot.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"186#0","186","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1886#0","1886","Put on the full armor of God so that you can take your stand against the devil's schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"1886#1","1886","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"1886#2","1886","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"190#0","190","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1911#0","1911","God bless.","God bless.","God bless.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1961#2","1961","GOD BLESS YOU & YOUR FAMILY.","GOD BLESS YOU & YOUR FAMILY.","GOD BLESS YOU & YOUR FAMILY.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2#1","2","God bless fellow Patriots.","God bless fellow Patriots.","God bless fellow Patriots.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2039#0","2039","GOD BLESS YOU ALL.","GOD BLESS YOU ALL.","GOD BLESS YOU ALL.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2039#1","2039","LET FREEDOM RING, PATRIOTS.","LET FREEDOM RING, PATRIOTS.","LET FREEDOM RING, PATRIOTS.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"2049#1","2049","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"219#0","219","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2235#0","2235","God bless, Patriot.","God bless, Patriot.","God bless, Patriot.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"226#0","226","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2292#0","2292","Have faith, Patriots.","Have faith, Patriots.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"231#0","231","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2312#0","2312","God bless you, Patriot.","God bless you, Patriot.","God bless you, Patriot.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2314#1","2314","God bless you and your family.","God bless you and your family.","God bless you and your family.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2314#2","2314","Allow us to carry this heavy burden.","Allow us to carry this heavy burden.","Allow us to carry this heavy burden.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"2332#0","2332","Think DECLAS.","Think DECLAS.","Think DECLAS.","QUOTED_OR_EMBEDDED","QUOTED_THIRD_PARTY","REMOVE_QUOTED_OR_THIRD_PARTY","","REMOVE_QUOTED_OR_THIRD_PARTY","","inside a multi-line quotation"
"2355#1","2355","God bless, Patriot.","God bless, Patriot.","God bless, Patriot.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"236#16","236","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"2393#0","2393","God bless you, Patriots!","God bless you, Patriots!","God bless you, Patriots!","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2403#0","2403","Put on the full armor of God so that you can take your stand against the devil's schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"2403#1","2403","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"2403#2","2403","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"2436#1","2436","GOD BLESS AMERICA.","GOD BLESS AMERICA.","GOD BLESS AMERICA.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2436#4","2436","WE MUST FIGHT AGAIN.","WE MUST FIGHT AGAIN.","WE MUST FIGHT AGAIN.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"244#0","244","God bless.","God bless.","God bless.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"25#3","25","God bless.","God bless.","God bless.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2529#1","2529","God bless, Patriot.","God bless, Patriot.","God bless, Patriot.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"264#0","264","God bless, Patriots.","God bless, Patriots.","God bless, Patriots.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2788#5","2788","GOD BLESS YOU ALL.","GOD BLESS YOU ALL.","GOD BLESS YOU ALL.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2807#0","2807","GOD BLESS THE UNITED STATES OF AMERICA.","GOD BLESS THE UNITED STATES OF AMERICA.","GOD BLESS THE UNITED STATES OF AMERICA.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2807#2","2807","WE MUST FIGHT.","WE MUST FIGHT.","WE MUST FIGHT.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"2857#0","2857","God bless each and every one of you.","God bless each and every one of you.","God bless each and every one of you.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"289#0","289","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"2904#0","2904","Put on the full armor of God, so that you can take your stand against the devil's schemes.","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"2904#1","2904","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"2904#2","2904","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"2945#0","2945","You should update your T-banner pic to properly reflect the crowd size when the event actually started.","You should update your T-banner pic to properly reflect the crowd size when the event actually started.","You should update your T-banner pic to properly reflect the crowd size when the event actually started.","QUOTED_OR_EMBEDDED","QUOTED_THIRD_PARTY","KEEP_Q_DIRECTIVE","","REMOVE_QUOTED_OR_THIRD_PARTY","","pasted passage directly beneath a source link or pointer"
"3#1","3","Don't you think POTUS would be tweeting about removal given clear conflict.","Don’t you think POTUS would be tweeting about removal given clear conflict.","Don’t you think POTUS would be tweeting about removal given clear conflict.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","REMOVE_QUESTION_NOT_DIRECTIVE","","Q-authored sentence in interrogative form — belongs to Questions, not Directives"
"3#3","3","Trust in your President.","Trust in your President.","Trust in your President.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"3#4","3","God bless, Patriots.","God bless, Patriots.","God bless, Patriots.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"3056#0","3056","God bless.","God bless.","God bless.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"314#0","314","Godspeed, Patriots.","Godspeed, Patriots.","Godspeed, Patriots.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"314#1","314","Be the autists we know you are.","Be the autists we know you are.","Be the autists we know you are.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
