recordId,postNum,storedPhrase,directivePhrase,priorAuthorshipState,v3AuthorshipState,priorRuling,proposedRuling,v3SourceType,referencedPostNum,reason,confidence,spanRepaired
"2567#0","2567",">Add multiple layers of 'coincidences' which mathematically proves legitimacy (standard deviation)<",">Add multiple layers of 'coincidences' which mathematically proves legitimacy (standard deviation)<","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"2582#0","2582","Learn the Constitution re: vested powers of POTUS re: matters of NAT SEC.","Learn the Constitution re: vested powers of POTUS re: matters of NAT SEC.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"2801#1","2801","Search 'Qanon' https://www.nbcnews.com/pages/search/?q=qanon https://abcnews.go.com/search?searchtext=qanon","Search ‘Qanon’","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
"2807#0","2807","WE MUST RISE.","WE MUST RISE.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"2971#2","2971","Listen to the clip again re: proof & evidence.","Listen to the clip again re: proof & evidence.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"2971#3","2971","Define 'brainwashing'.","Define 'brainwashing'.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"2971#4","2971","Think for yourself!","Think for yourself!","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"2987#0","2987",">Return Power Back to the People",">Return Power Back to the People","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3#1","3","Follow Huma.","Follow Huma.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"30#0","30","Think xkeysc on steroids.","Think xkeysc on steroids.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"3004#0","3004",">clear vision for the @DOJ",">clear vision for the @DOJ","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3038#0","3038",">Decide for yourself (be free from outside opinion).",">Decide for yourself (be free from outside opinion).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3038#1","3038",">Decide for yourself (be objective in your conclusions).",">Decide for yourself (be objective in your conclusions).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3038#2","3038",">Decide for yourself (be true in your own beliefs).",">Decide for yourself (be true in your own beliefs).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3038#3","3038",">Decide for yourself (be open to following the facts).",">Decide for yourself (be open to following the facts).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3038#4","3038",">Decide for yourself (be strong in defending your beliefs).",">Decide for yourself (be strong in defending your beliefs).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3038#5","3038",">Decide for yourself (be resistant to blindly accepting fact-less statements).",">Decide for yourself (be resistant to blindly accepting fact-less statements).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3038#6","3038",">Decide for yourself (be free)",">Decide for yourself (be free)","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3071#0","3071",">VOTE TO ALLOW 'ILLEGAL' IMMIGRANTS RIGHT TO VOTE IN ELECTIONS",">VOTE TO ALLOW ‘ILLEGAL’ IMMIGRANTS RIGHT TO VOTE IN ELECTIONS","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"31#0","31","There is so much string pulling and blackmail that we need to cut these off to truly gain the power granted to us by the Patriots and hard working people of this great country.","There is so much string pulling and blackmail that we need to cut these off to truly gain the power granted to us by the Patriots and hard working people of this great country.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"314#0","314","Be the autists we know you are.","Be the autists we know you are.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"3381#0","3381",">Follow the Family",">Follow the Family","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3428#2","3428","Find [4] http://www.zimbio.com/photos/Ghislaine+Maxwell/2014+ETM+Children+Benefit+Gala/Vl0uC7GgK_w","Find [4]","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
"35#2","35","It is time to take back our country and make America great again.","It is time to take back our country and make America great again.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"35#3","35","Let us salute and pray for the brave men and women in uniform who will undertake this assignment to bring forth peace, unity, and return power to the people.","Let us salute and pray for the brave men and women in uniform who will undertake this assignment to bring forth peace, unity, and return power to the people.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","KEEP_Q_DIRECTIVE","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"3593#0","3593","Prepare.","Prepare.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_SCRIPTURE","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"3594#0","3594","Prepare.","Prepare.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_SCRIPTURE","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"36#3","36","Please be safe and pray for those in harms way as they continually protect and serve our great country.","Please be safe and pray for those in harms way as they continually protect and serve our great country.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"3647#0","3647",">Create media blitz [scare] campaign ('talking points')('alarmist')",">Create media blitz [scare] campaign ('talking points')('alarmist')","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3647#1","3647",">Use 'pro-narrative minded' authorities on subject to provide foundation to support",">Use 'pro-narrative minded' authorities on subject to provide foundation to support","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3647#2","3647",">Deploy 'circular reporting' and 'group-think' tactics (echo chamber) to artificially raise 'public outcry'",">Deploy 'circular reporting' and 'group-think' tactics (echo chamber) to artificially raise 'public outcry'","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3647#3","3647",">Use 'public outcry' to justify billion dollar taxpayer spend",">Use 'public outcry' to justify billion dollar taxpayer spend","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3819#0","3819","Read [1] https://www.miamiherald.com/news/politics-government/article237959369.html","Read [1]","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
"3819#1","3819","Read [2] https://www.miamiherald.com/news/politics-government/article214974800.html","Read [2]","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
"3836#1","3836","Think Hussein 'I'll have more flexibility after the election' hot mic statement to Russian depo re: Q to Hussein re: Putin.","Think Hussein 'I'll have more flexibility after the election' hot mic statement to Russian depo re: Q to Hussein re: Putin.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"3836#2","3836","Think Hussein WH refusal to send weapons to Ukraine [R Congress push to assist] but instead sent only blankets.","Think Hussein WH refusal to send weapons to Ukraine [R Congress push to assist] but instead sent only blankets.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"3862#0","3862","Watch what happens next!","Watch what happens next!","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"3896#0","3896",">Push new/revised P_2020 > vote by mail? [unsecure] https://twitter.com/TomFitton/status/1242071506445885441",">Push new/revised P_2020 > vote by mail? [unsecure]","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","true"
"3906#0","3906",">Decide for yourself (be free from outside opinion).",">Decide for yourself (be free from outside opinion).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3906#1","3906",">Decide for yourself (be objective in your conclusions).",">Decide for yourself (be objective in your conclusions).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3906#2","3906",">Decide for yourself (be true in your own beliefs).",">Decide for yourself (be true in your own beliefs).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3906#3","3906",">Decide for yourself (be open to following the facts).",">Decide for yourself (be open to following the facts).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3906#4","3906",">Decide for yourself (be strong in defending your beliefs).",">Decide for yourself (be strong in defending your beliefs).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3906#5","3906",">Decide for yourself (be resistant to blindly accepting fact-less statements).",">Decide for yourself (be resistant to blindly accepting fact-less statements).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
"3907#0","3907","Remember the battles of Lexington and Concord - ""Give Me Liberty or Give Me Death!""","Remember the battles of Lexington and Concord - ""Give Me Liberty or Give Me Death!""","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"3907#1","3907","WE MUST RISE AGAIN.","WE MUST RISE AGAIN.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"4#0","4","Focus on Military Intellingence/ State Secrets and why might that be used vs any three letter agency","Focus on Military Intellingence/ State Secrets and why might that be used vs any three letter agency","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"4#1","4","Don't fool yourself into thinking Obama, Soros, Roth's, Clinton's etc have more power present day than POTUS.","Don’t fool yourself into thinking Obama, Soros, Roth’s, Clinton’s etc have more power present day than POTUS.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"4#3","4","Again, there are a lot more good people than bad so have faith.","Again, there are a lot more good people than bad so have faith.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","REMOVE_STATEMENT_OR_HEADING","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"4397#2","4397","Pray for Strength.","Pray for Strength.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_SCRIPTURE","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"4429#0","4429","Have faith in Humanity.","Have faith in Humanity.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_SCRIPTURE","REMOVE_STATEMENT_OR_HEADING","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"4429#1","4429","Have faith in Yourself.","Have faith in Yourself.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_SCRIPTURE","REMOVE_STATEMENT_OR_HEADING","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"4429#2","4429","Have faith in God.","Have faith in God.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_STATEMENT_OR_HEADING","REMOVE_QUOTED_SCRIPTURE","Q_BODY","","reproduced scripture in Q's own body","HIGH","false"
"4509#6","4509","Mission 3: Guide [awaken] others through use of facts [DECLAS 1-99 material and other relevant facts] and memes [decouple MSDNC control of info stream] _ask 'counter' questions to initiate 'thought' vs repeat [echo] of MSDNC propaganda","Mission 3: Guide [awaken] others through use of facts [DECLAS 1-99 material and other relevant facts] and memes [decouple MSDNC control of info stream] _ask 'counter' questions to initiate 'thought' vs repeat [echo] of MSDNC propaganda","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"4509#7","4509","Mission 4: Learn use of camouflage [digitally] _primary account suspended-terminated _use of secondary","Mission 4: Learn use of camouflage [digitally] _primary account suspended-terminated _use of secondary","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"4511#0","4511","Use of general public to counter the narrative [propaganda] push by controlled media.","Use of general public to counter the narrative [propaganda] push by controlled media.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"4545#0","4545","Think HRC install: [2+] Supreme Court Justices, 200+ judges, rogue elements expanded inside DOJ, FBI, CIA, NSA, WH, STATE, …….removal 2nd amendment, border etc. ……… America for sale: China, Russia, Iran, Syria…….ISIS & AL Q expansion…….expansion surv of domestic citizens…….modify/change voter rules and regulations allow illegals+ballot harvesting w/ SC backed liberal-social opinion………sell off of military to highest bidder to fight internal long-standing wars……..","Think HRC install: [2+] Supreme Court Justices, 200+ judges, rogue elements expanded inside DOJ, FBI, CIA, NSA, WH, STATE, …….removal 2nd amendment, border etc. ……… America for sale: China, Russia, Iran, Syria…….ISIS & AL Q expansion…….expansion surv of domestic citizens…….modify/change voter rules and regulations allow illegals+ballot harvesting w/ SC backed liberal-social opinion………sell off of military to highest bidder to fight internal long-standing wars……..","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"4734#2","4734","Deploy camouflage.","Deploy camouflage.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"4734#3","4734","Drop all references re: 'Q' 'Qanon' etc. to avoid ban/termination _censorship install.","Drop all references re: 'Q' 'Qanon' etc. to avoid ban/termination _censorship install.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"4734#4","4734","Keep charging, Midnight Riders!","Keep charging, Midnight Riders!","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"490#0","490","Let FREEDOM RING.","Let FREEDOM RING.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"520#4","520","Get smart, MAKE AMERICA GREAT AGAIN!","Get smart, MAKE AMERICA GREAT AGAIN!","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","greentext arrow with no matching quoted source — Q's own bullet","MEDIUM","false"
