postNum,name,trip,nonBlankLines,oldQuotedLines,newQuotedLines,unresolvedLines,delta,spanKinds,directives,firstLine
"197","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","Ancient Egyptians considered gold “the skin of the gods” -- specifically the sun god Ra -- and often used it to craft ob"
"198","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","2","3 sides form what shape?"
"199","Q","!ITPb.qbhqo","23","0","0","0","0","Q_BODY","0","U1 - CA - EU - ASIA - IRAN/NK"
"2","Anonymous","","23","0","0","0","0","Q_BODY","2","Mockingbird"
"20","Anonymous","","8","0","0","0","0","Q_BODY","0","Who did POTUS meet with yesterday?"
"200","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","Rizvi Traverse Management."
"201","Q","!ITPb.qbhqo","1","0","1","0","1","QUOTED_ANONYMOUS_POST","0",">>150523213"
"202","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","0","Bad bread not updated."
"203","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","0","Bad bread."
"204","Q","!ITPb.qbhqo","3","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150559263"
"205","Q","!ITPb.qbhqo","5","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>150559502"
"206","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","Can’t wait for the green light."
"207","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","$4.9 billion in government subsidies."
"208","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","Rizvi Traverse Management."
"209","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","1","Why did BO scuttle the shuttle program?"
"21","Anonymous","","1","0","0","0","0","Q_BODY","0","I’ve dumped some crumbs like this over the weekend which started the intense shilling. At this point we are far enough a"
"210","Q","!ITPb.qbhqo","1","0","1","0","1","QUOTED_ANONYMOUS_POST","0",">>150562774"
"211","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","0","NK _ SpaceX."
"212","Q","!ITPb.qbhqo","3","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150564270"
"213","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","0","The world cannot swallow the truth."
"214","Q","!ITPb.qbhqo","6","0","0","0","0","Q_BODY","0","What is FB?"
"215","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","1","Focus on his wife."
"216","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","Keyhole."
"217","Q","!ITPb.qbhqo","3","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150569615"
"218","Q","!ITPb.qbhqo","1","0","1","0","1","QUOTED_ANONYMOUS_POST","0",">>150569907"
"219","Q","!ITPb.qbhqo","7","0","0","0","0","Q_BODY","1","_27-1_yes_USA94-2"
"22","Anonymous","","6","0","0","0","0","Q_BODY","2","Who controls the NG?"
"220","Q","!ITPb.qbhqo","5","0","0","0","0","Q_BODY","0","Reminder."
"221","Q","!ITPb.qbhqo","8","0","0","0","0","Q_BODY","2","What news broke?"
"222","Q","!ITPb.qbhqo","1","0","1","0","1","QUOTED_ANONYMOUS_POST","0",">>150682213"
"223","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","1","Who is Betsy D?"
"224","Q","!ITPb.qbhqo","7","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","2",">>150697054"
"225","Q","!ITPb.qbhqo","12","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","3",">>150698169"
"226","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","1","_yes1_yes2_yes3_^_cDVT-089bT_AD_Conf"
"227","Q","!ITPb.qbhqo","0","0","0","0","0","","0",""
"228","Q","!ITPb.qbhqo","7","0","0","0","0","Q_BODY","0","USA_leadership change"
"229","Q","!ITPb.qbhqo","46","0","0","0","0","Q_BODY","0","RED_RED_"
"23","Anonymous","","7","2","0","0","-2","Q_BODY","1","Note MI has the same SAPs as NSA, CIA etc as designated post 9-11."
"231","Q","!ITPb.qbhqo","9","0","0","0","0","Q_BODY","1","T: B, F, J, 1,5,11-20, ^"
"232","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","_Conf_goTWIT_P_act-small#_"
"24","Anonymous","","1","0","0","0","0","Q_BODY","0","Any person making statements they will not be seeking re-election was put in submission. For the betterment of the count"
"240","Q","!ITPb.qbhqo","8","0","0","0","0","Q_BODY","0","_Start_IP_log_4ch_y"
"25","Anonymous","","6","2","0","0","-2","Q_BODY","4","Follow up to last post."
"26","Anonymous","","3","0","0","0","0","Q_BODY","2","Think about it logically."
"27","Anonymous","","1","0","0","0","0","Q_BODY","0","Not everything can be publicly disclosed because so much ties back to foreign heads of state. Much will be revealed, we "
"28","Anonymous","","2","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>147450119"
"29","Anonymous","","4","2","0","2","-2","Q_BODY+UNKNOWN","0","Some things must remain classified to the very end. NK is not being run by Kim, he’s an actor in the play. Who is the di"
"3","Anonymous","","17","2","0","0","-2","Q_BODY","5","Open your eyes."
"30","Anonymous","","7","2","0","0","-2","Q_BODY","1","Would you believe a device was placed somewhere in the WH that could actually cause harm to anyone in the room and would"
"31","Anonymous","","4","2","0","0","-2","Q_BODY","1","World stalemate."
"32","Anonymous","","1","0","0","0","0","Q_BODY","0","Maybe one day but it cannot go slow. The initial wave will be fast and meaningful. It will send a signal to others immed"
"33","Anonymous","","3","0","0","0","0","Q_BODY","3","I’m hopeful my time spent here was not wasted."
"34","Anonymous","","2","0","0","0","0","Q_BODY","1","Q Clearance Patriot"
"35","Anonymous","","5","0","1","0","1","Q_BODY+QUOTED_THIRD_PARTY","5","POTUS will be well insulated/protected on AF1 and abroad (specific locations classified) while these operations are cond"
"356","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","0","Trip test."
"36","Anonymous","","25","4","0","0","-4","Q_BODY","4","Military Intelligence."
"37","Anonymous","","3","0","0","0","0","Q_BODY","3","They are the true Patriots. We will never forget. Let these coming days be remembered in our history as the time we foug"
"38","Anonymous","","11","0","0","0","0","Q_BODY","6","Four carriers & escorts in the pacific?"
"39","Anonymous","","10","0","0","0","0","Q_BODY","0","Would it blow your mind if I told you BO has been to NK and perhaps there now?"
"4","Anonymous","","10","5","0","0","-5","Q_BODY","4","Some of us come here to drop crumbs, just crumbs."
"40","Anonymous","","2","0","0","0","0","Q_BODY","0","4,10,20"
"41","Anonymous","","1","0","0","0","0","Q_BODY","1","What a coincidence the mountain that housed NK’s nuclear weapons and testing collapsed. Unbelievable timing. I wonder if"
"42","Anonymous","","1","0","0","0","0","Q_BODY","0","We serve at the pleasure of the President. DJT"
"43","Anonymous","","1","0","0","0","0","Q_BODY","1","These crumbs are not meant to scare anyone but merely inform. Resistance will be dealt with swiftly. The core focus is r"
"44","Anonymous","","1","0","0","0","0","Q_BODY","1","Before POTUS departs on Friday he will be sending an important message via Twitter. God bless."
"45","Anonymous","","11","0","0","0","0","Q_BODY","1","Follow Huma."
"46","Anonymous","","16","0","0","0","0","Q_BODY","0","Why is the information re: BO important re: U1 and export approval to Canada to EU?"
"47","Anonymous","","10","0","0","0","0","Q_BODY","1","You can paint the picture based solely on the questions asked."
"48","Anonymous","","17","0","0","0","0","Q_BODY","0","What is Q Clearance?"
"49","Anonymous","","13","0","0","0","0","Q_BODY","1","Follow Sen Grassley."
"5","Anonymous","","12","0","0","0","0","Q_BODY","3","Follow the money, it’s the key."
"50","Anonymous","","24","0","0","0","0","Q_BODY","2","BIG DROP:"
"51","Anonymous","","11","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY_LETTER_VOICE","3",">>147642589"
"52","Anonymous","","21","0","0","0","0","Q_BODY","1","Review BO's financial disclosure when he submitted pre-D election campaign."
"53","Anonymous","","10","0","0","0","0","Q_BODY","2","List out all who have foundations."
"54","Anonymous","","1","0","1","0","1","QUOTED_THIRD_PARTY","0","""For I know the plans I have for you,” declares the LORD, “plans to prosper you and not to harm you, plans to give you h"
"55","Anonymous","","3","0","0","0","0","Q_BODY","2","Look to Twitter:"
"56","Anonymous","","6","2","2","0","0","Q_BODY+QUOTED_THIRD_PARTY","0","http://thehill.com/blogs/pundits-blog/presidential-campaign/292310-huma-abedins-ties-to-the-muslim-brotherhood"
"57","Anonymous","","5","0","0","0","0","Q_BODY","0","Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Perman"
"58","Anonymous","","5","0","0","0","0","Q_BODY","0",">>147661217Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the H"
"59","Anonymous","","16","4","0","0","-4","Q_BODY","2","How did SA welcome POTUS during his trip?"
"6","Anonymous","","19","4","0","0","-4","Q_BODY","6","Some of us come here to drop crumbs, just crumbs."
"60","Anonymous","","7","0","0","0","0","Q_BODY","0","You can count the people who have the full picture on two hands."
"61","Anonymous","","7","0","0","0","0","Q_BODY","2","Please refer back and collect my crumbs."
"62","Anonymous","","5","0","0","0","0","Q_BODY","0","Highly recommend someone take all my crumbs and put into a massive dump (a single shot). This will be considered the big"
"63","Anonymous","","9","0","0","0","0","Q_BODY","1","To those watching (you know who you are):"
"64","Anonymous","","10","0","0","0","0","Q_BODY","2","Fellow Patriots,"
"65","Anonymous","","6","0","0","0","0","Q_BODY","0",":::::Flash Traffic:::::"
"66","Anonymous","","8","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>147688276"
"67","Anonymous","","44","0","0","0","0","Q_BODY","2","Where is John Podesta?"
"68","Anonymous","","18","0","0","0","0","Q_BODY","1","What data just dropped?"
"69","Anonymous","","4","2","1","0","-1","Q_BODY+QUOTED_SCRIPTURE","0","God speed to those who will be put in harms way. You are the bravest men and women on earth."
"7","Anonymous","","1","0","0","0","0","Q_BODY","2","Why wasn’t HRC prosecuted for the emails? Put simply, Obama ultimately OK’d by using the non govt email addy to communic"
"70","Anonymous","","33","0","0","0","0","Q_BODY","3","[Repost]"
"71","Anonymous","","54","0","0","0","0","Q_BODY","3","Follow HUMA."
"72","Anonymous","","7","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>147977181"
"73","Anonymous","","23","0","0","0","0","Q_BODY","0","What was POTUS' last Tweet (prior to)?"
"74","Anonymous","","5","0","0","0","0","Q_BODY","1","Q = Alice"
"75","Anonymous","","16","0","0","0","0","Q_BODY","0","By the time POTUS returns from his trip the world will be a different place."
"76","Anonymous","","23","0","0","0","0","Q_BODY","3","[Repost Lost]"
"77","Anonymous","","55","0","0","0","0","Q_BODY","3","[Repost Lost]"
"78","Anonymous","","36","0","0","0","0","Q_BODY","1","[Repost Lost]"
"79","Anonymous","","4","0","0","0","0","Q_BODY","2","Graphic is right."
"8","Anonymous","","17","0","0","0","0","Q_BODY","0","Huma"
"80","Anonymous","","8","0","0","0","0","Q_BODY","2","We need to get organized."
"81","Anonymous","","6","0","0","0","0","Q_BODY","0","When big news drops please re-read entire graphic."
"82","Anonymous","","5","0","0","0","0","Q_BODY","1","[Repost]Things need to be solved to understand what is about to happen."
"83","Anonymous","","7","0","0","0","0","Q_BODY","0","Simplified."
"84","Anonymous","","9","0","0","0","0","Q_BODY","1","Please add crumbs above in new complete graphic."
"85","Anonymous","","14","0","0","0","0","Q_BODY","0","Who funds MS13?"
"86","Anonymous","","8","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","2",">>148021760"
"87","Anonymous","","4","0","0","0","0","Q_BODY","0","My signatures all reference upcoming events about to drop if this hasn't been caught on."
"88","Anonymous","","24","0","0","0","0","Q_BODY","0","Ten days."
"89","Anonymous","","11","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>148028820"
"9","Anonymous","","9","0","0","0","0","Q_BODY","0","Projection"
"90","Anonymous","","5","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>148029846"
"91","Anonymous","","9","2","0","0","-2","Q_BODY","2","Why is MS13 a priority?"
"92","Anonymous","","49","0","0","0","0","Q_BODY","2","Seth Rich only mentioned because it directly relates to SA."
"93","Anonymous","","5","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>148031978"
"94","Anonymous","","10","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","2",">>148032489"
"95","Anonymous","","7","0","0","0","0","Q_BODY","2","What happened in SA will happen here, Asia, and EU."
"96","Anonymous","","12","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>148033380"
"97","Anonymous","","54","0","0","0","0","Q_BODY","7","Game Theory."
"98","Anonymous","","10","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","2",">>148136656"
"99","Anonymous","","26","0","0","0","0","Q_BODY","3","US assets."
