stableOccurrenceId,postNum,oldRuling,finalRuling,oldSentenceText,newFullSentenceText,directivePhrase,directiveSegments,religiousSegment,themes,authorshipState,sourceType,dataAction,reason
"1030#0","1030","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Pray.","Pray.","Pray.","Pray.","","Religion & Spirituality","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1032#0","1032","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think Navy Ship crashes.","Think Navy Ship crashes.","Think Navy Ship crashes.","Think Navy Ship crashes.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1034#0","1034","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Track events.","Track events.","Track events.","Track events.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"104#0","104","REMOVE_BLESSING_OR_VALEDICTION","REMOVE_BLESSING_OR_VALEDICTION","God bless the United States of America.","","God bless the United States of America.","God bless the United States of America.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_FROM_DIRECTIVES","blessing or valediction, not a command"
"1046#0","1046","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Enjoy the show.","Enjoy the show.","Enjoy the show.","Enjoy the show.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1048#0","1048","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Connect via past religious leaders (re: Hussein).","Connect via past religious leaders (re: Hussein).","Connect via past religious leaders (re: Hussein).","Connect via past religious leaders (re: Hussein).","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1049#0","1049","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think NK.","Think NK.","Think NK.","Think NK.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1049#1","1049","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think Nuke stranglehold.","Think Nuke stranglehold.","Think Nuke stranglehold.","Think Nuke stranglehold.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1049#2","1049","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think logically.","Think logically.","Think logically.","Think logically.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"105#0","105","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Please pray.","Please pray.","Please pray.","Please pray.","","Religion & Spirituality","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"105#1","105","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Please pause and give thanks to those who would die to save our republic.","Please pause and give thanks to those who would die to save our republic.","Please pause and give thanks to those who would die to save our republic.","Please pause and give thanks to those who would die to save our republic.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1050#0","1050","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Stand strong.","Stand strong.","Stand strong.","Stand strong.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1052#0","1052","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Enjoy the show.","Enjoy the show.","Enjoy the show.","Enjoy the show.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1054#0","1054","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Look up Ray.Chandler.","Look up Ray.Chandler.","Look up Ray.Chandler.","Look up Ray.Chandler.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1055#0","1055","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Follow friends.","Follow friends.","Follow friends.","Follow friends.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1055#1","1055","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Open source.","Open source.","Open source.","Open source.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1056#0","1056","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Focus on friends (2).","Focus on friends (2).","Focus on friends (2).","Focus on friends (2).","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1057#0","1057","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Report to FBI / DOJ.","Report to FBI / DOJ.","Report to FBI / DOJ.","Report to FBI / DOJ.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1057#1","1057","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Watch what happens.","Watch what happens.","Watch what happens.","Watch what happens.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1057#2","1057","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","End.","End.","End.","End.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"106#0","106","REMOVE_BLESSING_OR_VALEDICTION","REMOVE_BLESSING_OR_VALEDICTION","God bless.","","God bless.","God bless.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_FROM_DIRECTIVES","blessing or valediction, not a command"
"1063#0","1063","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Spread out by design.","Spread out by design.","Spread out by design.","Spread out by design.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1063#1","1063","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Open the door.","Open the door.","Open the door.","Open the door.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1063#2","1063","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Close to door.","Close to door.","Close to door.","Close to door.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1068#0","1068","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Pray.","Pray.","Pray.","Pray.","","Religion & Spirituality","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"107#0","107","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Note when we just sent the go orders and when this Tweet went live.","Note when we just sent the go orders and when this Tweet went live.","Note when we just sent the go orders and when this Tweet went live.","Note when we just sent the go orders and when this Tweet went live.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation"
"107#1","107","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Pray.","Pray.","Pray.","Pray.","","Religion & Spirituality","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1073#0","1073","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Listen carefully.","Listen carefully.","Listen carefully.","Listen carefully.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1074#0","1074","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Read between the lines.","Read between the lines.","Read between the lines.","Read between the lines.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1075#0","1075","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Buckle up.","Buckle up.","Buckle up.","Buckle up.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1077#0","1077","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Prevent at all costs.","Prevent at all costs.","Prevent at all costs.","Prevent at all costs.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1078#0","1078","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Contact window ok.","Contact window ok.","Contact window ok.","Contact window ok.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1079#0","1079","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Relay back channel S-WH-E-P1.","Relay back channel S-WH-E-P1.","Relay back channel S-WH-E-P1.","Relay back channel S-WH-E-P1.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"108#0","108","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Analyze time stamps of my go message to BO's Tweet.","Analyze time stamps of my go message to BO's Tweet.","Analyze time stamps of my go message to BO's Tweet.","Analyze time stamps of my go message to BO's Tweet.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1081#0","1081","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think logically.","Think logically.","Think logically.","Think logically.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1082#0","1082","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Enjoy the show.","Enjoy the show.","Enjoy the show.","Enjoy the show.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1085#0","1085","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think.","Think.","Think.","Think.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1085#1","1085","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Have faith.","Have faith.","have faith","have faith","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1085#2","1085","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Trust the plan.","Trust the plan.","Trust the plan.","Trust the plan.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1090#0","1090","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Open source.","Open source.","Open source.","Open source.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1091#0","1091","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think Double.","Think Double.","Think Double.","Think Double.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1093#0","1093","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Watch again.","Watch again.","Watch again.","Watch again.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1093#1","1093","REMOVE_BLESSING_OR_VALEDICTION","REMOVE_BLESSING_OR_VALEDICTION","God bless you all.","","God bless you all.","God bless you all.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_FROM_DIRECTIVES","blessing or valediction, not a command"
"1094#0","1094","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Flag.","Flag.","Flag.","Flag.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1097#0","1097","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Dig.","Dig.","Dig.","Dig.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1097#1","1097","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Find ALL pics.","Find ALL pics.","Find ALL pics.","Find ALL pics.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1098#0","1098","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Bring back the gallows!","Bring back the gallows!","Bring back the gallows!","Bring back the gallows!","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1100#0","1100","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Track congressional intake (reported).","Track congressional intake (reported).","Track congressional intake (reported).","Track congressional intake (reported).","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1100#1","1100","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Keep open (+6 mo).","Keep open (+6 mo).","Keep open (+6 mo).","Keep open (+6 mo).","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1100#2","1100","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Drain the swamp.","Drain the swamp.","Drain the swamp.","Drain the swamp.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1101#0","1101","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Follow the family.","Follow the family.","Follow the family.","Follow the family.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1101#1","1101","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Re_read drops.","Re_read drops.","Re_read drops.","Re_read drops.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1102#0","1102","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Don't forget how to PLAY.","Don't forget how to PLAY.","Don't forget how to PLAY.","Don't forget how to PLAY.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1102#1","1102","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think emails (LL, HRC, HUSSEIN, etc).","Think emails (LL, HRC, HUSSEIN, etc).","Think emails (LL, HRC, HUSSEIN, etc).","Think emails (LL, HRC, HUSSEIN, etc).","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1104#0","1104","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Think 'Bridge'.","Think 'Bridge'.","Think 'Bridge'.","Think 'Bridge'.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1106#0","1106","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Hold until CONF.","Hold until CONF.","Hold until CONF.","Hold until CONF.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1106#1","1106","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Have faith.","Have faith.","have faith","have faith","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1106#2","1106","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Trust POTUS.","Trust POTUS.","Trust POTUS.","Trust POTUS.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"111#0","111","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Pray.","Pray.","Pray.","Pray.","","Religion & Spirituality","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"111#1","111","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Repeat.","Repeat.","Repeat.","Repeat.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1113#0","1113","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Learn our comms.","Learn our comms.","Learn our comms.","Learn our comms.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1115#0","1115","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Read carefully.","Read carefully.","Read carefully.","Read carefully.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"112#0","112","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"112#1","112","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","Stay alert in main US cities (DC), sporting events, and other conservative gatherings.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"112#2","112","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Repeat.","Repeat.","Repeat.","Repeat.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"112#3","112","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Summarize and paint the picture.","Summarize and paint the picture.","Summarize and paint the picture.","Summarize and paint the picture.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1120#0","1120","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Clarify.","Clarify.","Clarify.","Clarify.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1120#1","1120","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Demand.","Demand.","Demand.","Demand.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1120#2","1120","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Confirm tariff reduction.","Confirm tariff reduction.","Confirm tariff reduction.","Confirm tariff reduction.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1120#3","1120","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Start.","Start.","Start.","Start.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1122#0","1122","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","TRUST SESSIONS.","TRUST SESSIONS.","TRUST SESSIONS.","TRUST SESSIONS.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
